Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bolboforma vulgaris,Bolboforma spinosa,Bolboforma spiralis,Bolboforma rotunda,Bolboforma cyst,Bolboforma reticulata,Bolboforma gracilireticulata,Bolboforma cf.  laevis (round),Bolboforma fava,Bolboforma two-chambered cyst,Bolboforma platyreticulata,Bolboforma badenensis,Bolboforma laevis,Bolboforma moravica,Bolboforma danielsi,Bolboforma verrucosa,Bolboforma robusta,Bolboforma atlantica,Bolboforma capsula,Bolboforma oblongireticulata,Bolboforma compressispinosa,Bolboforma subfragori magna,Bolboforma clodiusi,Bolboforma superba,Bolboforma subfragori,Bolboforma furcata,Bolboforma fragori,Bolboforma metzmacheri ornata,Bolboforma aculeata,Bolboforma contorta sculpturata,Bolboforma contorta contorta,Bolboforma pentaspinosa,Bolboforma metzmacheri solida,Bolboforma m. metzmacheri,Bolboforma deformis,Bolboforma polygonalis,Bolboforma trochospiralis,Bolboforma praeintermedia,Bolboforma intermedia,Bolboforma pisiformis,Bolboforma pustulaintermedia,Bolboforma communis,Bolboforma groenlandica,Bolboforma lockeri,Bolboforma mutabilis,Bolboforma carina,Bolboforma sphaerica,Bolboforma costa. variabilis,Bolboforma tenuis,Bolboforma hispida,Bolboforma carinsapinosa,Bolboforma c. costairregularis,Bolboforma stella,Bolboforma alata,Bolboforma elegans,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,up B. costairregula,,162,982,B,7,H,5,31.00,59.3100,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,T                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,up B. costairregula,,162,982,B,7,H,6,18.00,60.6800,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,R                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,up B. costairregula,,162,982,B,8,H,1,142.00,63.9200,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,R                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,up B. costairregula,,162,982,B,8,H,2,142.00,65.4200,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,R                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
