Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina continuosa,Globigerina praebulloides,Globoquadrina dehiscens,Paragloborotalia mayeri,Globorotalia zealandica,Globorotalia praescitula,Globigerinoides quadrilobatus,Globigerinoides obliquus,Catapsydrax dissimilis,Globoquadrina baroemoenensis,Sphaeroidinellopsis disjuncta,Praeorbulina glomerosa glomerosa,Globigerina woodi,Globorotalia miozea,Globigerinita glutinata,Globigerinoides trilobus,Catapsydrax stainforthi,Orbulina suturalis,Globigerina bulloides,Praeorbulina glomerosa circularis,Orbulina universa,Globorotalia scitula,Globorotalia conoidea,Globigerina quinqueloba,Globigerina eamesi,Globigerinoides subquadratus,Neogloboquadrina spp.,Streptochilus globigerum,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (dextral),Sphaeroidinellopsis kochi,Orbulina bilobata,Neogloboquadrina atlantica (sinistral),Globigerinita uvula,Neogloboquadrina acostaensis,Globigerinoides spp.,Globorotalia juanai,Globigerina nepenthes,Globigerina aequilateralis,Globorotalia conomiozea,Globorotalia cf. Gr. crassula,Globorotalia margaritae,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina humerosa,Globorotalia puncticulata,Globorotalia inflata,Globorotalia crassaformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),,162,982,B,3,H,6,12.00,22.6200,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,R                ,R                   ,                     ,R                      ,                  ,                            ,                     ,                        ,F                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,R                         ,                       ,                             ,                       ,C                                      ,                         ,                         ,F                   ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),,162,982,B,4,H,2,124.00,27.2400,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,R                ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,R                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,A/D                 ,F                        ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),,162,982,B,4,H,5,124.00,31.7400,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,F                    ,                                 ,R                ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,R                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,D                   ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),,162,982,B,5,H,1,110.00,35.1000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,F                      ,                        ,                       ,                  ,C                    ,                                 ,R                ,R                   ,                     ,R                      ,                  ,                            ,                     ,                        ,R                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,R                                      ,                         ,                         ,R                   ,C                        ,from 162SR.Ch 2.Table 6.
