Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tsugaepollenites taxa	Triporopollenites taxa	Stereisporites taxa	Sciadopityspollenites taxa	Polyporopollenites taxa	Polypodiaceaesporites taxa	Pityosporites taxa	Piceapollenites taxa	Lycopodiumsporites taxa	Juglanspollenites taxa	Inaperturopollenites taxa	Gleicheniidites taxa	Erecipites taxa	Cyathidites taxa	Cicatricosisporites taxa	Cedripites taxa	Baculatisporites taxa	Sequoiapollenites taxa	Trudopollis taxa	Azolla taxa	Corsinipollenites taxa	Comment



  SR	                 	                 	                  	              	151	 908	A	 18	X	 2	  64.00	    160.3400	Manum    	Pollen/Spores                                	               	                  	                     	                      	                   	                          	                       	1                         	56                	2                   	1                      	                      	                         	                    	               	2               	                        	7              	2                    	                      	                	           	                      	Pollen sum = 71; dinocyst sum = 14; % dinocysts = 16.5; From Leg 151SR; Ch 15; Table 1; p. 290

  SR	                 	                 	                  	              	151	 908	A	 18	X	 5	  66.00	    164.8600	Manum    	Pollen/Spores                                	               	                  	                     	                      	                   	                          	                       	2                         	78                	2                   	4                      	                      	                         	                    	               	                	                        	6              	8                    	                      	                	           	                      	Pollen sum = 100; dinocyst sum = 20; % dinocysts = 16.7; From Leg 151SR; Ch 15; Table 1; p. 290

  SR	                 	                 	                  	              	151	 908	A	 18	X	 6	  66.00	    166.3600	Manum    	Pollen/Spores                                	               	                  	                     	                      	                   	                          	                       	2                         	38                	                    	6                      	                      	                         	                    	               	4               	                        	               	                     	                      	                	6          	                      	Pollen sum = 56; dinocyst sum = 13; % dinocysts = 18.8; From Leg 151SR; Ch 15; Table 1; p. 290

  SR	                 	                 	                  	              	151	 908	A	 19	X	 4	  99.00	    173.2900	Manum    	Pollen/Spores                                	               	                  	                     	                      	                   	                          	                       	                          	18                	                    	2                      	                      	                         	                    	               	                	                        	               	                     	                      	                	           	                      	Pollen sum = 20; dinocyst sum = 20; % dinocysts = 50; From Leg 151SR; Ch 15; Table 1; p. 290

  SR	                 	                 	                  	              	151	 908	A	 19	X	 5	  99.00	    174.7900	Manum    	Pollen/Spores                                	               	                  	                     	                      	                   	                          	                       	8                         	24                	6                   	4                      	                      	                         	                    	               	                	                        	               	6                    	                      	                	           	                      	Pollen sum = 48; dinocyst sum = 16; % dinocysts = 25; From Leg 151SR; Ch 15; Table 1; p. 290

  SR	                 	                 	                  	              	151	 908	A	 19	X	CC	  48.00	    175.7800	Manum    	Pollen/Spores                                	               	                  	8                    	                      	4                  	                          	                       	8                         	144               	12                  	12                     	1                     	                         	                    	               	16              	                        	52             	12                   	                      	1               	           	1                     	Pollen sum = 271; dinocyst sum = 72; % dinocysts = 21; From Leg 151SR; Ch 15; Table 1; p. 290

