leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
47,398,,3,1,0.0,150.0,34.50,34.50,36.00,, NANNOFOSSIL OOZE," 5Y5/2-LIGHT OLIVE GRAY, 5B9/1-B LUISH WHITE, 5Y6/2-YELLOWISH OLIVE GRAY, -BLACK, 5Y8 /4, 5Y7/2-YELLOWISH GRAY"," 5Y5/2 AT 0-63 CM WITH A F EW LAMINAE OF 5B9/1 NANNO CALCAREOUS OOZE, 5Y6/2 AT 63-84 CM MORE UNIFORM WITH MINOR CHANGES TO 5Y8/4 MU D IN LAMINAE OF 1 CM, 5Y7/2 AT 84-150 CM WITH VERY F INE LAMINAE OF 5B9/1 NANNO CALCAREOUS OOZE MUD"," INT ENSELY DISTURBED, MUD PEBBLE AT 120-130 CM DRILLING PRODUCED", SOME BLACK NODULES AT 63-84 CM,,," COLOR CH ANGES ARE GRADUALY HIGH WATER CONTENT AT 84-150 CM H SOFT AT 0-84 CM, VERY SOFT AT 84-150 CM",, 33213000.3908.1210,695e1c97721b990da786e9fc2fa949de,47-398-3-1
47,398,,3,2,0.0,150.0,34.50,36.00,37.50,, NANNO TERRIGENOUS OOZE," 5Y7/2-YELLOWISH GRAY, 5Y6 /2-YELLOWISH OLIVE GRAY, 5B9/1-BLUISH WHITE, 5Y4/2-O LIVE GRAY"," 5Y7/2 TO 5Y6/2 AT 0-95 CM WITH SOME CHER TS AND A FEW THIN LAMINAE OF 5B9/1 NANNO CALCAREOUS OOZE AND SOME FEW CHERTS OF 5Y4/2 NANNO TERRIGENOUS MUD, 5Y7/2 TO 5Y6/2 AT 95-150 CM WITH GRADUAL TRANSI TION SAME LITHOLOGY AS ABOVE BUT 5B9/1 NANNO CALCARE OUS MUD BECOME MORE IMPORTANT AND FORMS OVER 20 % TO TAL LENGTH IN THIN TO MEDIAN (1 CM) LAMINAE AND A FE W CHERTS WITH GRADUAL INCREASE TOWARD BOTTOM D DISTURBED, SOUPY",,,,,, SOUPY, 33213000.3908.1210,ff6a01416614734a3ab04bace4f71991,47-398-3-2
47,398,,3,3,0.0,55.0,34.50,37.50,38.05,, NANNO TERRIGENOUS MUD," 5Y7/2-YELLOWISH GRAY, 5B9/ 1-BLUISH WHITE", 5Y7/2 AT 0-55 CM WITH INTERLAYERING OF 5B9/1 NANNO CALCAREOUS MUD INCREASING AT BOTTOM, HIGHLY DISTURBED,,,, THIS SECTION SHOWS THE SAME GRA DUAL EVOLUTION AS SECTION 2, SOFT, 33213000.3908.1210,7120b9a77d4a5269ceb2b96525a34d0f,47-398-3-3
47,398,,3,3,55.0,150.0,34.50,38.05,39.00,, NANNO CALCAREOUS MUD," 5B9/1-BLUISH WHITE, 5Y7/2-Y ELLOWISH GRAY, -BLACK", 5B9/1 AT 55-150 CM WITH FINE IRREGULAR LAMINAE OF BLACK MUD (ORGANIC RICH) EVERY 5-10 CM AT 120-150 CM AND SOME IRREGULAR SMALL POCK ETS OF BLACK MUD, MODERATELY DISTURBED,,,, GRADUAL CH ANGE TO 5B9/1 MUD AT 55-150 CM WHICH BECAME THE PRED OMINANT OR ONLY MUD-TYPE BELOW 70 CM, SOFT*,,1bf727b18aa38cba46718cf161c489a3,47-398-3-3
47,398,,3,4,0.0,65.0,34.50,39.00,39.65,, NANNO OOZE," 5GY8/1-LIGHT GREENISH GRAY, 5Y7/2-YEL LOWISH GRAY, -BLACK"," 5GY8/1 AT TOP GRADING DOWNWARD TO 5Y7/2 NANNO(TERRIGENOUS) MUD AT BOTTOM, VERY FIN E TO MEDIAN (0.3 CM) LAMINAE OF BLACK MUD AND MINOR BLACK SPOTS HERE AND THERE, PARALLEL LAMINATION OR S LIGHTLY IRREGULAR THIN LAMINATION SOFT*", HIGHLY DISTURBED, DIAGENIC NODULES AND CLASTS MADE BY LIGHT CLAST O F MUD SURROUNDED BY BLACK MUD,,,,,,0bde12420a762b39040df0d9f59b36aa,47-398-3-4
47,398,,3,4,65.0,78.0,34.50,39.65,39.78,, NANNO OOZE MUD, 5B9/1-BLUISH WHITE,, HIGHLY DISTU RBED,,,, NO WELL DEFINED CONTACTS MAY BE DUE TO CORING, SOFT*,,3ef119d9556133be4165ffbb9562e689,47-398-3-4
47,398,,3,4,78.0,150.0,34.50,39.78,40.50,, NANNO OOZE," 5GY8/1-LIGHT GREENISH GRAY, 5Y6/4-DUS KY YELLOW MUD, 5Y5/2-LIGHT OLIVE GRAY"," 5GY8/1 AT 78 -150 CM WITH FINE LAMINAE (0.5-1 CM) OF 5Y6/4 MUD EV ERY 10-15 CM BELOW 90 CM OR WITH 5Y5/2 NANNO TERRIGE NOUS OOZE BELOW 90 CM, PARALLEL TO IRREGULAR LAMINAT ION", HIGHLY DISTURBED,,,, GRADUAL CHANGE AT UPPER BOU NDARY, SOFT*,,ab21574b0bb41fbe97515aa5ce29ee0f,47-398-3-4
47,398,,3,5,0.0,140.0,34.50,40.50,41.90,, NANNO OOZE," 5GY8/1-LIGHT GREENISH GRAY, 5Y7/2-YEL LOWISH GRAY, 5Y6/2, -BLACK"," 5GY8/1 ALTERNATING WITH 5Y7/2 MUD AND SOME LAMINAE OF 5Y6/2 MUD (SLIGHTLY D ARKER), SMALL BLACK SPOTS OF ORGANIC MATTER RICH MUD HERE AND THERE"," HIGHLY DISTURBED, PARALLEL LAMINAT ION DISTURBED BY DRILLING",,,, MORE UNIFORM BELOW 105 C M, SOFT*,,0368002e8921c7cb42a28052af58ab1b,47-398-3-5
47,398,,3,CC,0.0,10.0,34.50,42.00,42.00,, NANNO OOZE MUD, 5GY8/1-LIGHT GREENISH GRAY,, COMP LETELY DISTURBED BY CORING,,,,, SOFT*,,d012e64859d8626661256885b10a59d6,47-398-3-CC
47,398,,4,1,0.0,150.0,120.00,120.00,121.50,, NANNO OOZE," 5GY8/1-LIGHT GREENISH GRAY, 5Y7/2-YEL LOWISH GRAY, 5Y5/2-LIGHT OLIVE GRAY, 5Y7/1-GREENISH GRAY"," 5GY8/1 NANNO OOZE ALTERNATING WITH 5Y7/2 NANN O TERRIGENOUS MUD, SOME 5Y5/2 ORGANIC MATTER-RICH NA NNO MUD FORMING IRREGULAR CLASTS OR VERY FINE PARALL EL TO IRREGULAR LAMINATION", HIGHLY DISTURBED, DIAG ENIC CLASTS, THE DARK LAMINAE SHOWS PYRITE,," TOWARD THE BOTTOM THE MUD BECOMES PREDOMINANTLY 5Y7/1, PAR TIALLY VOID AT 0-40 CM", SOFT*,,12d6447a99dd27f0e42a8cbe232b212b,47-398-4-1
47,398,,4,2,0.0,150.0,120.00,121.50,123.00,, NANNO OOZE," 5GY7/1-GREENISH GRAY, 5GY8/1-LIGHT GR EENISH GRAY, 5Y5/2-LIGHT OLIVE GRAY, 5G8/1-LIGHT GRE ENISH GRAY"," THIN IRREGULAR LAMINATIONS OR NODULES O F 5Y5/2 MUD HERE AND THERE, TOWARD THE BOTTOM SOME I RREGULAR (DIAGENIC) NODULES OF 5G8/1 MUD", HIGHLY DI STURBED, MUD NODULES,,, 5GY7/1 GRADING DOWNWARD TO 5 GY8/1, SOFT*,,eccb8cf26435287be60f5cee5e6da3ff,47-398-4-2
47,398,,4,3,0.0,145.0,120.00,123.00,124.45,, NANNO OOZE," 5GY8/1-LIGHT GREENISH GRAY, 5Y8/1-LIG HT GREENISH GRAY", SOME IRREGULAR NODULES AND DISSEM ANATED CONCENTRATIONS OF DARK (PYRITE RICH) MUD AT 0 -80 CM, MODERATELY DISTURBED, SOME FAINT DIAGENIC NODULES BELOW 80 CM,,," 5GY8/1 AT 0-80 CM, 5Y8/1 TO 5G Y8/1 AT 80-145 CM, NO STRUCTURES OR LAMINATIONS BELO M 80 CM", SOFT*,,903d18c5a572d7351794c440745a1464,47-398-4-3
47,398,,4,4,0.0,87.0,120.00,124.50,125.37,, NANNO OOZE MUD," 5Y8/1-LIGHT GREENISH GRAY, 5GY8/1 -LIGHT GREENISH GRAY, -BLACK"," SOME FAINT DISEMINATI ON OF DARK MUD (ORGANIC MATTER) HERE AND THERE, BLAC K MUD AT 56-60 CM", SLIGHTLY DISTURBED, NODULES,,," V ERY UNIFORM, COLOR 5Y8/1 TO 5GY8/1, X-RADIOGRAPHY WI LL DEFINE IF THE NODULES ARE DUE TO BURROWING OR IF THEY ARE DIAGENIC", FIRM*,,2b7823dc5d1da64c12a92f963ddb9b1a,47-398-4-4
47,398,,4,4,87.0,93.0,120.00,125.37,125.43,, NANNO TERRIGENOUS OOZE, 5Y6/1-LIGHT OLIVE GRAY," MOTTLED, INTENSIVE BIOTURBATION IN THE TOP DWELLING BURROWING", SLIGHTLY DISTURBED,,,, SHARP BASAL CONTACT, STIFF*,,6a20930ae7870be1f1020026f7ef5454,47-398-4-4
47,398,,4,4,93.0,102.0,120.00,125.43,125.52,, MARLY NANNO OOZE (SILTY)," 5Y5/2-LIGHT OLIVE GRAY, 5Y6/1-LIGHT OLIVE GRAY, -GRAY BLACK"," 5Y5/2 WITH GR ADUAL CHANGE TOWARD THE BOTTOM TO 5Y6/1 MUD, MOTTLED AT BOTTOM, INTENSE BIOTURBATION, CHONDRITES MYCELLI A AND SMALL DEVELOPING BURROWS", SLIGHTLY DISTURBED,,,,, STIFF*,,c88c09c3a72433f8910b8737b6ea2951,47-398-4-4
47,398,,4,4,102.0,150.0,120.00,125.52,126.00,, NANNO OOZE, 5Y7/1-LIGHT GRAY,, SLIGHTLY DISTURBED, SOME IRREGULAR (DIAGENIC) NODULES (SLIGHTLY DARKE R) AND SOME ORGANIC MATTER DISEMINATED IN NODULES,,,, FIRM*,,acc0bd3d0a374b8c286e970b2e11ffee,47-398-4-4
47,398,,4,5,0.0,57.0,120.00,126.00,126.57,, NANNO OOZE MUD," 5Y8/1-LIGHT GREENISH GRAY, 5GY8/1 -LIGHT GREENISH GRAY",," SLIGHTLY DISTURBED VERY UNIFORM, 5Y8/1 TO 5GY8/1", SOME NOD ULES (BURROWS ?),,,, F IRM, 11121210.3908,f39267fd02dff13fdf7cd5115f5e3125,47-398-4-5
47,398,,4,CC,0.0,20.0,120.00,126.70,126.80,, NANNO OOZE," 5Y8/1-LIGHT GREENISH GRAY, 5GY8/1-LIG HT GREENISH GRAY",, VERY DISTURBED BY CORING,,,," VERY U NIFORM, 5Y8/1 TO 5GY8/1", SOFT, 11121210.3908,a4787d12f65f0883112e34edf2711b90,47-398-4-CC
