Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Oxeas taxa	Spherasters (Oxyasters) taxa	Isochelae taxa	Acanthotylostyles taxa	Acanthostypes taxa	Strongyles taxa	Acanthoxeas taxa	Tylostyles taxa	Triods taxa	Styles taxa	Sigmas taxa	Acanthostrongyles taxa	Streptasters taxa	Sinusoidal styles taxa	Discorhabds taxa	Hexactines taxa	Amphidiscs taxa	Distephanus crux	Triskelion gorgon	Naviculopsis constricta	Ebriopsis antiqua antiqua	Dictyocha messanensis	Craniopsis octo	Corbisema triacantha	Corbisema hastata	Bachmannocena apiculata	Ammodochium rectangulare	Adonnadonna primadonna	Comment



  SR	Early Pliocene   	                 	                  	              	152	 918	D	 13	R	 1	  93.00	    404.8300	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	          	                            	              	                      	                  	               	                	               	           	           	           	                      	                 	                      	                	               	               	12              	8                	4                      	1                        	1                    	2              	1                   	2                	2                      	6                       	1                     	3 unidentified ebridians; From Leg 152SR; Ch 13; Table 1; p 193

  SR	Early Pliocene   	                 	                  	              	152	 918	D	 14	R	 1	 109.00	    413.8900	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	          	                            	              	                      	                  	               	                	               	           	           	           	1                     	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 39	R	 1	  78.00	    648.6800	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	15        	                            	1             	                      	1                 	1              	                	3              	           	2          	           	1                     	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 39	R	 2	  95.00	    650.3500	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	14        	2                           	              	                      	                  	               	                	2              	           	1          	           	                      	                 	                      	                	1              	               	1               	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 39	R	 3	  93.00	    651.8300	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	5         	                            	2             	                      	                  	               	                	               	           	1          	           	                      	                 	                      	                	               	1              	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 39	R	 4	  18.00	    652.5800	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	7         	1                           	3             	1                     	                  	               	                	1              	           	           	1          	                      	                 	                      	1               	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

