Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Woodringina hornerstownensis	Woodringina claytonensis	Schackoina cenomana	Heterohelix globulosa	Heterohelix dentata	Hedbergella holmdelensis	Globotruncanita stuartiformis	Globotruncanella petaloidea	Abathomphalus mayaroensis	Abathomphalus intermedius	Parasubbotina variospira	Morozovella velascoensis	Morozovella conicotruncata	Morozovella angulata	Igorina tadjikistanensis	Igorina albeari	Globanomalina pseudomenardii	Subbotina triangularis	Morozovella pasionensis	Morozovella occlusa	Morozovella acuta	Acarinina soldadoensis	Acarinina nitida	Acarinina mckannai	Acarinina coalingensis	Subbotina velascoensis	Subbotina lozanoi	Morozovella lensiformis	Morozovella formosa	Acarinina pseudotopilensis	Acarinina primitiva	Subbotina inaequispira	Morozovella subbotinae	Morozovella spinulosa	Morozovella marginodentata	Morozovella caucasica	Morozovella aragonensis	Guembelitrioides higginsi	Globigerinatheka senni	Acarinina pentacamerata	Igorina broedermanni	Acarinina bullbrooki	Hantkenina alabamensis	Globorotaloides suteri	Globigerinatheka subconglobata	Globigerinatheka index	Catapsydrax unicavus	Turborotalia ampliapertura	Subbotina praeturritilina	Subbotina gortanii	Subbotina angiporoides	Pseudohastigerina naguewichiensis	Pseudohastigerina micra	Pseudohastigerina barbadoensis	Globigerina pseudovenezuelana	Globigerina ouachitaensis	Globigerina euapertura	Globigerina angustiumbilicata	Catapsydrax dissimilis	Tenuitella gemma	Paragloborotalia opima opima	Paragloborotalia opima nana	Sphaeroidinellopsis seminulina	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina acostaensis	Globoturborotalita woodi	Globoturborotalita nepenthes	Globorotalia tumida	Globorotalia plesiotumida	Globorotalia menardii	Globorotalia margaritae	Truncorotalia crassaformis	Sphaeroidinellopsis subdehiscens	Sphaeroidinellopsis paenedehiscens	Sphaeroidinella dehiscens s.l.	Globorotalia puncticulata	Globorotalia conomiozea	Globigerinoides sacculifer	Globigerinoides obliquus	Globigerinoides extremus	Globigerinoides conglobatus	Dentoglobigerina altispira	Truncorotalia tosaensis	Truncorotalia truncatulinoides	Neogloboquadrina dutertrei	Globorotalia scitula	Globorotalia inflata	Globigerina bulloides	Globorotalia hirsuta	Globigerinoides ruber	Globigerinella aequilateralis	Comment



  IR	Pleistocene      	Late Pliocene    	N22               	N21           	198	1211	C	  1	H	CC	  21.00	      7.2500	planks   	Planktonic Foraminifers                      	C              	M                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	                              	R                	F                                    	                            	                        	                            	R                  	                         	R                    	                       	A                         	                                	                                  	R                             	                         	                       	R                         	                        	R                       	R                          	                          	R                      	                              	F                         	R                   	A                   	F                    	R                   	R                    	R                            	common planktic fragments; few rads

  IR	                 	Pleistocene      	N22               	N22           	198	1211	C	  2	H	CC	  19.00	     16.8500	planks   	Planktonic Foraminifers                      	C              	M                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	                              	R                	F                                    	                            	                        	                            	R                  	                         	                     	                       	F                         	                                	                                  	R                             	                         	                       	R                         	                        	R                       	R                          	                          	R                      	F                             	F                         	F                   	A                   	F                    	                    	                     	                             	       

  IR	                 	Late Pliocene    	N21               	N21           	198	1211	C	  3	H	CC	  22.00	     26.6100	planks   	Planktonic Foraminifers                      	F              	M                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	                              	R                	                                     	                            	                        	                            	R                  	                         	                     	                       	A                         	                                	                                  	R                             	F                        	                       	                          	                        	                        	                           	                          	R                      	                              	                          	                    	                    	                     	                    	                     	                             	       

  IR	                 	Early Pliocene   	N19-N20           	N19-N20       	198	1211	C	  4	H	CC	  21.00	     36.1400	planks   	Planktonic Foraminifers                      	R              	M                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	R                             	R                	R                                    	                            	                        	                            	R                  	R                        	R                    	R                      	R                         	R                               	+                                 	R                             	F                        	F                      	F                         	R                       	R                       	R                          	F                         	                       	                              	                          	                    	                    	                     	                    	                     	                             	       
