Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Sphaeroidinellopsis seminulina	Globorotalia menardii menardii (sinistral)	Globorotalia siakensis	Globorotalia miozea	Globoquadrina dehiscens	Globoquadrina venezuelana	Globigerina nepenthes	Globigerinoides trilobus	Neogloboquadrina humerosa	Neogloboquadrina acostaensis (dextral)	Neogloboquadrina acostaensis (sinistral)	Dentoglobigerina altispira altispira	Globigerinoides obliquus obliquus	Globorotalia plesiotumida	Globorotalia scitula	Globigerinoides sacculifer	Globorotalia cf. Gr. miozea	Orbulina suturalis	Globigerina woodi	Globigerinoides quadrilobatus	Globigerinoides obliquus extremus	Globigerinita glutinata	Globorotalia menardii menardii (dextral)	Globigerina decoraperta	Globoquadrina baroemoenensis	Globorotalia conomiozea	Pulleniatina obliquiloculata obliquiloculata	Globorotalia juanai	Globorotalia menardii cultrata (sinistral)	Globorotalia margaritae primitivae	Globigerinoides pyramidalis	Orbulina bilobata	Globorotalia cf. Gr. conomiozea	Globoquadrina altispira globosa	Globoquadrina altispira conica	Globorotalia margaritae	Globigerinoides conglobatus	Globorotalia cf. Gr. juanai	Globigerinoides elongatus	Neogloboquadrina dutertrei	Globorotalia pseudopima	Globorotalia miocenica	Globigerinoides ruber	Globorotalia multicamerata	Globigerinella aequilateralis	Globorotalia menardii cultrata (dextral)	Globorotalia cf. Gr. multicamerata	Globorotalia pseudomiocenica	Globorotalia cf. Gr. miocenica	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia pertenuis	Globorotalia exilis	Globorotalia tumida	Globorotalia cf. Gr. hirsuta	Globigerina apertura	Neogloboquadrina pachyderma (dextral)	Globorotaloides hexagona	Globigerina falconensis	Globorotalia inflata	Globigerina bulloides	Candeina nitida	Globorotalia tosaensis	Sphaeroidinella dehiscens	Globorotalia truncatulinoides	Globorotalia crassula	Globigerina rubescens	Globigerinoides fistulosus	Globigerina eamsi	Globigerinella obesa	Comment



  SR	Late Pliocene    	                 	PL6               	              	157	 954	B	  3	R	CC	   0.00	    100.1000	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	                         	                                      	                                        	                                    	                                 	                         	F                   	                          	                           	                  	                 	F                            	F                                	C                      	                                        	                       	                            	                       	F                                           	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	F                          	                           	F                        	F                         	                       	                      	C                    	                          	C                            	                                        	                                  	                            	                              	                         	F                        	                      	                   	                   	                            	                    	C                                    	                        	                       	                    	                     	               	                      	R                        	                             	                     	C                    	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  4	R	 1	  90.00	    110.6000	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	F                        	                                      	                                        	                                    	                                 	                         	F                   	C                         	                           	                  	F                	                             	                                 	C                      	                                        	F                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	F                          	                           	                         	                          	                       	F                     	A                    	                          	C                            	                                        	                                  	                            	                              	C                        	C                        	R                     	C                  	                   	                            	F                   	C                                    	                        	                       	C                   	C                    	               	                      	R                        	                             	                     	                     	                          	                 	F                   	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  4	R	 2	 141.00	    112.6100	Brunner  	Planktonic Foraminifers                      	A              	G                 	A                	                              	                                          	                      	                   	                       	                         	                     	                        	                         	                                      	                                        	                                    	                                 	                         	F                   	F                         	                           	                  	                 	                             	                                 	F                      	                                        	F                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	                           	                           	                         	                          	                       	                      	C                    	                          	C                            	                                        	                                  	                            	                              	C                        	C                        	                      	R                  	                   	                            	                    	C                                    	                        	C                      	                    	C                    	               	C                     	                         	C                            	                     	                     	                          	                 	F                   	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  4	R	CC	  19.00	    112.8700	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	F                        	                                      	                                        	                                    	                                 	                         	F                   	F                         	                           	                  	                 	F                            	                                 	                       	                                        	                       	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	                           	                           	                         	                          	                       	R                     	C                    	                          	C                            	                                        	                                  	                            	                              	F                        	C                        	                      	                   	                   	                            	                    	C                                    	                        	C                      	                    	                     	               	R                     	                         	F                            	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.
