Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Textularia sp.,Istriloculina sp.,Verneuilinidae taxa,Miliolid taxa,Arenobulimina sp. A,Nezzazata sp. B,Trocholina sp. cf. T. odukpaniensis,Foraminifers (planispiral taxa),Debarina sp. cf. D. hahounerensis,Bdelloidina sp. cf. B. urgonensis,Foraminifers (attached),Cayeuxia sp.,Vercorsella sp.,Cuneolina sliteri,Spiroloculina sp.,Arenobulimina sp.,Glomospira sp.,Novalesia producta,Vercorsella sp. cf. V. arenata,Vercorsella sp. cf. V. scarsellai,Melathrokerion sp.,Nezzazata isabellae,Lituola stogguloides,Fischerina? carinata,Belorussiella sp.,Paracoskinolina sp. cf. P. sunnilandensis,Cuneolina sp. cf. C. pavonia,Orbitolinid taxa,Orbitolina (Orbitolina) sp.,Orbitolina (Conicorbitolina) sp. cf. O. aliensis,Cuneolina parva,Pseudolituonella sp.,Bacinella irregularis,Neomeris cretacea,Trocholina altispira,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  1,R, 1,  23.00,      0.2300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,              ,                 ,                   ,             ,                   ,               ,                                   ,                               ,                                 ,                                 ,R                      ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,C               ,C                          ,                                                ,               ,                    ,                     ,C                ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  2,R, 1,  59.00,      6.5900,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,              ,                 ,                   ,             ,                   ,               ,                                   ,                               ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,R                   ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  2,R, 1, 114.00,      7.1400,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,C             ,                 ,                   ,             ,                   ,               ,                                   ,                               ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  2,R, 1, 129.00,      7.2900,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,              ,                 ,                   ,             ,                   ,               ,                                   ,                               ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,F               ,F                          ,                                                ,R              ,                    ,                     ,C                ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
