column,type
Subdominant Clasts max. grain size rank [read only],lithology
Bedding thickness,lithology
COLOR,lithology
Color,lithology
MAJ lithology comment,lithology
Lithology max. grain size class,lithology
LITH 2 prefix+name [read only],lithology
Tephra,lithology
Lithology comment,lithology
Bottom contact or boundary attitude,lithology
Secondary trace fossils,lithology
Phenocryst 2 comments,lithology
Vesicle roundness,lithology
LITHOLOGY,lithology
General comment,lithology
MAJ Lith. max. grain size rank [read only],lithology
Clast comment,lithology
PREFIX,lithology
LITH 1 lithification,lithology
2ND lithic roundness,lithology
LITHOLOGY NAME,lithology
Sample domain name (if >1 domain),lithology
Diatoms abundance,lithology
Lithology,lithology
Vitric clasts (>2 mm) 3RD ORDER,lithology
MAJ Lith. Prefix,lithology
Groundmass modal percentage [%],lithology
GRAVEL SIZE CLASTROUNDNESS,lithology
Lithology name+suffix [read only],lithology
LITH 1 Clast 1 igneous -  roundness,lithology
3RD volcanic clast roundness,lithology
Lithology 2 suffix,lithology
2ND vitric roundness,lithology
lithology_classification,lithology
Grading,lithology
Microfossil abundance,lithology
Skeletal components MAJOR,lithology
COMPLETE NAME,lithology
Rock fragment - plutonic lithic,lithology
Groundmass crystal size [mm],lithology
Site,lithology
Crystals (>2 mm) 2ND ORDER,lithology
"Layer, boundary, lamination, grading",lithology
Lithology name,lithology
Lithic clasts (>2 mm) 3RD ORDER,lithology
Matrix 4 igneous - vesicular [%],lithology
Lithology prefix,lithology
Contact or boundary type,lithology
Apparent dip azimuth 1 [deg],lithology
DOMINANT crystal roundness,lithology
LITH 1 Bioturbation intensity rank [read only],lithology
LITH 1 Matrix alteration rank,lithology
Suffix,lithology
Matrix 3 igneous - massive [%],lithology
Lithology suffix,lithology
Clast lithology comment,lithology
Subdominant Clasts max. grain size class,lithology
Hornblende abundance,lithology
Crystals (>2 mm) DOMINANT,lithology
Dip azimuth measured in CRF [deg],lithology
Minor components,lithology
Skeletal components MINOR,lithology
Sediment structures,lithology
Biogenic material,lithology
Clastic grain: roundness,lithology
Major prefix modifier before principal,lithology
Bottom contact geometry,lithology
Lithological accessories comment,lithology
Bedding thickness of MAJOR lithology,lithology
Chalcedony abundance,lithology
Bottom contact or boundary geometry+definition [read only],lithology
Macrofossil abundance name,lithology
Primary trace fossils,lithology
Major modifier before principal,lithology
Groundmass comments,lithology
DOMINANT Clasts ave. grain size rank [read only],lithology
LITH 1 Clast abundance,lithology
Top [cm],lithology
Biogenic carbonate,lithology
Contact geometry,lithology
Fresh glass,lithology
Sample domain number (if >1 domain),lithology
Hole,lithology
LITH 1 Ash abundance rank (read only),lithology
Lithology (5),lithology
Principal  lithology,lithology
General interval comment,lithology
Lithology 1 prefix,lithology
