Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reinhardtites levis	Micula staurophora	Ceratolithoides aculeus	Arkhangelskiella cymbiformis	Uniplanarius sissinghii	Uniplanarius gothicus	Lithraphidites quadratus	Ceratolithoides kamptneri	Micula murus	Fasciculithus ulii	Fasciculithus pileatus	Cruciplacolithus tenuis	Chiasmolithus danicus	Fasciculithus tympaniformis	Discoaster multiradiatus	Zygrhablithus bijugatus	Toweius gammation	Sphenolithus radians	Sphenolithus editus	Ericsonia subdisticha	Discoaster lodoensis	Discoaster kuepperi	Campylosphaera dela	Reticulofenestra dictyoda	Discoaster sublodoensis	Discoaster barbadiensis	Cruciplacolithus cribellum	Sphenolithus pseudoradians	Sphenolithus obtusus	Reticulofenestra umbilica	Discoaster tanii	Discoaster tamalis	Discoaster saipanensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Sphenolithus predistentus	Discoaster deflandrei	Sphenolithus distentus	Sphenolithus ciperoensis	Reticulofenestra pseudoumbilicus	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster brouweri	Discoaster berggrenii	Calcidiscus macintyrei	Ceratolithus rugosus	Amaurolithus spp.	Discoaster asymmetricus	Pseudoemiliania lacunosa	Gephyrocapsa oceanica	Gephyrocapsa parallela	Gephyrocapsa margerelii	Gephyrocapsa (small)	Comment



  IR	                 	                 	CN14b             	CN14b         	198	1211	A	  1	H	CC	  17.00	      2.8000	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	+                       	C                    	C                     	C                      	C                   	       

  IR	                 	                 	CN14a             	CN14a         	198	1211	A	  2	H	CC	  20.00	     12.3000	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	C                       	C                    	C                     	C                      	C                   	       

  IR	                 	                 	CN12b             	CN12b         	198	1211	A	  3	H	CC	  21.00	     21.9200	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	C                  	                       	C                       	C                  	                     	C                     	                    	                 	                       	C                       	C                    	                      	                       	                    	       

  IR	                 	                 	CN11              	CN11          	198	1211	A	  4	H	CC	  19.00	     31.6800	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	F                 	                      	                       	                           	                         	                     	                      	                        	F                               	F                  	                       	F                       	F                  	                     	C                     	R                   	                 	C                      	                        	                     	                      	                       	                    	       
