Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ventilabrella multicamerata	Rugoglobigerina rugosa	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Pseudotextularia elegans	Pseudoguembelina excolata	Pseudoguembelina costulata	Heterohelix rajagopalani	Globotruncanita stuartiformis	Globotruncanita stuarti	Globotruncanella petaloidea	Globotruncanella havanensis	Globotruncana orientalis	Globotruncana mariei	Globotruncana linneiana	Globotruncana falsostuarti	Globotruncana arca	Globigerinelloides subcarinatus	Gansserina gansseri	Contusotruncana fornicata	Contusotruncana contusa	Rugoglobigerina rotundata	Racemiguembelina fructicosa	Globotruncana rosetta	Gansserina wiedenmayeri	Abathomphalus intermedius	Abathomphalus mayaroensis	Praemurica uncinata	Morozovella angulata	Guembelitria cenomana	Parasubbotina varianta	Parasubbotina pseudobulloides	Morozovella conicotruncata	Igorina pusilla	Igorina albeari	Morozovella velascoensis	Morozovella subbotinae	Morozovella pasionensis	Morozovella occlusa	Morozovella aequa	Acarinina soldadoensis	Acarinina coalingensis	Subbotina eocaena	Morozovella gracilis	Morozovella formosa	Igorina broedermanni	Acarinina quetra	Subbotina lozanoi	Pseudohastigerina wilcoxensis	Morozovella caucasica	Morozovella aragonensis	Guembelitrioides higginsi	Globigerinatheka senni	Globigerina cryptomphala	Acarinina primitiva	Acarinina pentacamerata	Acarinina bullbrooki	Tenuitella gemma	Subbotina praeturritilina	Globigerinatheka subconglobata	Globigerinatheka mexicana	Globigerinatheka index	Turborotalia ampliapertura	Subbotina angiporoides	Globorotaloides suteri	Globoquadrina tripartita	Globigerina praebulloides	Globigerina euapertura	Catapsydrax unicavus	Pseudohastigerina micra	Tenuitella munda	Globigerina angustiumbilicata	Paragloborotalia nana	Globoquadrina venezuelana	Globoquadrina baroemoenensis	Globoquadrina sellii	Globigerina officinalis	Sphaeroidinellopsis seminulina	Orbulina universa	Globoturborotalita woodi	Globoturborotalita nepenthes	Globoturborotalita decoraperta	Globorotalia miozea	Globoquadrina dehiscens	Globigerinoides ruber	Globigerina bulloides	Dentoglobigerina altispira	Sphaeroidinella dehiscens s.l.	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Neogloboquadrina acostaensis	Globorotalia menardii	Globorotalia conoidea	Globoconella conomiozea	Globigerinoides sacculifer	Globigerinoides extremus	Globigerinoides conglobatus	Globorotalia scitula	Globorotalia puncticulata	Globigerinoides subquadratus	Truncorotalia tosaensis	Truncorotalia crassaformis	Pulleniatina obliquiloculata	Orbulina suturalis	Neogloboquadrina humerosa	Globorotalia tumida	Globorotalia inflata	Globigerinoides obliquus	Truncorotalia truncatulinoides	Globorotalia hirsuta	Comment



  IR	                 	Pleistocene      	N22               	N22           	198	1211	A	  1	H	CC	  17.00	      2.8000	planks   	Planktonic Foraminifers                      	F              	P                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	F                	                        	                            	                              	                   	                       	R                    	R                    	                          	                              	F                                    	                          	                            	R                    	                     	                       	R                         	                        	F                          	                    	                         	                            	                       	F                         	F                           	                  	                         	F                  	A                   	                        	F                             	R                   	abund. rads & foram frags;

  IR	                 	Pleistocene      	                  	N22           	198	1211	A	  2	H	CC	  20.00	     12.3000	planks   	Planktonic Foraminifers                      	A              	P                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	R                	                        	                            	                              	                   	                       	F                    	R                    	                          	                              	F                                    	                          	                            	                     	                     	                       	                          	                        	R                          	                    	                         	                            	R                      	A                         	                            	                  	                         	R                  	D                   	                        	R                             	                    	       

  IR	                 	Late Pliocene    	N21               	N21           	198	1211	A	  3	H	CC	  21.00	     21.9200	planks   	Planktonic Foraminifers                      	A              	M                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	F                	                        	                            	                              	                   	                       	F                    	F                    	                          	F                             	R                                    	R                         	                            	F                    	                     	                       	R                         	                        	R                          	                    	                         	                            	R                      	F                         	R                           	R                 	F                        	F                  	R                   	R                       	                              	                    	       

  IR	Late Pliocene    	Late Pliocene    	N19-N20           	N19-N20       	198	1211	A	  4	H	CC	  19.00	     31.6800	planks   	Planktonic Foraminifers                      	C              	M                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	F                        	                            	                    	                       	F                             	R                	                        	                            	                              	                   	                       	R                    	R                    	F                         	F                             	                                     	R                         	                            	F                    	                     	                       	R                         	                        	R                          	R                   	P                        	F                           	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       
