Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni ,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comment,File Data
339-U1386B-38X-CC-PAL-FORAM,339,U1386,B,38,38-CC,X,CC,PAL,FORAM,0,5,350.3,350.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,,,,,,,,P ,,,P ,,,
339-U1386B-39X-CC-PAL-FORAM,339,U1386,B,39,39-CC,X,CC,PAL,FORAM,0,5,359.75,359.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,,,P ,,,P ,,,
339-U1386B-40X-CC-PAL-FORAM,339,U1386,B,40,40-CC,X,CC,PAL,FORAM,0,5,369.26,369.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,A ,,,,,,,,,P ,,,,,,,,,,,,,,,R ,R ,,R ,,,
339-U1386B-41X-CC-PAL-FORAM,339,U1386,B,41,41-CC,X,CC,PAL,FORAM,0,5,379.29,379.34,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1386B-42X-CC-PAL-FORAM,339,U1386,B,42,42-CC,X,CC,PAL,FORAM,0,5,388.52,388.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,P ,,,,R ,,,,,,,,,,,,,,,,,,,R ,,,R ,,,,,R ,,,R ,,,
339-U1386B-43X-CC-PAL-FORAM,339,U1386,B,43,43-CC,X,CC,PAL,FORAM,0,5,398.03,398.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,
339-U1386B-45X-CC-PAL-FORAM,339,U1386,B,46,46-CC,X,CC,PAL,FORAM,0,5,407.88,407.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,
339-U1386B-46X-CC-PAL-FORAM,339,U1386,B,48,48-CC,X,CC,PAL,FORAM,0,5,423.61,423.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1386B-49X-CC-PAL-FORAM,339,U1386,B,49,49-CC,X,CC,PAL,FORAM,0,5,451.11,451.16,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,P ,,,,R ,,P ,,,,,,P ,,,,,,,,,,,,,,,R ,,,R ,,,
339-U1386B-50X-CC-PAL-FORAM,339,U1386,B,50,50-CC,X,CC,PAL,FORAM,0,5,455.73,455.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,P ,F ,,,,,,,,R ,,,,,,,,,,,,,,,,,F ,,,,
