Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Sphenolithus belemnos,Sphenolithus abies/neoabies,Reticulofenestra spp. (small - medium),Reticulofenestra pseudoumbilicus,Helicosphaera carteri,Helicosphaera ampliaperta,Discoaster variabilis,Discoaster druggii,Discoaster deflandrei,Discoaster bollii,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus macintyrei,Sphenolithus heteromorphus,Florisphaera profunda,Calcidiscus premacintyrei,Calcidiscus leptoporus,Discoaster petaliformis,Discoaster calcaris,Rhabdosphaera clavigera,Discoaster moorei,Discoaster pentaradiatus,Discoaster signus,Discoaster brouweri,Pontosphaera spp.,Triquetrorhabdulus rugosus,Discoaster prepentaradiatus,Discoaster kugleri,Discoaster bellus,Discoaster neorectus,Thorosphaera flabellata,Scapholithus fossilis,Discoaster loeblichii,Catinaster coalitus,Catinaster calyculus,Discoaster quinqueramus,Discoaster neohamatus,Discoaster hamatus,Oolithotus antillarum,Discoaster surculus,Discoaster berggrenii,Minylitha convallis,Amaurolithus amplificus,Syracosphaera pulchra,Gephyrocapsa spp. (small),Amaurolithus primus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Ceratolithus armatus,Ceratolithus cristatus,Ceratolithus rugosus,Pseudoemiliania lacunosa,Discoaster asymmetricus,Syracosphaera spp.,Gephyrocapsa oceanica,Gephyrocapsa margerelii,Gephyrocapsa caribbeanica,Umbellosphaera irregularis,Reticulofenestra asanoi,Discosphaera tubifera,Helicosphaera wallichii,Helicosphaera inversa,Helicosphaera hyalina,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21B             ,NN21B         ,184,1146,A,  1,H,CC,   8.00,      3.7800,nannos   ,Nannofossils                                 ,A              ,G                 ,C                      ,                     ,                           ,                                      ,                                ,C                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,R                    ,                        ,                      ,                          ,A                    ,                         ,F                     ,                       ,                   ,C                      ,                 ,                        ,                 ,                   ,R                ,                          ,                           ,                  ,                 ,                    ,F                      ,R                    ,                     ,                   ,                    ,                       ,                     ,                  ,R                    ,                   ,                     ,                   ,                       ,C                    ,C                        ,                   ,                      ,                            ,                    ,F                     ,                    ,                        ,                       ,                  ,A                    ,                       ,R                        ,F                         ,                       ,R                    ,R                      ,                     ,R                    ,A                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21B             ,NN21B         ,184,1146,A,  2,H,CC,  12.00,     13.2600,nannos   ,Nannofossils                                 ,A              ,G                 ,C                      ,                     ,                           ,                                      ,                                ,C                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,R                    ,                        ,                      ,                          ,A                    ,                         ,F                     ,                       ,                   ,F                      ,                 ,                        ,                 ,                   ,                 ,                          ,                           ,                  ,                 ,                    ,F                      ,R                    ,                     ,                   ,                    ,                       ,                     ,                  ,R                    ,                   ,                     ,                   ,                       ,C                    ,C                        ,                   ,                      ,                            ,                    ,                      ,                    ,                        ,                       ,R                 ,A                    ,                       ,                         ,F                         ,                       ,                     ,R                      ,                     ,                     ,A                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21B             ,NN21B         ,184,1146,A,  3,H,CC,  13.00,     23.1000,nannos   ,Nannofossils                                 ,A              ,G                 ,C                      ,                     ,                           ,                                      ,                                ,F                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,                      ,                          ,A                    ,                         ,F                     ,                       ,                   ,C                      ,                 ,                        ,                 ,                   ,R                ,                          ,                           ,                  ,                 ,                    ,                       ,F                    ,                     ,                   ,                    ,                       ,                     ,                  ,R                    ,                   ,                     ,                   ,                       ,F                    ,A                        ,                   ,                      ,                            ,                    ,                      ,                    ,                        ,                       ,                  ,A                    ,                       ,                         ,F                         ,                       ,                     ,R                      ,                     ,                     ,C                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21A             ,NN21A         ,184,1146,A,  4,H,CC,  21.00,     32.4900,nannos   ,Nannofossils                                 ,A              ,G                 ,C                      ,                     ,                           ,                                      ,                                ,F                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,R                    ,                        ,                      ,                          ,A                    ,                         ,C                     ,                       ,                   ,F                      ,                 ,                        ,                 ,                   ,                 ,                          ,                           ,                  ,                 ,                    ,                       ,F                    ,                     ,                   ,                    ,                       ,                     ,                  ,F                    ,                   ,                     ,                   ,                       ,C                    ,A                        ,                   ,                      ,                            ,                    ,F                     ,                    ,                        ,                       ,R                 ,A                    ,                       ,                         ,F                         ,                       ,                     ,F                      ,                     ,                     ,C                ,       
