Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Rucinolithus irregularis,Zygodiscus erectus,Watznaueria britannica,Rucinolithus terebrodentarius,Rhagodiscus asper,Nannoconus steinmannii steinmannii,Nannoconus globulus,Nannoconus colomii,Nannoconus bucheri,Micrantholithus hoschulzii,Lithraphidites carniolensis,Discorhabdus rotatorius,Diazomatolithus lehmanii,Cyclagelosphaera margerelii,Cretarhabdus surirellus,Conusphaera mexicana mexicana,Vagalapilla stradneri,Parhabdolithus embergeri,Nannoconus wassallii,Nannoconus truitti,Nannoconus circularis,Microstaurus chiastius,Markalius circumradiatus,Glaukolithus diplogrammus,Biscutum constans,Rhagodiscus angustus,Nannoconus spp.,Nannoconus inconspicuus,Eprolithus floralis,Braarudosphaera africana,Pervilithus varius,Eiffellithus sp. small,Watznaueria supracretacea,Braarudosphaera stenorhetha,Zeugrhabdotus sp. cf. Z. nanum,Zeugrhabdotus sp. cf. Z. acanthus,Zeugrhabdotus pseudanthophorus,Tranolithus phacelosus,Stoverius coronatus,Rotelapillus crenulatus,Reinhardtites anthophorus,Prediscosphaera spinosa,Prediscosphaera intercisa,Prediscosphaera cretacea,Placozygus fibuliformis,Micula decussata,Micula cubiformis,Micula concava,Marthasterites furcatus,Manivitella pemmatoidea,Lucianorhabdus cayeuxii,Glaukolithus bicrescenticus,Gephyrorhabdus coronadventis,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus eximius,Cribrosphaerella ehrenbergii,Corollithion signum,Corollithion exiguum,Chiastozygus quadriperforatus,Chiastozygus litterarius,Chiastozygus amphipons,Ceratolithoides verbeekii,Ceratolithoides aculeus,Bukryaster hayi,Aspidolithus parcus expansus,Arkhangelskiella specillata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CC20(Perch-Nielsen),              ,144, 878,A,  1,R,CC,  10.00,      3.2500,Watkins  ,Nannofossils                                 ,C              ,P                 ,R                   ,                        ,                  ,                      ,                             ,                 ,                                  ,                   ,                  ,                  ,                          ,F                          ,                       ,                        ,                           ,                       ,                             ,                     ,                        ,                    ,                  ,                     ,                      ,                        ,R                        ,                 ,R                   ,               ,                       ,                   ,                        ,                  ,                      ,                         ,                           ,F                             ,R                                ,R                             ,R                     ,R                  ,R                      ,R                        ,R                      ,R                        ,F                       ,F                      ,R               ,                 ,F             ,                       ,R                      ,R                      ,R                          ,                            ,R                  ,R                          ,R                   ,F                           ,R                  ,R                   ,F                            ,R                       ,R                     ,F                        ,R                      ,               ,R                           ,R                          ,from ODP Leg 144; Ch 5; Table 1; p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N18C              ,              ,144, 878,A,  1,R,CC,  10.00,      3.2500,Watkins  ,Nannofossils                                 ,C              ,P                 ,F                   ,                        ,                  ,                      ,                             ,                 ,                                  ,                   ,                  ,                  ,                          ,F                          ,                       ,                        ,                           ,                       ,                             ,                     ,                        ,                    ,                  ,                     ,                      ,                        ,R                        ,                 ,                    ,               ,                       ,                   ,                        ,                  ,                      ,                         ,                           ,F                             ,F                                ,R                             ,R                     ,F                  ,R                      ,R                        ,R                      ,F                        ,R                       ,F                      ,R               ,R                ,F             ,R                      ,R                      ,                       ,R                          ,R                           ,R                  ,R                          ,R                   ,F                           ,R                  ,R                   ,R                            ,R                       ,R                     ,R                        ,                       ,R              ,R                           ,                           ,from ODP Leg 144; Ch 5; Table 1; p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,NC9               ,              ,144, 878,A,  2,R, 1,  20.00,      9.7000,Erba     ,Nannofossils                                 ,F              ,P                 ,R                   ,R                       ,                  ,R                     ,R                            ,                 ,                                  ,                   ,                  ,                  ,                          ,                           ,R                      ,                        ,                           ,R                      ,                             ,                     ,R                       ,                    ,                  ,                     ,R                     ,                        ,                         ,R                ,R                   ,               ,                       ,R                  ,                        ,                  ,R                     ,R                        ,R                          ,                              ,                                 ,                              ,                      ,                   ,                       ,                         ,                       ,                         ,                        ,                       ,                ,                 ,              ,                       ,                       ,                       ,                           ,                            ,                   ,                           ,                    ,                            ,                   ,                    ,                             ,                        ,                      ,                         ,                       ,               ,                            ,                           ,from ODP Leg 144 SR; Ch 8; Table 9; p 166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,NC9               ,              ,144, 878,A,  3,R, 1,  40.00,     19.4000,Erba     ,Nannofossils                                 ,F              ,P                 ,R                   ,R                       ,                  ,                      ,                             ,R                ,                                  ,                   ,                  ,                  ,                          ,R                          ,                       ,                        ,                           ,                       ,                             ,                     ,                        ,                    ,                  ,                     ,                      ,                        ,                         ,                 ,                    ,               ,                       ,                   ,                        ,R                 ,R                     ,                         ,                           ,                              ,                                 ,                              ,                      ,                   ,                       ,                         ,                       ,                         ,                        ,                       ,                ,                 ,              ,                       ,                       ,                       ,                           ,                            ,                   ,                           ,                    ,                            ,                   ,                    ,                             ,                        ,                      ,                         ,                       ,               ,                            ,                           ,from ODP Leg 144 SR; Ch 8; Table 9; p 166
