Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
108, 667,A,Initial Reports          ,       6.750,    0.470000,LO Pseudoemiliania lacunosa
,,,,,,
108, 667,A,Initial Reports          ,      11.000,    0.730000,Brunhes /Matuyama
,,,,,,
108, 667,A,Initial Reports          ,      12.150,    0.910000,Top Jaramillo
,,,,,,
108, 667,A,Initial Reports          ,      15.150,    0.980000,Base Jaramillo
,,,,,,
108, 667,A,Initial Reports          ,      16.500,    1.800000,LO Globigerinoides obliquus
,,,,,,
108, 667,A,Initial Reports          ,      28.550,    2.200000,LO Globigerina miocenica
,,,,,,
108, 667,A,Initial Reports          ,      33.000,    2.350000,LO Discoaster pentaradiatus
,,,,,,
108, 667,A,Initial Reports          ,      36.050,    2.450000,LO Discoaster surculus
,,,,,,
108, 667,A,Initial Reports          ,      41.100,    2.650000,LO Discoaster tamalis
,,,,,,
108, 667,A,Initial Reports          ,      42.100,    3.000000,LO Sphaeroidinellopsis seminulina
,,,,,,
108, 667,A,Initial Reports          ,      54.400,    3.400000,LO Globorotalia margaritae
,,,,,,
108, 667,A,Initial Reports          ,      63.900,    3.900000,LO Globigerina nepenthes
,,,,,,
108, 667,A,Initial Reports          ,      77.050,    4.600000,FO Ceratolithus rugosus
,,,,,,
108, 667,A,Initial Reports          ,      82.050,    5.300000,LO Globoquadrina dehiscens
,,,,,,
108, 667,A,Initial Reports          ,      84.650,    5.600000,LO Discoaster quinqueramus
,,,,,,
108, 667,A,Initial Reports          ,     107.550,    6.500000,FO Amaurolithus spp.
,,,,,,
108, 667,A,Initial Reports          ,     119.150,    8.200000,FO D. quinqueramus
,,,,,,
108, 667,A,Initial Reports          ,     160.100,   14.400000,LO Sphenolithus heteromorphus
,,,,,,
108, 667,A,Initial Reports          ,     196.050,   16.000000,LO Helicosphaera ampliaperta
,,,,,,
108, 667,A,Initial Reports          ,     205.550,   17.100000,FO S. heteromorphus
,,,,,,
108, 667,A,Initial Reports          ,     215.050,   17.400000,LO Sphenolithus belemnos
,,,,,,
108, 667,A,Initial Reports          ,     234.050,   21.500000,FO S. belemnos
,,,,,,
108, 667,A,Initial Reports          ,     262.550,   21.799999,LO Globorotalia kugleri
,,,,,,
108, 667,A,Initial Reports          ,     271.500,   23.600000,FO G. kugleri
,,,,,,
108, 667,A,Initial Reports          ,     319.550,   25.200001,LO Sphenolithus ciperoensis
,,,,,,
108, 667,A,Initial Reports          ,     340.200,   28.200001,LO Globorotalia opima
,,,,,,
108, 667,A,Initial Reports          ,     370.400,   30.200001,FO S. ciperoensis
,,,,,,
