Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thoracosphaera spp.	Sphenolithus moriformis	Reticulofenestra umbilica	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Chiasmolithus titus	Chiasmolithus solitus	Zygrhablithus bijugatus	Helicosphaera compacta	Discoaster tanii	Discoaster saipanensis	Cyclicargolithus floridanus	Coccolithus eopelagicus	Chiasmolithus grandis	Braarudosphaera spp.	Sphenolithus pseudoradians	Sphenolithus predistentus	Reticulofenestra bisecta	Pontosphaera spp.	Helicosphaera reticulata	Campylosphaera dela	Cribrocentrum reticulatum	Coronocyclus nitescens	Discoaster deflandrei	Clausicoccus fenestratus	Cyclicargolithus abisectus	Sphenolithus distentus	Helicosphaera recta	Micrantholithus flos	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Discoaster variabilis	Discoaster triradiatus	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster hamatus	Discoaster brouweri	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster berggrenii	Triquetrorhabdulus rugosus	Discoaster surculus	Discoaster quinqueramus	Amaurolithus primus	Amaurolithus delicatus	Sphenolithus abies	Reticulofenestra pseudoumbilica	Discoaster asymmetricus	Scyphosphaera spp.	Rhabdosphaera clavigera	Crenalithus doronicoides	Ceratolithus acutus	Discoaster tamalis	Ceratolithus cristatus	Amaurolithus tricorniculatus	Helicosphaera carteri	Hayaster perplexus	Ceratolithus armatus	Pseudoemiliania lacunosa	Discoaster bollii	Ceratolithus rugosus	Helicosphaera sellii	Umbilicosphaera sibogae	Scapholithus fossilis	Pontosphaera japonica	Gephyrocapsa oceanica	Gephyrocapsids (small)	Gephyrocapsa caribbeanica	Comment



  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  1	H	 1	  71.00	      0.7100	Clark    	Nannofossils                                 	C              	M                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	rR                      	                     	                  	                   	                      	C                     	                     	                          	rR                 	                       	                   	                      	rR                	                               	                       	C                 	C                      	C                       	                   	                  	C                     	                            	F                    	                  	                    	R                       	                 	                    	                    	C                      	R                    	                     	A                    	A                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  1	H	 2	  71.00	      2.2100	Clark    	Nannofossils                                 	C              	M                 	C                  	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	R                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	C                 	C                      	C                       	                   	                  	C                     	                            	F                    	                  	                    	R                       	                 	                    	                    	C                      	                     	                     	A                    	A                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  1	H	CC	  13.00	      3.3200	Clark    	Nannofossils                                 	C              	M                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	rR                   	                      	rR                      	                     	                  	                   	                      	A                     	                     	                          	                   	                       	                   	                      	rR                	                               	                       	F                 	C                      	C                       	                   	                  	F                     	                            	C                    	                  	                    	F                       	                 	                    	                    	C                      	                     	                     	A                    	C                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  2	H	 1	  81.00	      4.1100	Clark    	Nannofossils                                 	F              	P                 	F                  	                       	                         	                       	R                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	F                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	F                       	                   	                  	R                     	                            	R                    	                  	                    	R                       	                 	                    	                    	F                      	                     	                     	A                    	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.
