Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba,Neogloboquadrina atlantica (sinistral),Globigerinita juvenilis,Globigerinita glutinata,Globigerina bulloides,Neogloboquadrina spp.,Neogloboquadrina pachyderma (sinistral),Globorotalia scitula,Globigerina venezuelana,Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Tenuitellinata sp.,Globigerinella obesa,Tenuitella sp.,Neogloboquadrina dutertrei,Globigerinita uvula,Globorotalia inflata,Globigerina falconensis,Neogloboquadrina atlantica (dextral),Globoturborotalita rubescens,Globigerina sp. A,Streptochilus globigerum,Neogloboquadrina pachyderma (dextral),Tenuitella minutissima,Globoquadrina conglomerata,Neogloboquadrina praehumerosa,Globorotalia theyeri,Globigerinoides ruber,Tenuitella iota,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 918,A,  1,H, 1,  45.00,      0.4500,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,T                        ,-                                     ,-                      ,T                      ,T                    ,-                    ,T                                      ,-                   ,-                      ,-                        ,-                           ,-                 ,-                   ,-             ,T                         ,-                  ,-                   ,-                      ,-                                   ,-                           ,-                ,-                       ,R                                    ,-                     ,-                         ,-                            ,-                   ,-                    ,T              ,From Leg 152SR; Ch 12; Table 5; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 918,A,  1,H, 2,  19.00,      1.1900,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,T                        ,-                                     ,-                      ,T                      ,T                    ,-                    ,T                                      ,-                   ,-                      ,T                        ,T                           ,T                 ,-                   ,-             ,T                         ,-                  ,-                   ,-                      ,-                                   ,-                           ,-                ,-                       ,-                                    ,-                     ,-                         ,-                            ,-                   ,-                    ,-              ,From Leg 152SR; Ch 12; Table 5; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 918,A,  2,H, 1,  11.00,      1.9100,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,T                        ,-                                     ,-                      ,T                      ,T                    ,-                    ,T                                      ,-                   ,-                      ,-                        ,-                           ,T                 ,-                   ,-             ,-                         ,-                  ,-                   ,-                      ,-                                   ,-                           ,-                ,-                       ,-                                    ,-                     ,-                         ,-                            ,-                   ,-                    ,-              ,From Leg 152SR; Ch 12; Table 5; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 918,A,  2,H, 1,  46.00,      2.2600,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,A                        ,-                                     ,-                      ,T                      ,T                    ,-                    ,T                                      ,-                   ,-                      ,T                        ,-                           ,T                 ,T                   ,-             ,T                         ,-                  ,-                   ,-                      ,-                                   ,-                           ,-                ,-                       ,-                                    ,-                     ,-                         ,-                            ,-                   ,-                    ,-              ,From Leg 152SR; Ch 12; Table 5; p. 167
