leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
10,86,,8,1,82.0,150.0,508.00,508.82,509.50,, CALCILUTITE COCCOLITH CHALK," 5YR4/2,10YR8/2-VERY PALE ORANGE,10R5/6-REDDISH BROWN"," REDDISH BROWN MOD ERATELY BURROWED CALCAREOUS CLAY WITH GLASS COMMON O CCURS AS LAMINAE AT SEVERAL LEVELS,OVERLIES SHARPLY A ZONE OF CALCILUTITE COCCOLITH CHALK AT BASE,ASHY Z ONES AT 84-86 CM 115 CM AND 145 CM", MODERATE DEFORM ATION,,,,," HARD AND SOFT ZONES ALTERNATE, THEY ARE NOT DEPICTED HERE", 00000000
10,86,,8,2,0.0,150.0,508.00,509.50,511.00,, FORAM COCCOLITH OOZE CHALK CALCILUTITE," 10YR8/2-V ERY PALE ORANGE,5Y6/1,N3"," VERY PALE ORANGE WITH MIN OR MOTTLING OF 5Y6/1 AND N3,MODERATE TO STRONGLY BUR ROWED"," MODERATE TO INTENSE DEFORMATION,NOTE THAT CO NSOLIDATED NATURE OF CHALK SUGGESTS THAT CALCILUTITE IS GENERATED BY MECHANICAL BREAKAGE/RECRYSTALLIZATI ON OF NANNO OOZE,ALTERNATE HARD AND SOFT LAYERS NOT DEPICTED CONSIDERED MECHANICAL DEFORMATION", 12 CM C ONCRETION/NODULE WITH BAND OF FE STAIN SURROUNDING S MEAR,,,, HARD SOFT LAYERS, 11121210.1221
10,86,,8,3,0.0,70.0,508.00,511.00,511.70,, FORAM COCCOLITH OOZE CHALK CALCILUTITE, 10YR8/2-V ERY PALE ORANGE, MODERATE TO SEVERELY BURROWED,,,,, 70 CM APPOX LEVEL OF COLOR CHANGE,, 00000000
10,86,,8,3,70.0,150.0,508.00,511.70,512.50,, FORAM CLAYEY COCCOLITH OOZE CHALK CALCILUTITE, 10 YR7/4, MODERATE TO SEVERELY BURROWED,,,,, ORANGE BUFF,, 11121210.1221
10,86,,8,4,0.0,150.0,508.00,512.50,514.00,, FORAM CLAYEY NANNO COCCOLITH OOZE CHALK," 10YR7/2, N3"," MODERATELY TO SEVERELY BURROWED,MINOR LAMINAE O F ASH OTHERWISE VAGUE BANDS/BEDS OR VARYING SLIGHTLY CLAY CONTEXT",, MINOR N3 STAINING,,,,, 11121210.1221
10,86,,9,1,0.0,150.0,551.00,551.00,552.50,, CLAYEY COCCOLITH OOZE," 5YR7/2-ROSE,5YR6/1-GRAY BR OWN,10YR8/2-VERY PALE ORANGE,10YR6/2-BROWN,10R7/6,N3"," 0-30 CM ROSE MODERATE BURROW,30-40 CM GRAY BROWN STRONGLY BURROWED,30 CM CONCRETION,40-49 CM ROSE MOD ERATE BURROWED,49-58 CM GRAY BROWN MODERATE BURROWED ,92-110 CM 10YR6/2 WITH MICROBURROWS OF FES (N3) BRO WN ARGILLACEOUS,110-125 CM ROSE MODERATELY BURROWED SLIGHTLY CONCRETION,INTERCALATED BROWN TO ROSE CLAYE Y COCCOLITH OOZE WITH MINOR WHITE CALCILUTITE ALL MO DERATELY TO INTENSELY BURROWED",,,,," 58-75 CM ROSE,75-79 CM 10YR8/2 WHITE HARD NANNO OOZE (CHALK)/CALCILUTIT E,79-85 CM BROWN FORAM SLIGHTLY CLAYEY COCCOLITH OOZ E 185-92 CM 10R7/6,125-145 CM BROWN ARGILLACEOUS,145 -150 CM MIXED 10R7/6 AND 10YR6/2"," SOFT,75-79 HARD", 00000000
10,86,,9,2,0.0,150.0,551.00,552.50,554.00,, CLAYEY COCCOLITH OOZE," 10YR6/2,10R7/6,-ROSE,-BROW N,N3"," INTERCALATED BROWN TO ROSE CLAYEY COCCOLITH O OZE WITH ABUNDANT CONCRETIONARY MASSES AND ABUNDANT MICROBURROWS,BURROW/MOTTLING INTENSE MORE OR LESS TH ROUGHOUT",,,," FAECAL PELLET ZONES WITH FES ? STAINING,F AECAL MATERIAL APPEARS TO BE LARGELY CONFINED TO BRO WN (UNOXIDED ?) ZONES"," CONCRETIONARY ASPECT IS REMI NISIENT OF DEEP SEA RED CLAYS FROM LEG 1 SITES 6 AND 7,ROSE COLOR TOP PORTION OF CORE AND 69-78 CM 91-10 5 CM 109-111 CM",, 00000000
10,86,,10,CC,0.0,0.0,610.00,610.10,610.10,," DOLOMITE,FORAMS"," 10YR7/2-YELLOWISH BROWN,10YR4/2"," MOTTLED (BURROWED ?),SOME MOTTLES APPEAR TO BE MOR E ORGANIC/CLAY RICH (10YR4/2)",,, DOLOMITE THE DOLOMITE HAS GOOD PHI AND M AY HAVE ORIGINALLY BEEN A FORAM CALCARENITE, YELLOWISH BROWN DOLOMITE WITH MOLDS OF FORAMS (AND POSSIBLY O THER SKELETAL DEBRIS) MOLDS ARE PARTIALLY FILLED WIT H CALCITE FILLINGS,,, 00000000
10,86,,11,CC,0.0,0.0,669.00,669.10,669.10,," DOLOMITE,CALCILUTITE"," 10YR7/2-YELLOWISH BROWN,10Y R8/2",,,," TWO TYPES OF CARBONATE,FIRST YELLOWISH BROWN DOLOMITE SIMILAR TO CC OF 10 WITH LESS MOLDIC POROSI TY GENERALLY FINER GRAINED OTHER WISE VERY SIMILAR W ITH CALCITE IN MOLDS,SECOND 10YR8/2 (BUFF) CALCILUTI TE APPEARS TO BE RECRYSTALLIZED CHALK SIMILAR TO CHA LKS OF SHALLOWER HORIZONS",, INDURATION AND DEGREE OF RECRYSTALLIZATION SUGGESTS THAT IT REPRESENTS IN PL ACE SEDIMENT,, 11131130
10,86,,12,CC,0.0,0.0,678.00,678.10,678.10,, DOLOMITE, 10YR5/2-YELLOWISH BROWN,,,, VERY FINE GRA INED DOLOMITE WITH SPARSE MOLDS (CALCITE FILL) AS IN ABOVE SAMPLES PH1 VERY LOW PROGRESSIVE DECREASE DOW NWARD FROM CORE 10,,,, 11131130
10,86,,14,CC,0.0,0.0,686.00,686.10,686.10,, DOLOMITE,, 2 PEBBLES OF BROWN DENSE VERY FINE GRAI N DOLO VERY SIMILAR TO CLASTS FROM BARREL 12,,,,,,, 11131130
