Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia inflata,Globigerina bulloides,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1121,A,  1,H, 1,   0.00,      0.0000,forams   ,Planktonic Foraminifers                      ,T              ,P                 ,A                   ,A                    ,P                            ,       
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1121,A,  1,H,CC,  22.00,      8.3200,forams   ,Planktonic Foraminifers                      ,T              ,P                 ,A                   ,D                    ,                             ,       
,,,,,,,,,,,,,,,,,,,,
