Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Corbisema sp. 1	Corbisema praedelicata	Corbisema inermis inermis	Corbisema hastata miranda	Corbisema hastata hastata	Corbisema hastata globulata	Corbisema hastata (with small basal spines)	Corbisema delicata	Corbisema sp. cf. C.archangelskiana (with small basal spines)	Corbisema inermis var. 2	Corbisema inermis minor	Corbisema constricta constricta	Corbisema apiculata	Corbisema hastata alta	Corbisema toxeuma	Corbisema lateradiata	Corbisema disymmetrica disymmetrica	Corbisema disymmetrica crenulata	Corbisema naviculoidea	Dictyocha precarentis	Corbisema precarentis	Corbisema glezerae	Corbisema camera	Dictyocha sp. cf. D.quadralta	Dictyocha sp. 2	Corbisema sp. cf. C.flexuosa	Corbisema sp. cf. C.archangelskiana (with small basal spines and minor strut indent.)	Corbisema scapana	Corbisema hastata var. 2	Corbisema geometrica	Corbisema falklandensis	Corbisema archangelskiana	Corbisema animoparallela	Corbisema sp. cf. C.regina	Corbisema hastata cunicula	Corbisema sp. 4	Dictyocha pentagona	Corbisema sp. cf. C. toxeuma	Corbisema triacantha lepidospinosa	Naviculopsis sp. 1	Naviculopsis primativa	Corbisema constricta spinosa	Naviculopsis cruciata	Corbisema falklandensis var. 2	Corbisema triacantha lepidospinosa (short-spined)	Naviculopsis constricta	Lyramula minor	Corbisema falklandensis var. 1	Corbisema cuspis	Corbisema inermis var. 1	Corbisema bimucronata bimucronata	Dictyocha sp. 1	Corbisema sp. cf. C.naviculoidea (very constricta)	Corbisema sp. aff. C.naviculoidea	Corbisema sp. 3	Corbisema triacantha	Naviculopsis eobiapiculata	Comment



  SR	Late Paleocene   	                 	N. constricta     	              	114	 700	B	 26	R	 2	  78.00	    240.2800	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	                         	                         	                         	1                          	                                           	                  	                                                             	                        	                       	                               	                   	                      	                 	                     	                                   	                                	                      	                     	                     	                  	                	                             	               	                            	                                                                                     	                 	                        	                    	                       	                         	                        	                          	8                         	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	4                      	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	1                         	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	N. constricta     	              	114	 700	B	 27	R	 1	  60.00	    248.1000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	81                       	                         	13                       	                           	                                           	                  	                                                             	                        	                       	5                              	1                  	                      	                 	                     	                                   	                                	                      	                     	                     	85                	                	                             	               	                            	                                                                                     	                 	                        	                    	3                      	                         	                        	                          	66                        	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	40                     	              	                              	1               	                        	1                                	               	                                                  	                                 	1              	1                   	3                         	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	D. precarentis    	              	114	 700	B	 28	R	 1	 116.00	    258.1600	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	29                       	                         	110                      	20                         	                                           	                  	                                                             	                        	                       	2                              	                   	                      	                 	                     	                                   	                                	12                    	C                    	44                   	12                	                	                             	               	                            	                                                                                     	                 	                        	                    	                       	                         	                        	                          	67                        	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	3                      	              	                              	                	                        	                                 	               	                                                  	                                 	1              	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	D. precarentis    	              	114	 700	B	 28	R	 2	 116.00	    259.6600	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	33                       	                         	70                       	7                          	                                           	                  	                                                             	                        	                       	1                              	                   	                      	                 	                     	                                   	                                	4                     	A                    	147                  	2                 	                	                             	               	                            	                                                                                     	                 	                        	                    	2                      	                         	                        	                          	27                        	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	2                      	              	                              	                	                        	                                 	3              	                                                  	1                                	               	1                   	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62
