Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Tribrachiatus orthostylus,Transversopontis pulcheroides,Transversopontis pulcher,Toweius gammation,Toweius callosus,Thoracosphaera saxea,Thoracosphaera heimii,Sphenolithus radians,Sphenolithus orphanknollensis,Sphenolithus moriformis,Sphenolithus editus,Semihololithus kerabyi,Scyphosphaera tubicena,Scyphosphaera tercisensis,Scyphosphaera columella,Scyphosphaera biarritzensis,Scapholithus rhombiformis,Rhabdosphaera tenuis,Rhabdosphaera scabrosa,Rhabdosphaera pseudomorionum,Rhabdosphaera perlonga,Rhabdosphaera morionum,Rhabdolithus gladius,Reticulofenestra dictyoda,Pontosphaera plana,Pontosphaera pectinata,Pontosphaera ocellata,Pontosphaera multipora,Pontosphaera distincta,Neococcolithes protenus,Neococcolithes dubius,Nannotetrina cristata,Lophodolithus nascens,Lophodolithus mochlophorus,Helicosphaera seminulum,Helicosphaera dinesenii,Ericsonia formosa,Ellipsolithus lajollaensis,Discoaster trinus,Discoaster sublodoensis,Discoaster strictus,Discoaster septemradiatus,Discoaster nonaradiatus,Discoaster martinii,Discoaster lodoensis,Discoaster kuepperi,Discoaster gemmifer,Discoaster diastypus,Discoaster deflandrei,Discoaster binodosus,Discoaster barbadiensis,Cruciplacolithus mutatus,Cruciplacolithus cribellum,Coronocyclus prionion,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus titus,Chiasmolithus solitus,Chiasmolithus grandis,Chiasmolithus expansus,Chiasmolithus consuetus,Campylosphaera dela,Bramletteius serraculoides,Braarudosphaera bigelowii,Blackites spinosus,Birkelundia staurion,Thoracosphaera tuberosa,Sphenolithus conspicuus,Pontosphaera latoculata,Markalius inversus,Helicosphaera lophota,Chiphragmalithus armatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP10              ,              ,144, 874,A,  1,R, 1,   3.00,      0.0300,Watkins  ,Nannofossils                                 ,A              ,M                 ,R                      ,F                        ,R                            ,                        ,F                ,                ,                    ,F                    ,C                   ,F                            ,A                      ,F                  ,                      ,                      ,R                        ,                       ,R                          ,                         ,R                   ,                      ,                            ,R                     ,                      ,                    ,                         ,R                 ,                      ,R                    ,R                     ,                      ,R                      ,R                    ,                     ,R                    ,R                         ,R                      ,                       ,C                ,F                         ,                 ,                       ,                   ,F                        ,                       ,R                  ,F                   ,F                  ,                   ,R                   ,F                    ,F                   ,C                      ,                        ,                          ,F                    ,A                    ,                       ,                   ,C                    ,F                    ,                      ,R                      ,R                  ,                          ,                         ,                  ,                    ,R                      ,R                      ,R                      ,R                 ,R                    ,R                       ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP13              ,              ,144, 874,A,  1,R, 1,   7.00,      0.0700,Watkins  ,Nannofossils                                 ,A              ,G                 ,R                      ,                         ,                             ,R                       ,                 ,C               ,F                   ,F                    ,C                   ,R                            ,A                      ,                   ,                      ,                      ,                         ,                       ,                           ,                         ,R                   ,F                     ,                            ,R                     ,                      ,R                   ,F                        ,R                 ,R                     ,R                    ,R                     ,R                     ,                       ,R                    ,R                    ,                     ,                          ,R                      ,R                      ,C                ,F                         ,                 ,R                      ,R                  ,R                        ,R                      ,F                  ,                    ,                   ,R                  ,                    ,F                    ,F                   ,C                      ,                        ,R                         ,R                    ,C                    ,F                      ,F                  ,F                    ,R                    ,?                     ,R                      ,R                  ,?                         ,                         ,F                 ,R                   ,                       ,                       ,                       ,                  ,                     ,                        ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP10              ,              ,144, 874,A,  1,R, 1,   7.00,      0.0700,Watkins  ,Nannofossils                                 ,C              ,G                 ,R                      ,F                        ,R                            ,R                       ,F                ,                ,R                   ,R                    ,C                   ,                             ,A                      ,R                  ,R                     ,R                     ,R                        ,R                      ,F                          ,R                        ,F                   ,R                     ,                            ,                      ,                      ,                    ,                         ,R                 ,R                     ,R                    ,R                     ,                      ,R                      ,                     ,                     ,R                    ,                          ,R                      ,                       ,C                ,F                         ,                 ,                       ,                   ,R                        ,                       ,                   ,F                   ,C                  ,R                  ,                    ,                     ,R                   ,C                      ,R                       ,                          ,R                    ,C                    ,                       ,R                  ,R                    ,F                    ,                      ,R                      ,F                  ,                          ,                         ,F                 ,                    ,                       ,                       ,                       ,                  ,                     ,                        ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP10              ,              ,144, 874,A,  1,R, 1,   7.00,      0.0700,Watkins  ,Nannofossils                                 ,C              ,G                 ,R                      ,F                        ,R                            ,R                       ,F                ,                ,                    ,R                    ,A                   ,                             ,A                      ,                   ,R                     ,R                     ,                         ,F                      ,F                          ,                         ,F                   ,                      ,R                           ,                      ,R                     ,                    ,                         ,                  ,R                     ,R                    ,R                     ,                      ,R                      ,R                    ,                     ,R                    ,R                         ,                       ,                       ,C                ,F                         ,R                ,                       ,                   ,                         ,                       ,                   ,F                   ,C                  ,                   ,R                   ,                     ,F                   ,C                      ,R                       ,                          ,R                    ,C                    ,                       ,R                  ,F                    ,R                    ,                      ,R                      ,C                  ,                          ,R                        ,F                 ,                    ,                       ,                       ,                       ,                  ,                     ,                        ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
