Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies/neoabies,Rhabdosphaera clavigera,Reticulofenestra umbilica (>7 microns),Reticulofenestra sp. (5-7 microns),Pseudoemiliania lacunosa,Helicosphaera kamptneri,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Discoaster variabilis,Discoaster sp.,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster brouweri,Dictyococcites sp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Ceratolithus sp.,Umbilicosphaera mirabilis,Scapholithus fossilis,Pontosphaera sp.,Pontosphaera multipora,Pontosphaera japonica,Oolithotus fragilis,Hayaster perplexus,Discoaster barbadiensis,Calcidiscus leptoporus,Syracosphaera pulchra,Sphenolithus sp.,Pontosphaera discopora,Gephyrocapsa spp. (large >5.5 microns),Discoaster tamalis,Discoaster surculus,Calcidiscus macintyrei,Discoaster triradiatus,Discoaster sp. (5-rayed),Markalius inversus,Ericsonia formosa,Discoaster deflandrei,Ceratolithus cristatus,Scyphosphaera sp.,Reticulofenestra sp. (<5 microns),Holodiscolithus macroporus,Dictyococcites bisectus,Ceratolithus rugosus,Discoaster tuberi,Discoaster delicatus,Chiasmolithus sp.,Discoaster lodoensis,Discoaster septemradiatus,Discoaster saipanensis,Chiasmolithus grandis,Syracosphaera sp.,Triquetrorhabdulus rugosus,Discoaster challengeri,Helicosphaera sellii,Ceratolithus telesmus,Helicosphaera inversa,Discoaster bramlettei,Coronocyclus nitescens,Sphenolithus ciperoensis,Syracosphaera clava,Rhabdosphaera sp.,Umbellosphaera irregularis,Reticulofenestra sp.,Emiliania huxleyi,Clausicoccus fenestratus,Braarudosphaera bigelowii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 827,B,  1,R, 1,  33.00,    110.9300,Staerker ,Nannofossils                                 ,R              ,E                 ,rC                     ,rS                        ,rC                         ,S                      ,                                      ,                                  ,rS                      ,C                      ,C                                     ,C                                      ,rS                   ,rS            ,rS                     ,rC                      ,rS                 ,C                 ,rS                         ,S                    ,                ,A                        ,C                    ,S               ,                      ,S                    ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,rR                   ,R                     ,                 ,S                                ,                          ,                       ,                    ,R                ,                    ,                 ,                    ,                         ,                      ,                     ,S                ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,S                  ,                 ,                          ,                    ,R                ,                        ,R                        ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 827,B,  1,R, 2,  10.00,    112.2000,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rR                        ,rC                         ,                       ,                                      ,                                  ,                        ,C                      ,C                                     ,C                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,S                    ,                ,C                        ,C                    ,                ,                      ,                     ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,R                ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  1,R, 3,  25.00,    113.8500,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rS                        ,rC                         ,                       ,                                      ,                                  ,rS                      ,C                      ,A                                     ,C                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,rC                         ,S                    ,                ,C                        ,S                    ,S               ,R                     ,S                    ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,rR                ,rR                 ,                      ,                      ,                        ,                  ,                 ,rS                   ,R                     ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  1,R, 4,  30.00,    115.4000,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rS                        ,rC                         ,S                      ,                                      ,                                  ,                        ,C                      ,A                                     ,A                                      ,rS                   ,rS            ,                       ,rS                      ,rS                 ,C                 ,rS                         ,                     ,                ,                         ,S                    ,S               ,                      ,                     ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,R                ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
