leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
74,527,,1,1,0.0,150.0,0.00,0.00,1.50,PEB, FORAMINIFER NANNOFOSSIL OOZE," PINKISH GRAY, YELLOWISH BROWN",, GREATLY DEFORMED,,, DISCOASTERS,, SOFT, 00000000,2a2c28acc342799def66af257163f894,74-527-1-1
74,527,,1,2,0.0,150.0,0.00,1.50,3.00,PEB, FORAMINIFER NANNOFOSSIL OOZE, BROWN, BEDDING, MODERATELY DEFORMED,,,,, SOFT, 00000000,b3a05e0d2eee2c6c4bdcd2aaa8bbc703,74-527-1-2
74,527,,1,3,0.0,150.0,0.00,3.00,4.50,PEB, FORAMINIFER NANNOFOSSIL OOZE," DARK YELLOWISH BROWN,PINKISH GRAY,PALE ORANGE"," MOTTLING,BURROWS", MODERATELY DEFORMED,, PYRITE,,, SOFT, 00000000,0178f84f914c18b795e7ea67bd0da9f2,74-527-1-3
74,527,,1,4,0.0,150.0,0.00,4.50,6.00,GD, NANNOFOSSIL OOZE, PALE ORANGE, BURROWS, MODERATELY DEFORMED,,,,, SOFT, 00000000,9c34cbe2e46f0fa4e1df486dc692c577,74-527-1-4
74,527,,1,5,0.0,150.0,0.00,6.00,7.50,GD, FORAMINIFER NANNOFOSSIL OOZE, GRAYISH ORANGE,, GREATLY DEFORMED,,,,, SOFT, 00000000,8ff19338f052b68de763a9c35b8e32f1,74-527-1-5
74,527,,1,6,0.0,140.0,0.00,7.50,8.90,GD, FORAMINIFER NANNOFOSSIL OOZE, GRAYISH ORANGE,, GREATLY DEFORMED,,,,, SOFT, 00000000,143a91736b93da28c1f3372165216b1e,74-527-1-6
74,527,,1,CC,0.0,15.0,0.00,9.00,9.05,GD, FORAMINIFER NANNOFOSSIL OOZE, GRAYISH ORANGE,, GREATLY DEFORMED,,,,, SOFT, 00000000,df2e68be5891c8c296a46a1a37ca410a,74-527-1-CC
74,527,,2,1,0.0,150.0,9.00,9.00,10.50,AL, NANNOFOSSIL OOZE," YELLOWISH GRAY, PALE ORANGE",, MODERATELY DEFORMED,,,,, SOFT, 00000000,791faf57b4163dae45eb4031d6de97b7,74-527-2-1
74,527,,2,2,0.0,150.0,9.00,10.50,12.00,AL, NANNOFOSSIL OOZE," YELLOWISH GRAY, PALE ORANGE",, MODERATELY DEFORMED,,,,, SOFT, 00000000,21cd7d9100e7c9a999f384c47447c5f1,74-527-2-2
74,527,,2,3,0.0,104.0,9.00,12.00,13.04,AL, NANNOFOSSIL OOZE," YELLOWISH GRAY, PALE ORANGE",, MODERATELY DEFORMED,,,,, SOFT, 00000000,1e72b4e90f819eb90d57d2b6ea641a91,74-527-2-3
74,527,,2,4,0.0,150.0,9.00,13.50,15.00,AL, NANNOFOSSIL OOZE," PALE ORANGE,WHITE",,,,,,, SOFT, 00000000,b87b45b5ab5cd6b143ed14131dabb3e4,74-527-2-4
74,527,,2,5,0.0,30.0,9.00,15.00,15.30,AL, NANNOFOSSIL OOZE," PALE ORANGE,WHITE",,,,,,, SOFT, 00000000,82da7520b81c1c9f0da69b0210f0a221,74-527-2-5
74,527,,2,CC,0.0,15.0,9.00,15.40,15.45,AL, NANNOFOSSIL OOZE," PALE ORANGE,WHITE",,,,,,, SOFT, 00000000,57c04264d4ecea55a2c9b19a99d726b3,74-527-2-CC
74,527,,3,1,0.0,150.0,18.50,18.50,20.00,GD, NANNOFOSSIL OOZE," WHITE,LIGHT GRAY",, MODERATELY DEFORMED,,,,, SOFT, 00000000,799ddfde9d903703462d8a68ba7dc937,74-527-3-1
74,527,,3,2,0.0,150.0,18.50,20.00,21.50,GD, NANNOFOSSIL OOZE," WHITE,LIGHT GRAY", BURROWS, GREATLY DEFORMED,,,,, SOFT, 00000000,cbace88037c41a7aa4d17ac8b5e2ca7d,74-527-3-2
74,527,,3,3,0.0,122.0,18.50,21.50,22.72,GD, NANNOFOSSIL OOZE," YELLOWISH GREY,WHITE", BURROWS, GREATLY DEFORMED,,,,, SOFT, 00000000,15d18403ba24d6e848d74621ab80586e,74-527-3-3
74,527,,3,4,0.0,150.0,18.50,23.00,24.50,GD, NANNOFOSSIL OOZE," WHITE,PINKISH GREY",, GREATLY DEFORMED,,,,, SOFT, 00000000,d1609a7d22055103d7b7cb1ca0890a45,74-527-3-4
74,527,,3,5,0.0,20.0,18.50,24.50,24.70,GD, NANNOFOSSIL OOZE, WHITE,,,,,,, SOFT, 00000000,190590ea5be9a46f459564f501908e69,74-527-3-5
74,527,,3,CC,0.0,10.0,18.50,24.81,24.81,GD, NANNOFOSSIL OOZE, WHITE,,,,,,, SOFT, 00000000,8a1ad74d1baf88f02750ef2f21c6384e,74-527-3-CC
74,527,,4,1,0.0,10.0,28.00,28.00,28.10,AL, NANNOFOSSIL OOZE, WHITE,,,,,,, SOFT, 00000000,b1bb05d84055cd496be91532f1b267f1,74-527-4-1
74,527,,4,2,0.0,52.0,28.00,29.50,30.02,AL, NANNOFOSSIL OOZE, WHITE,,,,,,, SOFT, 00000000,047eeab74d93e3c14ce3931f9f918df8,74-527-4-2
74,527,,4,CC,0.0,6.0,28.00,30.12,30.08,AL, NANNOFOSSIL OOZE, PALE ORANGE,,,,,,, SOFT, 00000000,133445bf21119f7b7703bf86b18f2632,74-527-4-CC
74,527,,5,1,0.0,150.0,37.50,37.50,39.00,GD, NANNOFOSSIL OOZE," WHITE,LIGHT GRAY",, SLIGHTLY DEFORMED,,,,, SOFT, 00000000,4a69fbc3f9ff875bab1446eaf0d0bb81,74-527-5-1
