Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius gammation,Reticulofenestra umbilica,Discoaster saipanensis,Discoaster limbatus,Discoaster falcatus,Coccolithus pelagicus,Coccolithus formosus,Chiasmolithus solitus,Discoaster nodifer,Coccolithus eopelagicus,Chiasmolithus grandis,Dictyococcites bisectus,Dictyococcites scrippsae,Cribrocentrum reticulatum,Isthmolithus recurvus,Chiasmolithus expansus,Discoaster tanii ornatus,Discoaster deflandrei,Cyclicargolithus floridanus,Discoaster tanii,Coronocyclus nitescens,Reticulofenestra hillae,Zygrhablithus bijugatus,Sphenolithus moriformis,Reticulofenestra orangensis,Reticulofenestra hampdenensis,Lanternithus minutus,Blackites spinosus,Chiasmolithus oamaruensis,Reticulofenestra oamaruensis,Pontosphaera pulchripora,Pontosphaera plana,Chiasmolithus altus,Reticulofenestra lockerii,Clausicoccus fenestratus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,NP21              ,NP22          ,182,1128,D,  1,R,CC,  11.00,    236.7300,Shafik   ,Nannofossils                                 ,C              ,M                 ,                 ,A                        ,                      ,                   ,                   ,                     ,                    ,                     ,R                 ,F                      ,                     ,F                      ,F                       ,                         ,C                    ,                      ,                        ,R                    ,C                          ,                ,                      ,A                      ,                       ,F                      ,                           ,C                            ,                    ,F                 ,F                        ,                            ,R                       ,                  ,A                  ,F                        ,F                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NP21              ,NP21          ,182,1128,D,  2,R,CC,  10.00,    243.8700,Shafik   ,Nannofossils                                 ,C              ,M                 ,                 ,C                        ,                      ,                   ,                   ,                     ,C                   ,                     ,C                 ,R                      ,                     ,C                      ,F                       ,                         ,C                    ,                      ,                        ,F                    ,                           ,                ,                      ,C                      ,C                      ,F                      ,R                          ,C                            ,C                   ,F                 ,C                        ,F                           ,R                       ,R                 ,F                  ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NP21          ,182,1128,D,  3,R,CC,  24.00,    254.2800,Shafik   ,Nannofossils                                 ,C              ,P                 ,                 ,C                        ,                      ,                   ,                   ,                     ,R                   ,                     ,F                 ,                       ,                     ,C                      ,F                       ,                         ,C                    ,                      ,                        ,                     ,C                          ,                ,                      ,F                      ,                       ,                       ,R                          ,F                            ,                    ,                  ,F                        ,                            ,                        ,                  ,                   ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D,  4,R,CC,  11.00,    263.9400,Shafik   ,Nannofossils                                 ,F              ,M                 ,                 ,C                        ,                      ,                   ,                   ,                     ,R                   ,                     ,                  ,                       ,                     ,C                      ,F                       ,                         ,                     ,                      ,                        ,                     ,C                          ,                ,                      ,                       ,R                      ,F                      ,R                          ,F                            ,R                   ,R                 ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,       
