Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Amaurolithus spp.,Discoaster pentaradiatus,Sphenolithus spp.,Calcidiscus leptoporus,Ceratolithus spp.,Ceratolithus rugosus,Ceratolithus acutus,Discoaster surculus,Discoaster brouweri,Discoaster asymmetricus,Ceratolithus telesmus,Pseudoemiliania lacunosa,Helicosphaera carteri,Discoaster tamalis,Helicosphaera sellii,Coccolithus pelagicus,Discoaster triradiatus,Gephyrocapsa oceanica s.l.,Gephyrocapsa large,Gephyrocapsa (small),Gephyrocapsa sp. 3,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1011,C,  1,H,CC,  17.00,      3.3000,Fornaciari,Nannofossils                                 ,F/C            ,M                 ,                                ,                 ,                        ,                 ,R                     ,                 ,                    ,                   ,                   ,                   ,                       ,                     ,                        ,                     ,                  ,                    ,R                    ,                      ,R                         ,                  ,C                   ,                  ,C/A              ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1011,C,  2,H,CC,  32.00,     13.3700,Fornaciari,Nannofossils                                 ,C              ,M/G               ,                                ,                 ,                        ,                 ,                      ,                 ,                    ,                   ,                   ,                   ,                       ,                     ,                        ,R                    ,                  ,                    ,R                    ,                      ,R/F                       ,                  ,A                   ,                  ,+                ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1011,C,  3,H,CC,   6.00,     22.2900,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,                        ,                 ,F                     ,                 ,                    ,                   ,                   ,                   ,                       ,                     ,+                       ,R                    ,                  ,                    ,                     ,                      ,C                         ,                  ,A                   ,R                 ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1011,C,  4,H,CC,  28.00,     32.4100,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,                        ,                 ,R                     ,R                ,                    ,                   ,                   ,                   ,                       ,R                    ,C                       ,C                    ,                  ,                    ,                     ,                      ,C                         ,                  ,A                   ,C                 ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,C,  5,H,CC,  19.00,     41.6400,Fornaciari,Nannofossils                                 ,R              ,P                 ,                                ,                 ,                        ,                 ,                      ,R                ,                    ,                   ,                   ,                   ,                       ,                     ,+                       ,+                    ,                  ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
