Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylodictya validispina,Stylatractus universus,Stichocorys peregrina,Phormostichoartus crustula,Phormostichoartus corbula,Larcospira moschkovskii,Lamprocyclas junonis,Eucyrtidium teuscheri group,Eucyrtidium erythromystax,Botryostrobus tumidulus,Botryostrobus praetumidulus,Anthocyrtidium pliocenica,Eucyrtidium calvertense,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Stichocorys delmontensis,Diartus hughesi,Botryostrobus aquilonaris,Stylacontarium acquilonium,Lithelius sp.,Dictyophimus splendens,Actinomma popofskii,Gondwanaria hister,Acrosphaera murrayana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,C,  1,H,CC,  17.00,      3.3000,Caulet   ,Radiolarians                                 ,R              ,P                 ,                       ,                      ,T                    ,                          ,                         ,                       ,                    ,                           ,                         ,                       ,                           ,                         ,                       ,                           ,                        ,                        ,               ,+                        ,                          ,             ,                      ,                   ,T                 ,+                    ,from IR. Ch 5. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,C,  4,H,CC,  28.00,     32.4100,Caulet   ,Radiolarians                                 ,R              ,P                 ,                       ,                      ,                     ,                          ,                         ,                       ,                    ,                           ,                         ,                       ,                           ,                         ,                       ,                           ,                        ,                        ,               ,+                        ,+                         ,+            ,                      ,                   ,                  ,                     ,from IR. Ch 5. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,C,  9,H,CC,  24.00,     79.7100,Caulet   ,Radiolarians                                 ,R              ,P                 ,                       ,                      ,                     ,                          ,                         ,                       ,                    ,                           ,                         ,                       ,                           ,                         ,                       ,                           ,                        ,                        ,               ,+                        ,+                         ,+            ,                      ,                   ,                  ,                     ,from IR. Ch 5. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,C, 10,H,CC,  35.00,     89.2700,Caulet   ,Radiolarians                                 ,R              ,P                 ,                       ,                      ,                     ,                          ,                         ,                       ,                    ,                           ,                         ,                       ,                           ,                         ,                       ,                           ,                        ,                        ,               ,+                        ,+                         ,             ,                      ,                   ,                  ,                     ,from IR. Ch 5. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
