Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema nitzschioides	Denticulopsis praelauta	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Cavitatus jouseanus	Aulacoseira spp.	Actinocyclus ingens	Stephanopyxis turris	Denticulopsis lauta	Thalassiothrix longissima	Paralia sulcata	Denticulopsis hyalina	Crucidenticula nicobarica	Actinoptychus senarius	Denticulopsis simonsenii	Thalassiosira yabei	Denticulopsis praedimorpha	Delphineis simonsenii	Proboscia barboi	Actinocyclus ellipticus	Azpeitia nodulifera	Rhizosolenia hebetata f. hiemalis	Ikebea tenuis	Denticulopsis dimorpha	Denticulopsis katayamae	Thalassionema schraderi	Rouxia californica	Koizumia tatsunokuchiensis	Nitzschia fossilis	Thalassiosira lineata	Odontella aurita	Hemidiscus cuneiformis	Actinocyclus curvatulus	Thalassiosira nidulus	Nitzschia rolandii	Neodenticula kamtschatica	Nitzschia reinholdii	Thalassiosira antiqua	Nitzschia marina	Pyxidicula zabelinae	Cocconeis costata	Coscinodiscus radiatus	Stephanopyxis horridus	Proboscia curvirostris	Thalassiosira eccentrica	Thalassiosira jouseae	Thalassiosira praeoestrupii	Thalassiosira jacksonii	Asteromphalus flabellatus	Thalassiosira oestrupii	Delphineis surirella	Actinocyclus oculatus	Thalassiosira latimarginata	Thalassiosira gravida	Actinocyclus ochotensis	Neodenticula koizumii	Neodenticula seminae	Rhizosolenia bergonii	Actinocyclus octonarius	Bacterosira fragilis	Nitzschia interruptestriata	Fragilariopsis doliolus	Comment



  IR	                 	                 	                  	NPD 11        	186	1151	A	  2	R	 1	  70.00	     78.7000	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	                        	F                                	                   	                	                   	F                   	                   	R                        	R              	                     	                         	                      	                        	                   	                          	                     	R               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	                         	                    	                     	                	                    	                 	                      	                      	R                     	F                       	R                    	                           	                       	                         	R                      	                    	                     	F                          	                     	                       	                     	C                   	                     	                       	                    	                           	R                      	       

  IR	                 	                 	                  	              	186	1151	A	  2	R	CC	   5.00	     82.0800	Ikeda    	Diatoms                                      	A              	G                 	C                          	                       	                        	A                                	                   	                	                   	R                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	R               	                      	F                      	                     	                  	                         	                    	                     	R               	                    	R                	                      	                      	R                     	                        	C                    	                           	                       	                         	R                      	                    	                     	                           	F                    	                       	                     	C                   	                     	                       	                    	C                          	                       	       

  IR	                 	                 	                  	              	186	1151	A	  3	R	CC	   0.00	     92.5000	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	C                       	A                                	                   	                	                   	                    	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	                         	                    	                     	                	                    	                 	                      	                      	R                     	                        	F                    	                           	                       	                         	                       	                    	                     	                           	C                    	                       	                     	R                   	                     	                       	                    	                           	                       	r=T(N.koi)

  IR	                 	                 	                  	NPD 10        	186	1151	A	  4	R	 2	 138.00	     96.1800	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	F                       	C                                	                   	                	                   	F                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	                         	                    	                     	R               	                    	                 	                      	                      	                      	                        	F                    	                           	                       	                         	                       	                    	F                    	                           	F                    	                       	                     	C                   	                     	                       	R                   	                           	                       	       
