Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies	Reticulofenestra pseudoumbilica	Helicosphaera carteri	Discoaster variabilis	Discoaster hamatus	Discoaster bellus	Coccolithus pelagicus	Catinaster coalitus	Calcidiscus leptoporus	Discoaster neorectus	Discoaster intercalaris	Discoaster asymmetricus (grainy)	Discoaster brouweri	Scyphosphaera pulcherrima	Reticulofenestra minuta	Discoaster prepentaradiatus	Discoaster bollii	Discoaster pentaradiatus	Discoaster neohamatus	Thoracosphaera sp.	Discoaster deflandrei	Discoaster surculus	Discoaster quinqueramus	Reticulofenestra minutula	Discoaster loeblichii	Discolithina sp.	Pontosphaera pachymorpha	Triquetrorhabdulus rugosus	Discoaster berggrenii	Calcidiscus tropicus	Amaurolithus amplificus	Amaurolithus primus	Amaurolithus delicatus	Helicosphaera sellii	Microrhabdulus attenuatus	Ceratolithus armatus	Ceratolithus sp.	Discoaster blackstockae	Discolithina japonica	Discoaster tristellifer	Pseudoemiliania lacunosa	Crenalithus sp.	Sphenolithus neoabies	Umbilicosphaera sibogae	Ceratolithus rugosus	Ceratolithus cristatus	Gephyrocapsa spp. (small)	Umbilicosphaera sp.	Helicosphaera neogranulata	Syracosphaera pulchra	Discoaster triradiatus	Discoaster sp.	Gephyrocapsa oceanica s.l.	Scapholithus fossilis	Helicosphaera wallichii	Discosphaera tubifera	Rhabdosphaera clavigera	Comment



  SR	Pliocene         	Pleistocene      	CN14b             	CN15          	116	 717	C	  2	H	CC	   5.00	     16.2800	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	T                     	                    	                       	                                	T                  	                         	                       	T                          	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	R                    	                       	                    	                      	                         	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN14b             	CN15          	116	 717	C	  3	X	CC	   0.00	     17.5000	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	T                      	                    	                      	                         	                   	                          	T                    	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN14b             	CN15          	116	 717	C	  4	X	 1	   3.00	     27.0300	Gartner  	Nannofossils                                 	               	                  	                  	                               	T                    	                     	                  	                 	                     	                   	C                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	F                      	                    	C                     	R                        	                   	                          	                     	                      	              	A                         	                     	                       	                     	T                      	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN14b             	CN15          	116	 717	C	  4	X	CC	  21.00	     27.6000	Gartner  	Nannofossils                                 	               	                  	                  	                               	R                    	                     	                  	                 	                     	                   	T                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175
