Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praeorbulina sicanus,Praeorbulina glomerosa,Neogloboquadrina continuosa,Globorotalia mayeri,Globorotalia fohsi peripheroacuta,Globoquadrina venezuelana,Globoquadrina dehiscens,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides subquadratus,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinita glutinata,Globigerinella obesa,Globigerina praebulloides,Globoquadrina praedehiscens,Globoquadrina baroemoenensis,Globigerinoides sacculifer,Globigerinoides obliquus,Globigerinatella insueta,Globigerina bulloides,Orbulina suturalis,Globorotalia fohsi fohsi,Globorotalia (fohsi/lobata transition),Globigerina decoraperta,Globorotalia praescitula,Globorotalia lenguaensis,Globigerinella aequilateralis,Sphaeroidinellopsis disjuncta,Orbulina universa,Orbulina bilobata,Globorotalia acrostoma,Globigerinoides mitra,Sphaeroidinellopsis subdehiscens,Sphaeroidinellopsis seminulina,Globorotalia praemenardii,Globigerina woodi,Globigerina cf. woodi,Globoquadrina altispira globosa,Clavatorella bermudezi,Globorotalia fohsi lobata,Globorotalia cf. scitula,Globorotalia fohsi robusta,Globorotalia menardii,Globorotalia limbata,Neogloboquadrina pseudopachyderma,Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Globigerinoides ruber,Globigerinoides extremus,Globigerina nepenthes,Sphaeroidinellopsis paenedehiscens,Globorotalia scitula,Globorotalia paralenguaensis,Globorotalia multicamerata,Globigerinoides conglobatus,Candeina nitida,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia margaritae margaritae,Globorotalia juanai,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia exilis,Globorotalia cibaoensis,Globigerina incisa,Globorotalia ungulata,Globorotalia crassaformis crassaformis,Globorotalia cf. Gr. multicamerata,Globigerina apertura,Globorotalia flexuosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 626,C,  1,X,CC,  17.00,      0.1700,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,                         ,                       ,r                                ,F                       ,                            ,F                            ,F                        ,                       ,                    ,                         ,                           ,                            ,F                         ,                        ,                        ,                     ,                  ,                        ,                                      ,                       ,                        ,                        ,                             ,                             ,F                ,                 ,                      ,                     ,r                               ,                              ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,                          ,F                    ,                    ,                                 ,                         ,                            ,                         ,R                    ,r                       ,r                    ,r                                 ,                    ,                            ,r                         ,F                          ,               ,                         ,                   ,F                            ,                      ,r                                 ,                   ,                            ,R                         ,                   ,                       ,                  ,                     ,R                                     ,r                                 ,                    ,r                    ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 626,C,  2,X,CC,  21.00,      8.4800,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,r                        ,                       ,r                                ,F                       ,                            ,F                            ,F                        ,R                      ,                    ,                         ,                           ,                            ,F                         ,                        ,                        ,                     ,                  ,                        ,                                      ,r                      ,                        ,                        ,                             ,                             ,F                ,R                ,                      ,                     ,                                ,                              ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,                          ,F                    ,                    ,                                 ,                         ,                            ,                         ,R                    ,r                       ,r                    ,                                  ,                    ,                            ,                          ,F                          ,               ,                         ,                   ,F                            ,                      ,r                                 ,                   ,                            ,R                         ,                   ,                       ,                  ,                     ,                                      ,r                                 ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 626,C,  3,X, 3,  25.00,     19.7500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,r                        ,                       ,r                                ,F                       ,                            ,F                            ,F                        ,                       ,                    ,                         ,                           ,                            ,F                         ,                        ,                        ,                     ,                  ,                        ,                                      ,                       ,                        ,                        ,                             ,                             ,F                ,R                ,                      ,                     ,                                ,                              ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,                          ,F                    ,                    ,                                 ,                         ,                            ,                         ,R                    ,r                       ,r                    ,r                                 ,                    ,                            ,                          ,F                          ,               ,                         ,                   ,F                            ,                      ,r                                 ,                   ,R                           ,R                         ,                   ,                       ,                  ,R                    ,F                                     ,r                                 ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 626,C,  3,X,CC,  29.00,     21.7500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,r                        ,r                      ,r                                ,C                       ,                            ,F                            ,F                        ,R                      ,                    ,                         ,                           ,                            ,F                         ,                        ,                        ,                     ,                  ,                        ,                                      ,                       ,                        ,                        ,R                            ,                             ,F                ,                 ,                      ,                     ,                                ,                              ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,r                         ,F                    ,                    ,                                 ,                         ,                            ,                         ,R                    ,                        ,r                    ,                                  ,                    ,                            ,r                         ,                           ,R              ,R                        ,                   ,F                            ,                      ,r                                 ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,r                                 ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
