Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra bisecta,Coccolithus sp.,Sphenolithus heteromorphus,Helicosphaera intermedia,Coccolithus pelagicus,Sphenolithus moriformis,Helicosphaera kamptneri,Cyclococcolithus leptoporus,Cyclicargolithus floridanus,Reticulofenestra sp.,Discoaster variabilis,Cyclococcolithus macintyrei,Discoaster exilis,Scyphosphaera apsteinii,Discoaster quinqueramus,Discoaster brouweri,Discoaster berggrenii,Syracosphaera pulchra,Sphenolithus abies,Reticulofenestra pseudoumbilica,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster asymmetricus,Umbilicosphaera sibogae,Umbellosphaera irregularis,Scapholithus fossilis,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Neosphaera coccolithomorpha,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Gephyrocapsa (small),Discolithina caponica,Thoracosphaera sp.,Emiliania huxleyi,Hayaster perplexus,Comment
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 16,H, 5,  43.00,    147.2300,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,R                         ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 16,H,CC,  11.00,    150.5400,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,R                         ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 17,H, 1,  40.00,    150.8000,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,R                         ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 17,H, 3,  40.00,    153.8000,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,                          ,                        ,R                    ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 17,H, 5,  39.00,    156.7900,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,R                         ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 17,H, 7,  39.00,    159.7900,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,R                         ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 18,H, 1,  40.00,    160.4000,Watkins  ,Nannofossils                                 ,               ,M                 ,R                       ,F              ,R                         ,                        ,R                    ,R                      ,R                      ,R                          ,R                          ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 18,H, 3,  40.00,    163.4000,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,R                         ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 18,H, 4,  40.00,    164.9000,Watkins  ,Nannofossils                                 ,               ,M                 ,R                       ,F              ,R                         ,                        ,                     ,R                      ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN5               ,              ,101, 626,C, 18,H, 5,  40.00,    166.4000,Watkins  ,Nannofossils                                 ,               ,M                 ,R                       ,R              ,R                         ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
