Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra bisecta,Coccolithus sp.,Sphenolithus heteromorphus,Helicosphaera intermedia,Coccolithus pelagicus,Sphenolithus moriformis,Helicosphaera kamptneri,Cyclococcolithus leptoporus,Cyclicargolithus floridanus,Reticulofenestra sp.,Discoaster variabilis,Cyclococcolithus macintyrei,Discoaster exilis,Scyphosphaera apsteinii,Discoaster quinqueramus,Discoaster brouweri,Discoaster berggrenii,Syracosphaera pulchra,Sphenolithus abies,Reticulofenestra pseudoumbilica,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster asymmetricus,Umbilicosphaera sibogae,Umbellosphaera irregularis,Scapholithus fossilis,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Neosphaera coccolithomorpha,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Gephyrocapsa (small),Discolithina caponica,Thoracosphaera sp.,Emiliania huxleyi,Hayaster perplexus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 626,C,  3,X, 4,  40.00,     21.4000,Watkins  ,Nannofossils                                 ,               ,M                 ,                        ,               ,                          ,                        ,                     ,                       ,R                      ,                           ,                           ,                    ,                     ,                           ,                 ,R                      ,                       ,                   ,                     ,R                    ,                  ,                               ,                  ,                   ,                        ,                       ,R                      ,R                         ,R                    ,R                      ,                        ,R                          ,R                    ,R                        ,C                   ,                     ,                  ,R                ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 626,C,  3,X,CC,  29.00,     21.7500,Watkins  ,Nannofossils                                 ,               ,M                 ,                        ,               ,                          ,                        ,                     ,                       ,R                      ,R                          ,                           ,                    ,                     ,                           ,                 ,R                      ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,R                    ,R                        ,F                   ,R                    ,                  ,R                ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 626,C,  4,X, 1,  40.00,     25.9000,Watkins  ,Nannofossils                                 ,               ,G                 ,                        ,               ,                          ,                        ,R                    ,                       ,R                      ,                           ,                           ,                    ,                     ,                           ,                 ,R                      ,                       ,                   ,                     ,R                    ,                  ,                               ,                  ,                   ,                        ,                       ,R                      ,                          ,R                    ,R                      ,                        ,                           ,F                    ,R                        ,A                   ,R                    ,                  ,R                ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 626,C,  4,X, 2,  40.00,     27.4000,Watkins  ,Nannofossils                                 ,               ,G                 ,                        ,               ,                          ,                        ,                     ,                       ,R                      ,                           ,                           ,                    ,                     ,                           ,                 ,R                      ,                       ,                   ,                     ,R                    ,                  ,                               ,                  ,                   ,                        ,                       ,R                      ,                          ,R                    ,R                      ,                        ,R                          ,R                    ,R                        ,A                   ,                     ,                  ,R                ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 626,C,  4,X,CC,   7.00,     28.1900,Watkins  ,Nannofossils                                 ,               ,G                 ,                        ,               ,                          ,                        ,R                    ,                       ,R                      ,R                          ,                           ,                    ,                     ,                           ,                 ,R                      ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,R                      ,                        ,                           ,R                    ,R                        ,C                   ,R                    ,                  ,R                ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 626,C,  5,X, 1,  40.00,     35.5000,Watkins  ,Nannofossils                                 ,               ,G                 ,                        ,               ,                          ,                        ,R                    ,                       ,R                      ,                           ,                           ,                    ,                     ,                           ,                 ,R                      ,                       ,                   ,                     ,R                    ,                  ,                               ,                  ,                   ,                        ,                       ,R                      ,R                         ,                     ,R                      ,                        ,R                          ,R                    ,R                        ,A                   ,                     ,                  ,R                ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN19              ,NN21          ,101, 626,C,  5,X,CC,  33.00,     36.1600,Watkins  ,Nannofossils                                 ,               ,G                 ,                        ,               ,                          ,                        ,                     ,                       ,R                      ,R                          ,                           ,                    ,                     ,F                          ,                 ,R                      ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,R                      ,                          ,                     ,R                      ,R                       ,                           ,R                    ,                         ,F                   ,                     ,R                 ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN19              ,NN21          ,101, 626,C,  6,X, 1,  35.00,     45.0500,Watkins  ,Nannofossils                                 ,               ,M                 ,                        ,               ,                          ,                        ,R                    ,                       ,R                      ,R                          ,                           ,                    ,                     ,R                          ,                 ,R                      ,                       ,                   ,                     ,R                    ,                  ,                               ,                  ,                   ,                        ,                       ,F                      ,                          ,R                    ,R                      ,R                       ,R                          ,R                    ,R                        ,F                   ,R                    ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN19              ,NN21          ,101, 626,C,  6,X,CC,  29.00,     46.0400,Watkins  ,Nannofossils                                 ,               ,M                 ,                        ,               ,                          ,                        ,R                    ,                       ,F                      ,R                          ,                           ,                    ,                     ,R                          ,                 ,R                      ,                       ,                   ,                     ,R                    ,                  ,                               ,                  ,                   ,                        ,                       ,F                      ,R                         ,R                    ,R                      ,F                       ,R                          ,R                    ,R                        ,C                   ,R                    ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,NN14              ,NN15          ,101, 626,C,  7,X,CC,   2.00,     54.3200,Watkins  ,Nannofossils                                 ,               ,M                 ,                        ,F              ,                          ,                        ,R                    ,                       ,F                      ,R                          ,                           ,                    ,F                    ,R                          ,                 ,R                      ,                       ,R                  ,                     ,R                    ,F                 ,R                              ,R                 ,R                  ,R                       ,R                      ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
