Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,lagenid taxa,Epistominella exigua,Unidentified benthic forams,Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,A,  2,H,CC,  12.00,     12.6500,Osterman ,Benthic Foraminifers                         ,R              ,P                 ,            ,                    ,R                          ,2 corroded benthics
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,A,  4,H,CC,  13.00,     28.7500,Osterman ,Benthic Foraminifers                         ,T              ,P                 ,T           ,T                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,
