Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp. (small),Helicosphaera sellii,Dictyococcites spp. (small),Coccolithus streckerii,Coccolithus pelagicus,Calcidiscus leptoporus,Discolithina sp.,Calcidiscus macintyrei,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,C,  4,R, 1,  19.00,     26.5900,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,                     ,                      ,                ,                      ,+                       ,+                        ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,C,  4,R, 2,  19.00,     28.0900,Sato     ,Nannofossils                                 ,               ,                  ,                             ,                    ,                           ,                      ,                     ,                      ,                ,                      ,                        ,+                        ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,C,  4,R, 3,  20.00,     29.6000,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,                           ,                      ,                     ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,C,  4,R, 4,  19.00,     31.0900,Sato     ,Nannofossils                                 ,               ,                  ,                             ,                    ,                           ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,C,  4,R,CC,   0.00,     32.6500,Sato     ,Nannofossils                                 ,               ,                  ,                             ,                    ,                           ,                      ,                     ,                      ,                ,                      ,+                       ,+                        ,+                    ,+                        ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,C,  5,R,CC,   0.00,     37.3100,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,                           ,                      ,                     ,                      ,                ,                      ,+                       ,+                        ,                     ,+                        ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,C,  6,R, 1,  70.00,     45.6000,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,                           ,                      ,+                    ,                      ,                ,                      ,                        ,+                        ,+                    ,+                        ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
