Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trilete spores (unspecified taxon or taxa),Sciadopitys taxa,Pinus taxa,Picea taxa,Monolete spores taxa,Lycopodium  complanatum,Larix taxa,Ericaceae taxa,Cyperaceae taxa,Crumpled pollen  taxa ,Cicatricosisporites taxa,Betula taxa,Alnus taxa,Abies taxa,Corylus taxa,Cicatricosisporites australiensis,Aquilapollenites scabridus,Cupressaceae taxa,Sphagnum taxa,Poaceae taxa,Liguliflorae taxa,Gleicheniidites taxa,Corollina (Classopollis) taxa,Castanea taxa,Carya taxa,Tsuga taxa,Salix taxa,Sagittaria taxa,Ranunculaceae taxa,Appendicisporites  potomacensis,Cicatricosisporites cf. subrotundus,Aquilapollenites taxa,Ostrya/Carpinus taxa,Ulmus taxa,Pterocarya taxa,Asteraceae taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 19,R, 3,  40.00,    173.6000,Willard  ,Pollen/Spores                                ,               ,                  ,6                                         ,                ,24        ,2         ,1                   ,                       ,          ,1             ,1              ,2                     ,r                       ,1          ,1         ,          ,            ,                                 ,                          ,2                ,             ,            ,                 ,                    ,                             ,             ,          ,          ,          ,               ,                  ,                               ,                                   ,                     ,                    ,          ,               ,               ,Total pollen = 32; Total spores = 7; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 20,R, 6,   7.00,    187.3700,Willard  ,Pollen/Spores                                ,               ,                  ,1                                         ,                ,24        ,9         ,1                   ,1                      ,          ,1             ,               ,1                     ,r                       ,           ,          ,          ,            ,                                 ,                          ,                 ,             ,            ,                 ,                    ,                             ,             ,          ,          ,          ,               ,                  ,                               ,                                   ,                     ,                    ,1         ,               ,               ,Total pollen = 35; Total spores = 3; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 22,R, 4,  40.00,    203.9000,Willard  ,Pollen/Spores                                ,               ,                  ,14                                        ,                ,23        ,10        ,2                   ,1                      ,          ,1             ,6              ,5                     ,                        ,4          ,1         ,          ,3           ,                                 ,r                         ,6                ,             ,1           ,                 ,                    ,                             ,2            ,          ,          ,          ,               ,                  ,                               ,                                   ,                     ,                    ,          ,               ,               ,Total pollen = 57; Total spores = 17; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 24,R, 3,  55.00,    221.8500,Willard  ,Pollen/Spores                                ,               ,                  ,3                                         ,                ,43        ,5         ,                    ,2                      ,          ,2             ,               ,4                     ,                        ,1          ,1         ,          ,1           ,                                 ,                          ,                 ,             ,            ,                 ,                    ,                             ,             ,          ,1         ,          ,1              ,                  ,                               ,                                   ,                     ,                    ,          ,               ,               ,Total pollen = 55; Total spores = 5; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 26,R, 4,  55.00,    242.6500,Willard  ,Pollen/Spores                                ,               ,                  ,10                                        ,1               ,98        ,12        ,3                   ,3                      ,5         ,5             ,3              ,                      ,                        ,5          ,6         ,2         ,14          ,                                 ,                          ,                 ,15           ,5           ,                 ,                    ,                             ,             ,          ,2         ,1         ,               ,                  ,                               ,                                   ,                     ,5                   ,          ,               ,               ,Total pollen = 164; Total spores = 31; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 30,R, 1,   4.00,    276.2400,Willard  ,Pollen/Spores                                ,               ,                  ,8                                         ,1               ,77        ,9         ,2                   ,1                      ,          ,3             ,               ,5                     ,                        ,23         ,3         ,          ,7           ,r                                ,                          ,                 ,             ,            ,                 ,                    ,                             ,             ,          ,          ,1         ,               ,                  ,                               ,r                                  ,r                    ,                    ,          ,               ,               ,Total pollen = 63; Total spores = 11; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
