Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Micula prinsii,Sphenolithus primus,Fasciculithus tympaniformis,Discoaster nobilis,Discoaster mohleri,Zygrhablithus bijugatus,Tribrachiatus orthostylus,Lophodolithus nascens,Discoaster elegans,Discoaster barbadiensis,Toweius gammation,Discoaster sublodoensis,Discoaster lodoensis,Discoaster kuepperi,Cyclicargolithus floridanus,Cruciplacolithus cribellum,Nannotetrina fulgens,Chiasmolithus grandis,Chiasmolithus gigas,Reticulofenestra umbilica,Isthmolithus recurvus,Dictyococcites bisectus,Sphenolithus distentus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1211,C,  7,H,CC,  11.00,     64.6300,nannos   ,Nannofossils                                 ,               ,                  ,              ,                   ,                           ,                  ,                  ,                       ,                         ,                     ,                  ,                       ,                 ,                       ,                    ,                   ,                           ,                          ,                    ,                     ,                   ,                         ,                     ,                       ,R                     ,+ S. ciperoensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP18              ,CP18          ,198,1211,C,  8,H,CC,   9.00,     73.4900,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,                   ,                           ,                  ,                  ,                       ,                         ,                     ,                  ,                       ,                 ,                       ,                    ,                   ,                           ,                          ,                    ,                     ,                   ,                         ,                     ,                       ,F                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP15              ,CP15          ,198,1211,C,  9,H,CC,  14.00,     83.3000,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,                   ,                           ,                  ,                  ,                       ,                         ,                     ,                  ,C                      ,                 ,                       ,                    ,                   ,                           ,                          ,                    ,                     ,                   ,C                        ,F                    ,C                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP13b             ,CP13b         ,198,1211,C, 10,H,CC,  15.00,     92.4000,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,                   ,                           ,                  ,                  ,                       ,                         ,                     ,                  ,C                      ,                 ,                       ,F                   ,                   ,A                          ,                          ,R                   ,F                    ,R                  ,                         ,                     ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP12              ,CP12          ,198,1211,C, 11,H,CC,   9.00,    101.7800,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,                   ,                           ,                  ,                  ,                       ,                         ,                     ,F                 ,C                      ,R                ,F                      ,C                   ,C                  ,F                          ,F                         ,                    ,                     ,                   ,                         ,                     ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP9b              ,CP9b          ,198,1211,C, 12,H,CC,  11.00,    111.5500,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,                   ,                           ,                  ,                  ,A                      ,F                        ,C                    ,F                 ,F                      ,                 ,                       ,                    ,                   ,                           ,                          ,                    ,                     ,                   ,                         ,                     ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP7               ,CP7           ,198,1211,C, 13,H,CC,   7.00,    121.3200,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,                   ,A                          ,F                 ,F                 ,                       ,                         ,                     ,                  ,                       ,                 ,                       ,                    ,                   ,                           ,                          ,                    ,                     ,                   ,                         ,                     ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP3               ,CP3           ,198,1211,C, 14,H,CC,  15.00,    130.5100,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,F                  ,                           ,                  ,                  ,                       ,                         ,                     ,                  ,                       ,                 ,                       ,                    ,                   ,                           ,                          ,                    ,                     ,                   ,                         ,                     ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC26              ,CC26          ,198,1211,C, 15,H,CC,   9.00,    138.5900,nannos   ,Nannofossils                                 ,A              ,M                 ,R             ,                   ,                           ,                  ,                  ,                       ,                         ,                     ,                  ,                       ,                 ,                       ,                    ,                   ,                           ,                          ,                    ,                     ,                   ,                         ,                     ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
