Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vaginulina paucistriata	Stensioeina sp. 1	Spiroplectammina grzybowskii	Saccammina sp.	Praebulimina sp.	Osangularia sp.	Osangularia cordieriana	Notoplanulina aff. compressa	Marssonella oxycona	Marginulina sp. 1	Lenticulina macrodisca	Haplophragmoides/Trochammina (undifferentiated)	Gyroidinoides goudkoffi	Gyroidinoides globosa	Globorotalites spineus	Gavelinella sandidgei	Gaudryina sp.	Frondicularia archiaciana	Dorothia conicula	?Saccammina sp. 1	Vaginulina aff. wadei	Praebulimina carseyae	Pleurostomella subnodosa	Marginulina sp.	Lenticulina sp.	Bolivina sp.	Stilostomella sp.	Spiroplectammina sp.	Gyroidinoides bandyi	Globulina lacrima	Dentalina sp.	Dentalina legumen	Quadrimorphina allomorphinoides	Pullenia americana	Gyroidinoides quadratus	Gavelinella sp. 1	Gavelinella eriksdalensis	Foraminifer (gen. et sp. Indet)	Dorothia confraga	Anomalinoides sp.	Osangularia texana	Nuttallinella coronula	Nodosaria cf. proboscidea	Gyroidinoides exsertus	Gyroidinoides diversus	Gyroidinoides aff. haidingerii	Gavelinella aff. trujilloi	Ellipsoglandulina sp.	Ellipsocristellaria sp.	Dentalina inornata	Alabamina australis	Agglutinated sp.	Pleurostomella binaria	Gyroidinoides sp. 1	Gyroidinoides sp.	Gyroidinoides nitidus	Gyroidinoides cf. nonionoides	Ellipsopolymorphina sp.	Dentalina aff. legumen	Valvulineria lenticula	Spiroplectammina paula	Osangularia velascoensis	Marginulina inconstantia	Lenticulina sp. 1	Gyroidina noda	Ellipsoglandulina velascoensis	Aragonia sp. 2	Valvulineria sp.	Globorotalites umbilicatus	Planularia dissona	Bolivinopsis rosula	Praebulimina reussi	Notoplanulina rakauroana	Lingulina sp 1	Globorotalites sp.	Charltonina ripleyensis	Praebulimina cf. prolixa	Praebulimina aff. cushmani	Nodosaria prismatica	Lenticulina navicula	Saracenaria sp.	Pullenia cretacea	Dentalina sp. 2	Ceratobulimina sp.	Bolivinoides granulatus	Allomorphina sp.	Nodosaria sp.	Nodosaria septemcostata	Lagena acuticosta	Guttulina subsphaerica	Frondicularia sp.	Comment



  SR	                 	                 	                  	              	120	 750	B	  3	R	 1	  18.00	    450.1800	Quilty   	Benthic Foraminifers                         	               	                  	                       	                 	                            	              	                	               	+                      	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	               	            	                 	                    	                    	                 	+            	                 	                               	                  	+                      	                 	                         	                               	                 	                 	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	+                         	                  	                   	                   	                        	              	                  	                       	                        	+                         	                    	                    	               	+                	               	                  	                       	                	+            	+                      	+                	+                     	+                	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  3	R	 1	  43.00	    450.4300	Quilty   	Benthic Foraminifers                         	               	                  	                       	                 	                            	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	               	            	                 	                    	                    	                 	             	                 	                               	                  	                       	                 	                         	                               	                 	+                	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	+                	                     	                             	                       	                      	                      	                      	                        	                        	+                	              	                              	              	                	+                         	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	+                      	+               	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  3	R	 1	  92.00	    450.9200	Quilty   	Benthic Foraminifers                         	               	                  	                       	                 	                            	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	               	            	                 	+                   	                    	                 	             	                 	                               	                  	                       	                 	                         	+                              	                 	                 	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	+                	              	                              	              	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  4	W	 1	  96.00	    460.5600	Quilty   	Benthic Foraminifers                         	               	                  	                       	                 	+                           	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	               	            	                 	                    	                    	                 	             	                 	                               	                  	+                      	                 	                         	                               	                 	+                	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	+                  	+               	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	+             	                              	              	                	+                         	                  	+                  	+                  	                        	              	                  	                       	                        	                          	                    	                    	+              	+                	+              	+                 	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412
