Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Naviculopsis sp. cf. Naviculopsis biapiculata	Naviculopsis eobiapiculata	Corbisema triacantha	Bachmannocena apiculata evexa	Bachmannocena apiculata curvata	Bachmannocena apiculata apiculata	Distephanus speculum patulus	Distephanus quinquangellus	Bachmannocena apiculata glabra	Naviculopsis quadrata	Naviculopsis pacifica pacifica	Naviculopsis lata s. ampl.	Distephanus stradneri grandis	Distephanus sp. aff. D. hannai	Distephanus hannai	Dictyocha brevispina	Distephanus staurodon	Distephanus sp. cf. D. stradneri (fibuloid)	Distephanus sp. cf. D. stradneri (asperoid)	Distephanus longispinus	Distephanus crux scutulatus	Distephanus crux parvus	Distephanus crux crux	Naviculopsis constricta	Distephanus spp.	Distephanus speculum speculum	Distephanus crux darwinii	Naviculopsis spp. fragments	Dictyocha sp. aff. D. brevispina (navicular)	Corbisema sp.	Bachmannocena elliptica	Distephanus sp. cf. D. schauinalandii	Bachmannocena elliptica var. rhomboidea	Naviculopsis ponticula ponticula	Naviculopsis obtusarca var. acicula	Naviculopsis obtusarca	Naviculopsis navicula	Comment



  SR	Early Miocene    	                 	N. ponticula      	              	108	 667	A	 26	X	 1	 110.00	    230.4000	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	                          	                    	                             	                               	                                 	                            	                          	                              	                     	                              	                          	                             	                              	                  	                    	2                    	                                           	                                           	                       	6                          	2                      	8                    	                       	                	                             	                         	1                          	                                            	             	7                      	                                     	6                                      	22                              	26                                 	24                    	2                    	data shown as % Total specimens = 200 from ODP Leg 108 SR Chapter 30 Table 4 p 489

  SR	Early Miocene    	                 	N. ponticula      	              	108	 667	A	 26	X	 3	  47.00	    232.7700	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	                          	                    	                             	                               	                                 	                            	                          	                              	                     	                              	                          	                             	                              	                  	                    	P                    	                                           	                                           	                       	P                          	                       	                     	                       	                	                             	                         	                           	                                            	             	                       	P                                    	P                                      	                                	                                   	                      	                     	data shown as % Total specimens = 14 from ODP Leg 108 SR Chapter 30 Table 4 p 489

  SR	Early Miocene    	                 	N. quadrata (Cies.)	              	108	 667	A	 27	X	 1	 115.00	    239.9500	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	                          	                    	                             	                               	                                 	2                           	                          	                              	4                    	                              	32                        	                             	                              	                  	11                  	                     	                                           	                                           	                       	4                          	                       	12                   	                       	                	                             	                         	5                          	25                                          	2            	5                      	                                     	                                       	                                	                                   	                      	                     	data shown as % Total specimens = 57 from ODP Leg 108 SR Chapter 30 Table 4 p 489

  SR	Early Miocene    	                 	N. lata           	              	108	 667	A	 28	X	 1	  70.00	    249.0000	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	                          	                    	                             	                               	                                 	                            	                          	                              	                     	                              	74                        	                             	                              	                  	4                   	                     	                                           	                                           	                       	4                          	                       	8                    	2                      	2               	2                            	4                        	                           	                                            	             	                       	                                     	                                       	                                	                                   	                      	                     	data shown as % Total specimens = 50 from ODP Leg 108 SR Chapter 30 Table 4 p 489

  SR	Early Miocene    	                 	N. lata           	              	108	 667	A	 28	X	 3	 115.00	    252.4500	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	                          	                    	1                            	                               	3                                	2                           	                          	                              	                     	                              	16                        	2                            	7                             	5                 	                    	1                    	1                                          	1                                          	37                     	4                          	1                      	20                   	                       	                	                             	                         	                           	                                            	             	                       	                                     	                                       	                                	                                   	                      	                     	data shown as % Total specimens = 200 from ODP Leg 108 SR Chapter 30 Table 4 p 489

  SR	Early Miocene    	                 	N. lata           	              	108	 667	A	 29	X	 3	  75.00	    261.5500	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	                          	                    	                             	                               	6                                	5                           	                          	                              	1                    	16                            	6                         	3                            	25                            	32                	2                   	                     	                                           	                                           	                       	                           	                       	                     	                       	                	                             	                         	                           	                                            	             	                       	                                     	                                       	                                	                                   	                      	                     	data shown as % Total specimens = 63 from ODP Leg 108 SR Chapter 30 Table 4 p 489

  SR	Oligocene        	                 	N. biapiculata    	              	108	 667	A	 37	X	 3	  40.00	    337.2000	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	4                                            	3                         	73                  	1                            	                               	12                               	1                           	7                         	1                             	                     	                              	                          	                             	                              	                  	                    	                     	                                           	                                           	                       	                           	                       	                     	                       	                	                             	                         	                           	                                            	             	                       	                                     	                                       	                                	                                   	                      	                     	data shown as % Total specimens = 200 from ODP Leg 108 SR Chapter 30 Table 4 p 489

  SR	Oligocene        	                 	N. biapiculata    	              	108	 667	A	 37	X	 3	 115.00	    337.9500	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	7                                            	5                         	75                  	4                            	2                              	7                                	                            	                          	                              	                     	                              	                          	                             	                              	                  	                    	                     	                                           	                                           	                       	                           	                       	                     	                       	                	                             	                         	                           	                                            	             	                       	                                     	                                       	                                	                                   	                      	                     	data shown as % Total specimens = 57 from ODP Leg 108 SR Chapter 30 Table 4 p 489

