Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylatractus universus,Stylacontarium acquilonium,Sphaeropyle robusta,Phormostichoartus crustula,Lamprocyrtis heteroporos,Lamprocyrtis daniellae,Eucyrtidium teuscheri group,Eucyrtidium infundibulum,Clathrocyclas bicornis,Botryostrobus praetumidulus,Actinomma popofskii,Stichocorys peregrina,Pseudocubus warreni,Lamprocyclas hadros,Gondwanaria dogieli,Eucyrtidium erythromystax,Eucyrtidium calvertense,Eucyrtidium acuminatum,Anthocyrtidium pliocenica,Stylodictya validispina,Pterocanium korotnevi,Circodiscus ellipticus,Phormostichoartus multiseriatus,Lychnocanoma nipponica sakaii,Cycladophora craspedota,Dictyophimus crisiae,Rhizosphaera antarctica,Lithostrobus hexagonalis,Botryostrobus aquilonaris,Spongotrochus glacialis,Ceratospyris hyperborea,Rhopalastrum profunda group,Pterocanium auritum,Lamprocyclas junonis,Cycladophora davisiana davisiana,Lamprocyrtis neoheteroporos,Sphaeropyle langii,Siphostichartus scalaris,Eucyrtidium matuyamai,Lipmanella virchowii,Actinomma delicatulum,Pterocorys clausus,Botryostrobus tumidulus,Stylochlamidium  venustum,Anthocyrtidium nosicaae,Plectacantha cremastoplegma,Cycladophora bicincta,Lamprocyrtis nigriniae,Amphimelissa setosa,Acrosphaera murrayana,Pterocorys zancleus,Dictyophimus infabricatus,Pterocorys minythorax,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,B. aquilonaris    ,              ,167,1018,A,  1,H,CC,  16.00,      4.8400,Caulet   ,Radiolarians                                 ,F              ,G                 ,                      ,                          ,                   ,                          ,                        ,                      ,                           ,                        ,                      ,                           ,R                  ,                     ,                   ,                   ,                   ,                         ,                       ,                      ,                         ,R                      ,C                    ,                      ,                               ,                             ,                       ,R                   ,R                      ,                        ,R                        ,                       ,                       ,                           ,                   ,                    ,C                               ,                           ,R                 ,                        ,                     ,                    ,                     ,                  ,R                      ,                         ,                       ,                           ,C                    ,R                     ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,B. aquilonaris    ,              ,167,1018,A,  2,H,CC,  12.00,     14.4500,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,                          ,                   ,                          ,                        ,                      ,T                          ,                        ,                      ,                           ,                   ,                     ,                   ,                   ,                   ,T                        ,                       ,                      ,                         ,R                      ,A                    ,                      ,                               ,R                            ,R                      ,F                   ,R                      ,                        ,                         ,F                      ,F                      ,R                          ,                   ,                    ,A                               ,                           ,R                 ,F                       ,                     ,T                   ,                     ,A                 ,                       ,                         ,                       ,R                          ,A                    ,R                     ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,B. aquilonaris    ,              ,167,1018,A,  3,H,CC,  19.00,     24.3900,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,                          ,                   ,                          ,                        ,                      ,                           ,                        ,                      ,                           ,R                  ,                     ,                   ,                   ,R                  ,                         ,                       ,                      ,                         ,R                      ,A                    ,                      ,                               ,                             ,C                      ,F                   ,                       ,                        ,T                        ,F                      ,A                      ,                           ,R                  ,T                   ,A                               ,                           ,F                 ,R                       ,                     ,F                   ,                     ,A                 ,                       ,T                        ,                       ,                           ,A                    ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,B. aquilonaris    ,              ,167,1018,A,  4,H,CC,  33.00,     33.9100,Caulet   ,Radiolarians                                 ,C              ,G                 ,                      ,T                         ,                   ,                          ,                        ,                      ,                           ,                        ,                      ,                           ,F                  ,                     ,                   ,                   ,                   ,                         ,                       ,                      ,                         ,R                      ,A                    ,                      ,                               ,A                            ,                       ,R                   ,                       ,                        ,                         ,R                      ,A                      ,                           ,R                  ,R                   ,A                               ,                           ,R                 ,                        ,                     ,R                   ,C                    ,C                 ,R                      ,R                        ,                       ,                           ,A                    ,                      ,                   ,                     ,R                  ,                         ,                     ,from IR. Ch 12. Table 9.
