Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Haplophragmoides sp.	Cyclammina spp.	Bathysiphon sp. 	Trochammina sp.	Spiroplectammina spectabilis	Ammodiscus sp.	Cyclammina amplectans	Cribrostomoides sp.	Tubes (unspecified)	Trochammina spp.	Haplophragmoides spp.	Spirolocammina sp.	Rhabdammina spp.	Recurvoides sp.	Spirosigmoilinella sp.	Melonis zaandamae	Epistominella exigua	Cibicidoides grimsdalei	Anomalinoides alazanensis	Spirosigmoilinella spp.	Cibicides spp.	Cassidulina subglobosa	Cassidulina laevigata	Oridorsalis umbonatus	Eponides umbonatus	Cibicides wuellerstorfi	Stainforthia loeblichi	Cassidulina reniforme	Pyrgo murrhina	Comment



  SR	                 	                 	A1                	              	104	 643	A	  1	H	 1	   4.00	      0.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	4.0%                 	                  	10.0%                  	                      	                     	              	Other taxa = 86%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  1	H	 1	  74.00	      0.7400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	+                    	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  1	H	 2	  74.00	      2.2400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	2.0%                 	                  	9.0%                   	                      	                     	              	Other taxa = 89%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  1	H	CC	  10.00	      5.1600	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	+                    	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	A1                	              	104	 643	A	  1	H	CC	  16.00	      5.2200	Osterman 	Benthic Foraminifers                         	F              	G                 	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	59.0%             	                       	                      	                     	10.0%         	Other benthic species = 25%; Benthic forams = 4%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	A1                	              	104	 643	A	  2	H	 2	  76.00	      7.5600	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	+                    	                  	+                      	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

