Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus stradneri	Distephanus speculum speculum	Distephanus speculum hemisphaericus &  boliviensis (hemisphaericoid)	Distephanus quinquangellus	Distephanus pseudofibula	Distephanus longispinus	Distephanus hannai	Distephanus crux scutulatus	Distephanus crux parvus & slavincii	Distephanus crux	Distephanus boliviensis (w/ 4 or more aw.)  	Distephanus boliviensis	Dictyocha fibula	Dictyocha brevispina	Dictyocha aspera	Corbisema triacantha	Corbisema apiculata	Caryocha depressa	Bachmannocena quadrangula	Bachmannocena hexalitha	Bachmannocena diodon nodosa	Bachmannocena apiculata apiculata	Naviculopsis quadrata	Naviculopsis ponticula ponticula	Naviculopsis navicula	Distephanus speculum (bolivienoid w/ 2 or more aw.)	Distephanus boliviensis (w/ 3aw.)      	Distephanus boliviensis (w/ 2aw.)        	Distephanus aff. pseudocrux	Dictyocha (pentagonal form)	Dictyocha (aberrant forms)	Bachmannocena apiculata evexa	Distephanus crux ssp. 3	Distephanus speculum quintus	Distephanus schulzii	Bachmannocena apiculata curvata	Dictyocha deflandrei	Dictyocha flexatella	Caryocha ernestinae	Bachmannocena triangula	Distephanus speculum bolivienoid (w/ very long major spines)	Distephanus crux ssp. 2	Dictyocha elongata	Bachmannocena cf. oamaruensis	Neonaviculopsis neonautica neonautica	Distephanus crux bispinosus f. mesophthalmus	Dictyocha sp. 1	Dictyocha subclinata	Bachmannocena diodon diodon	Distephanus crux ssp. 1	Dictyocha pentagona	Dictyocha longa	Dictyocha fibula augusta	Bachmannocena circulus apiculata	Distephanus boliviensis (w/ large aw.)      	Neonaviculopsis cf. neonautica	Bachmannocena dumitricae	Comment



  SR	Late Miocene     	                 	B. diodon nodosa  	              	104	 643	A	  8	H	 5	  67.00	     68.9700	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                     	10                           	                                                                    	                          	1                       	                       	                  	                           	                                   	1               	                                            	3                      	                	                    	                	                    	                   	                 	                         	                       	7                          	                                 	                     	                                	                     	                                                   	                                       	                                         	                           	                           	                          	                             	                       	                            	                    	                               	                    	                    	                   	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	4                                           	                              	                        	Total whole specimens = 26; fragments = 274; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Late Miocene     	                 	B. diodon nodosa  	              	104	 643	A	  9	H	 2	  70.00	     74.0000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                     	11                           	                                                                    	                          	1                       	                       	                  	                           	                                   	                	                                            	13                     	                	                    	                	                    	                   	                 	                         	                       	4                          	                                 	                     	                                	                     	                                                   	                                       	                                         	                           	                           	                          	                             	                       	                            	                    	                               	                    	                    	                   	                       	80                                                          	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	36                              	                                            	                              	6                       	Total whole specimens = 151; fragments = 152; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Late Miocene     	                 	B. diodon nodosa  	              	104	 643	A	 10	H	 5	  68.00	     87.9800	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                     	                             	                                                                    	                          	                        	                       	                  	                           	                                   	                	                                            	                       	1               	                    	                	                    	                   	                 	                         	                       	5                          	                                 	                     	                                	                     	                                                   	1                                      	                                         	                           	                           	                          	                             	                       	                            	                    	                               	                    	                    	                   	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	13                              	                                            	1                             	                        	Total whole specimens = 21; fragments = 229; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Late Miocene     	                 	Ds. crux scutulatus	              	104	 643	A	 11	H	 1	  70.00	     91.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                     	5                            	                                                                    	                          	                        	                       	                  	5                          	                                   	3               	                                            	                       	3               	                    	                	                    	                   	                 	                         	                       	11                         	                                 	                     	                                	                     	                                                   	1                                      	                                         	                           	                           	                          	                             	                       	                            	                    	                               	                    	                    	                   	                       	                                                            	                       	                  	                             	                                     	1                                           	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 29; fragments = 73; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511
