Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina bulloides,Orbulina universa,Globorotalia conomiozea,Globigerinoides sacculifer,Globigerina apertura,Globorotalia crassaformis,Globigerinoides obliquus,Globigerinoides bollii,Globorotalia hirsuta,Globorotalia crassaformis cf. viola,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticulata,Globorotalia aequilaterus,Globorotalia margaritae,Globigerinella obesa,Neogloboquadrina pachyderma,Globorotalia crassaformis viola,Globigerina woodi,Globorotalia inflata,Globorotalia cf. Gr. tosaensis,Globigerinoides extremus,Globigerina eamesi,Globigerinoides ruber,Neogloboquadrina dutertrei,Globigerina quinqueloba,Globorotalia scitula,Globigerinella siphonifera,Globorotalia tosaensis,Globorotalia truncatulinoides,Globigerina umbilicata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A,  1,H,CC,   0.00,      2.8800,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,D                    ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,+                   ,                                   ,                                       ,                         ,                         ,                       ,                    ,A                          ,                               ,                 ,A                   ,                              ,                        ,                  ,                     ,+                         ,                       ,+                   ,                          ,                      ,+                            ,+                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A,  2,H,CC,  11.00,     12.7700,Christensen,Planktonic Foraminifers                      ,               ,                  ,A                    ,+                ,                       ,                          ,                    ,                         ,                        ,                      ,+                   ,                                   ,                                       ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,A                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,A                            ,+                     ,sponge spicules; lack pachy and dutertrei in >250; see some n pachy (R) in 150 - 250 Low producitivity interval?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A,  3,H,CC,  22.00,     22.5100,Christensen,Planktonic Foraminifers                      ,               ,                  ,                     ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,+                   ,                                   ,                                       ,                         ,                         ,                       ,                    ,A                          ,                               ,                 ,D                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,+                         ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A,  4,H,CC,  10.00,     31.8900,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,A                    ,A                ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,A                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,+                         ,                      ,+                            ,                      ,       
