Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Orbulina suturalis	Globigerinoides sp.	Globorotalia praemenardii	Globorotalia sp.	Dentoglobigerina altispira altispira	Globigerinoides sacculifer	Orbulina universa bilobata	Globigerinoides obliquus obliquus	Globigerina spp.	Comment



  SR	                 	                 	                  	              	133	 826	A	  2	W	CC	   5.00	      5.7000	Chaproniere	Planktonic Foraminifers                      	               	                  	                 	                  	+                  	                         	+               	                                    	                          	                          	+                                	+               	Indeterminant planktonic forams are present; from ODP 133 SR Chapter 3 Table 5 p 46

  SR	Middle Miocene   	                 	N10               	N12           	133	 826	A	  2	W	CC	  12.00	      5.7700	Chaproniere	Planktonic Foraminifers                      	               	                  	+                	                  	+                  	+                        	                	+                                   	                          	+                         	                                 	                	Indeterminant planktonic forams are present; from ODP 133 SR Chapter 3 Table 5 p 46

  SR	                 	                 	                  	              	133	 826	A	  5	R	 1	  10.00	    117.9000	Chaproniere	Planktonic Foraminifers                      	               	                  	                 	                  	                   	                         	                	                                    	?                         	                          	                                 	                	from ODP 133 SR Chapter 3 Table 5 p 46

  SR	Middle Miocene   	                 	N10               	N12           	133	 826	A	  5	R	 1	  23.00	    118.0300	Chaproniere	Planktonic Foraminifers                      	               	                  	+                	                  	+                  	+                        	                	+                                   	                          	                          	                                 	                	Indeterminant planktonic forams are present; from ODP 133 SR Chapter 3 Table 5 p 46

  SR	                 	                 	                  	              	133	 826	A	 11	R	 1	  24.00	    175.6400	Chaproniere	Planktonic Foraminifers                      	               	                  	                 	                  	+                  	                         	                	                                    	                          	                          	                                 	                	Indeterminant planktonic forams are present; from ODP 133 SR Chapter 3 Table 5 p 46

  SR	                 	                 	                  	              	133	 826	A	 11	R	 1	  54.00	    175.9400	Chaproniere	Planktonic Foraminifers                      	               	                  	                 	                  	+                  	                         	                	                                    	                          	                          	                                 	                	Indeterminant planktonic forams are present; from ODP 133 SR Chapter 3 Table 5 p 46

  SR	                 	                 	                  	              	133	 826	A	 11	R	 1	  58.00	    175.9800	Chaproniere	Planktonic Foraminifers                      	               	                  	                 	                  	                   	                         	+               	                                    	                          	                          	                                 	                	Indeterminant planktonic forams are present; from ODP 133 SR Chapter 3 Table 5 p 46

  SR	Middle Miocene   	                 	N10               	N12           	133	 826	A	 12	R	 1	   4.00	    185.0400	Chaproniere	Planktonic Foraminifers                      	               	                  	                 	                  	+                  	+                        	                	                                    	                          	                          	                                 	                	Indeterminant planktonic forams are present; from ODP 133 SR Chapter 3 Table 5 p 46

  SR	Middle Miocene   	                 	N9                	              	133	 826	A	 14	R	 1	  17.00	    204.1700	Chaproniere	Planktonic Foraminifers                      	               	                  	+                	?                 	+                  	                         	                	                                    	                          	                          	                                 	                	Indeterminant planktonic forams are present; from ODP 133 SR Chapter 3 Table 5 p 46

