Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia salisburyi,Pullenia quinqueloba,Parafissurina curta,Martinottiella communis,Globocassidulina subglobosa,Globobulimina auriculata,Fissurina sp. B,Anomalina glabrata,Agglutinated spp. (indeterminate),Martinottiella sp.,Gyroidina spp.,Fontbotia wuellerstorfi,Calcareous sp. indeterminate,Globobulimina spp.,Globocassidulina globosa,Cyclammina sp. C ,Cyclammina cancellata,Bathysiphon spp.,Ammodiscus macilentus,Miliammina echigoensis,Islandiella cf. I. californica,Eggerella bradyi,Melonis pompilioides,Fissurina cf. F. exculpta,Stainforthia complanata,Rosalina spp.,Bulimina striata mexicana,Bulimina pagoda,Rectoglandulina torrida,Pyrgo sp.,Pseudonodosaria sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  3,H, 2,  94.00,     18.7400,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,                       ,9                          ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  3,H,CC,  27.00,     26.2500,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,                       ,2                          ,                        ,               ,                  ,                                 ,                  ,              ,                       ,1                           ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,1                        ,                       ,             ,                         ,               ,3                      ,1        ,1                  ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  4,H, 5,  90.00,     32.7000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,                       ,14                         ,                        ,               ,                  ,                                 ,                  ,              ,                       ,1                           ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,1                      ,5            ,7                        ,2              ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  4,H,CC,  22.00,     35.7000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,                       ,1                          ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
