Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera sellii,Discoaster surculus,Calcidiscus macintyrei (>11 um),Calcidiscus leptoporus,Coccolithus pelagicus,Ceratolithus spp.,Discoaster pentaradiatus,Discoaster brouweri,Discoaster tamalis,Discoaster asymmetricus,Helicosphaera carteri,Gephyrocapsa (small),Gephyrocapsa sp. 3,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1022,A,  1,H, 1, 100.00,      1.0000,Fornaciari,Nannofossils                                 ,A              ,G                 ,C                       ,                    ,                   ,                               ,C                     ,                     ,                 ,                        ,                   ,                  ,                       ,                     ,A                   ,R/F               ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1022,A,  1,H, 2,  50.00,      2.0000,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                        ,                    ,                   ,                               ,                      ,R                    ,                 ,                        ,                   ,                  ,                       ,                     ,R                   ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1022,A,  1,H, 2, 125.00,      2.7500,Fornaciari,Nannofossils                                 ,A              ,M/G               ,+                       ,                    ,                   ,+                              ,C                     ,C                    ,                 ,                        ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1022,A,  1,H, 3,  50.00,      3.5000,Fornaciari,Nannofossils                                 ,A              ,M/G               ,C                       ,C                   ,                   ,+                              ,C                     ,                     ,                 ,                        ,                   ,                  ,                       ,F/C                  ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1022,A,  1,H, 3, 120.00,      4.2000,Fornaciari,Nannofossils                                 ,A              ,G                 ,C                       ,C                   ,                   ,R                              ,C                     ,F                    ,                 ,                        ,                   ,                  ,                       ,C                    ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1022,A,  1,H,CC,  12.00,      4.4700,Fornaciari,Nannofossils                                 ,C/A            ,M                 ,F                       ,R                   ,                   ,R                              ,C                     ,                     ,                 ,                        ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
