Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xitus spicularius	Thanarla pulchra	Syringocapsa limatum	Syringocapsa agolarium	Sethocapsa uterculus	Pseudodictyomitra nuda	Pseudodictyomitra carpatica	Podobursa triacantha	Parvicingula cosmoconica	Parvicingula boesii	Foremanella diamphidia	Dictyomitrella(?) puga	Archaeodictyomitra pseudoscalaris	Archaeodictyomitra excellens	Archaeodictyomitra brouweri var. alpha	Archaeodictyomitra apiarium	Alievium helenae	Acanthocircus trizonalis	Acanthocircus dicranacanthos	Acaeniotyle umbilicata	Acaeniotyle diaphorogona	Hemicryptocapsa capita	Sethocapsa cetia	Mirifusus mediodilatatus	Podobursa tricola	Eucyrtis hanni	Dictyomitrella(?) columna	Cecrops septemporatus	Mirifusus chenodes	Stichocapsa cribata	Thanarla elegantissima	Pseudodictyomitra lilyae	Crolanium pythiae	Eucyrtis tenuis	Dibolachras tytthopora	Acanthocircus carinatus	Archaeodictyomitra lacrimula	Comment



  SR	Valanginian      	Hauterivian      	D. tytthopora     	              	129	 800	A	 51	R	 1	  30.00	    449.9000	Matsuoka 	Radiolarians                                 	C              	P                 	                 	+               	                    	                      	                    	                      	+                          	                    	                        	                   	                      	                      	                                 	                            	+                                     	                           	                	+                       	                            	                      	                        	                      	                	                        	                 	              	                         	                     	                  	                   	                      	                        	                 	               	                      	+                      	+                           	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Valanginian      	Hauterivian      	D. tytthopora     	              	129	 800	A	 51	R	 2	  20.00	    451.2500	Matsuoka 	Radiolarians                                 	A              	M                 	+                	+               	                    	                      	+                   	                      	                           	                    	                        	                   	                      	+                     	+                                	                            	+                                     	                           	+               	+                       	                            	+                     	                        	                      	                	                        	                 	              	                         	+                    	                  	                   	                      	+                       	                 	+              	                      	+                      	+                           	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Valanginian      	Hauterivian      	D. tytthopora     	              	129	 800	A	 52	R	 1	  57.00	    459.3700	Matsuoka 	Radiolarians                                 	A              	P                 	                 	+               	                    	                      	                    	                      	+                          	                    	                        	                   	                      	                      	                                 	+                           	+                                     	                           	+               	+                       	                            	+                     	                        	                      	                	                        	                 	              	                         	                     	                  	                   	                      	                        	                 	               	+                     	+                      	+                           	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Valanginian      	Hauterivian      	D. tytthopora     	              	129	 800	A	 52	R	 2	  49.00	    460.7900	Matsuoka 	Radiolarians                                 	A              	P-M               	+                	+               	                    	                      	+                   	+                     	                           	                    	                        	+                  	+                     	                      	+                                	+                           	+                                     	                           	+               	                        	+                           	+                     	                        	                      	                	                        	                 	              	                         	+                    	                  	                   	                      	+                       	                 	+              	+                     	+                      	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

