Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Eiffellithus eximius,Watznaueria barnesae,Marthasterites furcatus,Zeugrhabdotus pseudanthophorus,Prediscosphaera cretacea,Nannoconus truitti,Nannoconus spp.,Nannoconus farinacciae,Lithastrinus septenarius,Eiffellithus turriseiffelii,Tranolithus phacelosus,Reinhardtites anthophorus,Placozygus fibuliformis,Parhabdolithus embergeri,Micula decussata,Lithraphidites carniolensis,Eprolithus floralis,Prediscosphaera ponticula,Cribrosphaerella ehrenbergii,Zeugrhabdotus sp. cf. Z. nanum,Cretarhabdus conicus,Zeugrhabdotus sp. cf. Z. acanthus,Vekshinella stradnerii,Vekshinella eliptica,Toweius selandianus,Toweius pertusus,Stradneria crenulata,Stoverius coronatus,Rotelapillus crenulatus,Rhagodiscus splendens,Rhagodiscus angustus,Reinhardtites biperforatus,Prinsius bisulcus,Prediscosphaera spinosa,Prediscosphaera intercisa,Micula cubiformis,Micula concava,Manivitella pemmatoidea,Glaukolithus diplogrammus,Glaukolithus bicrescenticus,Gartnerago obliquum,Gartnerago costatum,Fasciculithus ulii,Fasciculithus tympaniformis,Fasciculithus pileatus,Fasciculithus billii,Ericsonia robusta,Ericsonia ovalis,Ericsonia cava,Cruciplacolithus tenuis,Cretarhabdus schizobrachiatus,Corollithion signum,Corollithion exiguum,Coccolithus pelagicus,Chiastozygus quadriperforatus,Chiastozygus propagulis,Chiastozygus amphipons,Chiasmolithus consuetus,Ceratolithoides aculeus,Bomolithus elegans,Aspidolithus parcus expansus,Arkhangelskiella specillata,Ahmuellerella regularis,Stoverius asymmetricus,Lucianorhabdus cayeuxii,Gephyrorhabdus coronadventis,Chiastozygus litterarius,Ceratolithoides verbeekii,Aspidolithus parcus parcus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CC20(Perch-Nielsen),              ,,144,872,B,4,R,1,11.00,135.3100,Watkins  ,Nannofossils                                 ,C              ,M                 ,R                   ,F                   ,                       ,R                             ,R                       ,                  ,               ,                      ,                        ,R                          ,R                     ,F                        ,F                      ,                        ,R               ,C                          ,                   ,                         ,F                           ,F                             ,R                   ,F                                ,R                     ,F                   ,                   ,                ,F                   ,F                  ,R                      ,                     ,                    ,R                         ,                 ,R                      ,F                        ,F                ,F             ,R                      ,                         ,                           ,R                  ,                   ,                  ,                           ,                      ,                    ,                 ,                ,              ,                       ,R                            ,F                  ,F                   ,                     ,R                            ,                       ,R                     ,                       ,R                      ,                  ,F                           ,R                          ,F                      ,R                     ,R                      ,R                           ,R                       ,R                        ,R                         ,from ODP Leg 144; Ch 5; Table 1; p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP4,CC20(Perch-Nielsen),,144,872,B,4,R,1,13.00,135.3300,Watkins  ,Nannofossils                                 ,F              ,M                 ,R                   ,F                   ,                       ,                              ,                        ,                  ,               ,                      ,                        ,R                          ,R                     ,R                        ,F                      ,                        ,                ,C                          ,                   ,R                        ,F                           ,F                             ,R                   ,F                                ,F                     ,F                   ,R                  ,F               ,F                   ,R                  ,R                      ,R                    ,R                   ,F                         ,F                ,R                      ,F                        ,F                ,F             ,R                      ,F                        ,R                          ,R                  ,R                  ,R                 ,R                          ,F                     ,F                   ,F                ,F               ,F             ,R                      ,R                            ,R                  ,R                   ,F                    ,R                            ,R                      ,F                     ,R                      ,R                      ,F                 ,F                           ,R                          ,R                      ,                      ,                       ,                            ,                        ,                         ,                          ,"from ODP Leg 144; Ch 5; Table 1; p 100 & Table 2, p. 101"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,Santonian        ,CC14(Perch-Nielsen),CC15,,144,872,B,4,R,1,19.00,135.3900,Erba     ,Nannofossils                                 ,F              ,P                 ,F                   ,R                   ,                       ,R                             ,                        ,R                 ,               ,R                     ,R                       ,                           ,R                     ,R                        ,R                      ,                        ,R               ,R                          ,R                  ,R                        ,R                           ,F                             ,R                   ,                                 ,                      ,                    ,                   ,                ,                    ,                   ,                       ,                     ,                    ,                          ,                 ,                       ,                         ,                 ,              ,                       ,                         ,                           ,                   ,                   ,                  ,                           ,                      ,                    ,                 ,                ,              ,                       ,                             ,                   ,                    ,                     ,                             ,                       ,                      ,                       ,                       ,                  ,                            ,                           ,                       ,                      ,                       ,                            ,                        ,                         ,                          ,from ODP Leg 144; Ch 8; Table 3; p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CC15,CC17,,144,872,B,4,R,1,20.00,135.4000,Watkins  ,Nannofossils                                 ,F              ,P                 ,F                   ,R                   ,                       ,                              ,                        ,R                 ,               ,R                     ,                        ,                           ,R                     ,R                        ,                       ,                        ,R               ,R                          ,                   ,R                        ,R                           ,                              ,                    ,                                 ,                      ,                    ,                   ,                ,                    ,                   ,                       ,                     ,                    ,                          ,                 ,                       ,                         ,                 ,              ,                       ,                         ,                           ,                   ,                   ,                  ,                           ,                      ,                    ,                 ,                ,              ,                       ,                             ,                   ,                    ,                     ,                             ,                       ,                      ,                       ,                       ,                  ,                            ,                           ,                       ,                      ,                       ,                            ,                        ,                         ,                          ,from ODP Leg 144; Ch 5; Table 1; p 100
