Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp.,Reticulofenestra pseudoumbilica,Reticulofenestra spp. (small),Discoaster deflandrei,Coccolithus pelagicus,Reticulofenestra gelida,Ericsonia formosa,Calcidiscus leptoporus,Placolith (small),Discoaster quinqueramus,Discoaster berggrenii,Calcidiscus macintyrei,Sphenolithus abies,Reticulofenestra minutula,Discoaster variabilis,Discoaster spp.,Discoaster brouweri,Umbilicosphaera sibogae var. foliosa,Discoaster surculus,Pontosphaera japonica,Helicosphaera carteri,Discoaster sp. cf. intercalaris,Zygrhablithus bijugatus,Discoaster pentaradiatus,Sphenolithus verensis,Reticulofenestra umbilica,Cyclicargolithus floridanus,Dictyococcites bisectus,Sphenolithus sp.,Pseudoemiliania lacunosa,Gephyrocapsa spp.,Gephyrocapsa (small),Discoaster asymmetricus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A,  1,H,CC,  13.00,      8.8300,Olafsson ,Nannofossils                                 ,F              ,M                 ,                     ,                               ,                             ,                     ,R                    ,                       ,                 ,                      ,R                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A,  2,H,CC,  14.00,     18.5500,Olafsson ,Nannofossils                                 ,R              ,P                 ,                     ,                               ,                             ,                     ,R                    ,                       ,                 ,                      ,                 ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A,  3,H,CC,  19.00,     28.0700,Olafsson ,Nannofossils                                 ,F              ,M                 ,                     ,                               ,                             ,                     ,F                    ,                       ,                 ,                      ,F                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A,  5,H,CC,   0.00,     46.3900,Olafsson ,Nannofossils                                 ,R              ,P                 ,                     ,                               ,                             ,                     ,R                    ,                       ,                 ,                      ,R                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
