Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Thyrsocyrtis hirsuta,Theocotyle nigriniae,Spongatractus pachystylus,Podocyrtis trachodes,Podocyrtis sinuosa,Podocyrtis papalis,Podocyrtis diamesa,Phormocyrtis striata striata,Eusyringium lagena,Eusyringium fistuligerum,Dictyoprora mongolfieri,Calocyclas hispida,Theocotylissa ficus,Sethochytris triconiscus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. ampla      ,171,1049,B,  1,H,CC,   6.00,      8.8800,Blome    ,Radiolarians                                 ,               ,VG                ,C                      ,F                    ,                    ,                    ,F                        ,                    ,                  ,F                 ,                  ,C                           ,                  ,C                       ,C                      ,F                 ,F                  ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. ampla      ,171,1049,B,  2,H,CC,  23.00,     21.4900,Blome    ,Radiolarians                                 ,C              ,VG                ,                       ,F                    ,                    ,                    ,F                        ,                    ,                  ,F                 ,                  ,C                           ,R                 ,F                       ,C                      ,F                 ,F                  ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,171,1049,B,  3,H,CC,  27.00,     30.9300,Blome    ,Radiolarians                                 ,C              ,G                 ,R                      ,F                    ,R                   ,F                   ,F                        ,                    ,F                 ,F                 ,F                 ,F                           ,C                 ,C                       ,C                      ,F                 ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,171,1049,B,  4,H,CC,  20.00,     40.2200,Blome    ,Radiolarians                                 ,C              ,G                 ,F                      ,C                    ,F                   ,C                   ,R                        ,F                   ,C                 ,C                 ,F                 ,C                           ,C                 ,F                       ,C                      ,F                 ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
