Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella trocoidea,Hedbergella planispira,Hedbergella gorbachikae,Hedbergella delrioensis,Globigerinelloides ferreolensis,Trinitella scotti,Rugoglobigerina rotundata,Racemiguembelina fructicosa,Pseudotextularia elegans,Globotruncanita stuartiformis,Globotruncanita stuarti,Globotruncanella petaloidea,Globotruncana insignis,Globotruncana dupeublei,Globotruncana arca,Contusotruncana contusa,Subbotina triloculinoides,Praemurica inconstans,Parasubbotina pseudobulloides,Truncorotaloides rohri,Subbotina inaequispira,Morozovella caucasica,Morozovella aragonensis,Globigerintheca subcoinglobata,Acarinina bullbrooki,Hantkenina mexicana,Guembelitrioides higginsi,Globigerinatheka mexicana,Morozovella spinulosa,Hantkenina dumblei,Pseudohastigerina micra,Morozovella lehneri,Globigerinatheka index,Acarinina primitiva,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P12           ,171,1049,B,  1,H,CC,   6.00,      8.8800,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                     ,                      ,                       ,                       ,                               ,                 ,                         ,                           ,                        ,                             ,                       ,                           ,                      ,                       ,                  ,                       ,                         ,                     ,                             ,F                     ,R                     ,                     ,                       ,                              ,F                   ,                   ,R                        ,F                        ,R                    ,F                 ,R                      ,F                  ,                      ,R                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P12           ,171,1049,B,  2,H,CC,  23.00,     21.4900,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                     ,                      ,                       ,                       ,                               ,                 ,                         ,                           ,                        ,                             ,                       ,                           ,                      ,                       ,                  ,                       ,                         ,                     ,                             ,F                     ,R                     ,                     ,                       ,                              ,F                   ,F                  ,R                        ,                         ,R                    ,R                 ,R                      ,F                  ,F                     ,R                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,P11               ,P12           ,171,1049,B,  3,H,CC,  27.00,     30.9300,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                     ,                      ,                       ,                       ,                               ,                 ,                         ,                           ,                        ,                             ,                       ,                           ,                      ,                       ,                  ,                       ,                         ,                     ,                             ,F                     ,F                     ,                     ,R                      ,F                             ,F                   ,R                  ,P                        ,                         ,R                    ,R                 ,                       ,                   ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P11           ,171,1049,B,  4,H,CC,  20.00,     40.2200,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                     ,                      ,                       ,                       ,                               ,                 ,                         ,                           ,                        ,                             ,                       ,                           ,                      ,                       ,                  ,                       ,                         ,                     ,                             ,F                     ,F                     ,                     ,R                      ,                              ,F                   ,R                  ,R                        ,R                        ,                     ,                  ,                       ,                   ,                      ,                   ,       
