Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina velascoensis,Subbotina patagonica,Pseudohastigerina wilcoxensis,Morozovella occlusa,Morozovella edgari,Morozovella aequa,Morozovella acuta,Globanomalina pseudoimitata,Chiloguembelina wilcoxensis,Acarinina wilcoxensis,Acarinina soldadoensis,Acarinina coalingensis,Acarinina berggreni,Morozovella subbotinae,Morozovella gracilis,Acarinina pseudotopilensis,Morozovella marginodentata,Morozovella formosa,Acarinina quetra,Paragloborotalia sp.,Globanomalina planoconica,Subbotina utilisindex,Catapsydrax dissimilis ciperoensis,Globigerina euapertura,Catapsydrax dissimilis,Turborotalia ampliapertura,Globoquadrina tripartita,Globoquadrina tapuriensis,Catapsydrax unicavus,Tenuitellinata angustiumbilicata,Tenuitella clemenciae,Paragloborotalia opima opima,Globorotaloides suteri,Globoquadrina sellii,Globoquadrina rohri,Globigerina prasaepis,Globigerina praebulloides,Dentoglobigerina yeguaensis,Dentoglobigerina pseudociperoensis,Dentoglobigerina globularis,Subbotina angiporoides,Paragloborotalia nana,Globorotaloides sp.,Subbotina gortanii,Dentoglobigerina galavisi,Paragloborotalia continuosa,Globigerina ciperoensis,Catapsydrax globiformis,Paragloborotalia mayeri,Dentoglobigerina baroemoenensis,Tenuitella gemma,Globoquadrina venezuelana,Globigerina anguliofficinalis,Cassigerinella chipolensis,Chiloguembelina cubensis,Paragloborotalia acrostoma,Paragloborotalia siakensis,Globigerinoides primordius,Paragloborotalia kugleri,Paragloborotalia pseudokugleri,Globoquadrina praedehiscens,Dentoglobigerina altispira,Globoquadrina dehiscens,Globoquadrina binaiensis,Globigerinoides trilobus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1219,A,  3,H, 4, 103.00,     21.0300,planks   ,Planktonic Foraminifers                      ,C              ,G                 ,                      ,                    ,                             ,                   ,                  ,                 ,                 ,                           ,                           ,                     ,                      ,                      ,                   ,                      ,                    ,                          ,                          ,                   ,                ,                    ,                         ,                     ,                                  ,                      ,                      ,                          ,                        ,A                        ,                    ,                                ,                     ,+                           ,                      ,                    ,                   ,                     ,                         ,                           ,                                  ,                           ,                      ,F                    ,                   ,                  ,                         ,                           ,                       ,                       ,F                      ,                               ,                ,F                        ,                             ,                          ,                        ,                          ,                          ,                          ,                        ,                              ,F                          ,                          ,                       ,                        ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1219,A,  3,H, 6,  27.00,     23.2700,planks   ,Planktonic Foraminifers                      ,R              ,M                 ,                      ,                    ,                             ,                   ,                  ,                 ,                 ,                           ,                           ,                     ,                      ,                      ,                   ,                      ,                    ,                          ,                          ,                   ,                ,                    ,                         ,                     ,                                  ,                      ,                      ,                          ,                        ,                         ,                    ,                                ,                     ,+                           ,                      ,                    ,                   ,P                    ,                         ,                           ,                                  ,                           ,                      ,P                    ,                   ,                  ,                         ,                           ,                       ,                       ,                       ,                               ,                ,                         ,                             ,                          ,                        ,                          ,                          ,                          ,                        ,                              ,                           ,                          ,                       ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1219,A,  4,H, 4, 136.00,     30.8600,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                      ,                    ,                             ,                   ,                  ,                 ,                 ,                           ,                           ,                     ,                      ,                      ,                   ,                      ,                    ,                          ,                          ,                   ,                ,                    ,                         ,                     ,                                  ,                      ,                      ,                          ,                        ,                         ,                    ,                                ,                     ,                            ,R                     ,A                   ,                   ,                     ,F                        ,                           ,                                  ,+                          ,                      ,                     ,                   ,                  ,+                        ,                           ,                       ,                       ,P                      ,                               ,                ,F                        ,                             ,                          ,                        ,F                         ,F                         ,                          ,                        ,                              ,F                          ,P                         ,A                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1219,A,  4,H, 5, 115.00,     32.1500,planks   ,Planktonic Foraminifers                      ,C              ,G                 ,                      ,                    ,                             ,                   ,                  ,                 ,                 ,                           ,                           ,                     ,                      ,                      ,                   ,                      ,                    ,                          ,                          ,                   ,                ,                    ,                         ,                     ,F                                 ,                      ,                      ,                          ,                        ,                         ,                    ,                                ,                     ,                            ,F                     ,                    ,F                  ,                     ,                         ,F                          ,                                  ,F                          ,                      ,                     ,                   ,R                 ,F                        ,                           ,                       ,                       ,A                      ,F                              ,                ,F                        ,                             ,                          ,                        ,                          ,F                         ,P                         ,                        ,                              ,F                          ,R                         ,R                      ,R                       ,                        ,       
