Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pterocanium trilobum	Lamprocyclas hannai	Eucyrtidium anomalum	Didymocyrtis tetrathalamus tetrathalamus	Cycladophora davisiana	Axoprunum angelinum	Acanthodesmia viniculata	Spongaster tetras tetras	Phormostichoartus corbula	Theocorythium trachelium trachelium	Pterocanium praetextum eucolpum	Cycladophora cornutoides	Amphirhopalum ypsilon	Lamprocyrtis nigriniae	Collosphaera tuberosa	Comment



  IR	Pleistocene      	Holocene         	RN16              	B invaginata  	175	1076	A	  1	H	CC	  25.00	      4.7500	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	+                   	+                                       	+                     	                   	                        	+                       	                         	+                                  	+                              	+                       	                     	+                     	                     	       

  IR	Pleistocene      	Holocene         	RN16              	B invaginata  	175	1076	A	  2	H	CC	   0.00	     13.2100	Motoyama 	Radiolarians                                 	C              	G                 	+                   	+                  	                    	+                                       	+                     	                   	                        	                        	+                        	+                                  	+                              	+                       	                     	+                     	                     	       

  IR	Pleistocene      	Holocene         	RN16              	B invaginata  	175	1076	A	  3	H	CC	  30.00	     24.2900	Motoyama 	Radiolarians                                 	C              	G                 	+                   	+                  	                    	+                                       	+                     	                   	+                       	                        	                         	+                                  	                               	                        	                     	+                     	                     	       

  IR	                 	Pleistocene      	RN16              	B invaginata  	175	1076	A	  4	H	CC	  21.00	     33.6200	Motoyama 	Radiolarians                                 	A              	G                 	                    	+                  	+                   	+                                       	                      	                   	+                       	+                       	                         	                                   	+                              	                        	+                    	+                     	1                    	       

  IR	                 	Pleistocene      	RN16              	B invaginata  	175	1076	A	  5	H	CC	  40.00	     43.4300	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	+                   	+                                       	+                     	                   	                        	+                       	                         	+                                  	+                              	                        	+                    	+                     	                     	       

  IR	                 	Pleistocene      	RN16              	B invaginata  	175	1076	A	  6	H	CC	  21.00	     52.8100	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	+                   	+                                       	+                     	                   	+                       	+                       	                         	                                   	+                              	+                       	+                    	+                     	                     	       

  IR	                 	Pleistocene      	RN16              	B invaginata  	175	1076	A	  7	H	CC	  18.00	     62.4900	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	+                   	+                                       	+                     	                   	+                       	+                       	+                        	                                   	+                              	+                       	+                    	                      	                     	       

  IR	                 	Pleistocene      	RN16              	B invaginata  	175	1076	A	  8	H	CC	  32.00	     71.8400	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	                    	+                                       	+                     	                   	+                       	+                       	+                        	+                                  	+                              	1                       	+                    	+                     	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	  9	H	CC	  24.00	     81.5100	Motoyama 	Radiolarians                                 	C              	G                 	+                   	+                  	+                   	+                                       	+                     	1                  	+                       	+                       	                         	                                   	+                              	                        	                     	                      	                     	       

