Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	other Freshwater (Achnanthes; Fragilaria, etc.)	non-planktonic diatoms	Thalassiosira spp.	Thalassionema nitzschioides var. nitzschioides	Skeletonema costatum	Silicoflagellates (all taxa)	Rhizosolenia setigera/pungens	Pseudosolenia calcar-avis	Pseudoeunotia doliolus	Neodelphineis pelagica	Ditylum brightwelli	Cyclotella spp.	Coscinodiscus radiatus	Chaetoceros spp. (resting spores)	Aulacoseira granulata/islandica	Actinoptychus vulgaris	Actinoptychus senarius	Actinocyclus ellipticus	Actinocyclus curvatulus	X Phytoliths diff. shapes	Stephanopyxis spore (apiculata)	Cyclotella stylorum	Z Actiniscus pentasterias	Thalassionema nitzschioides  var. parva	Rhizosolenia bergonii	Coscinodiscus spp.	Asteromphalus spp.	Pseudotriceratium punctatum	Paralia sulcata	Actinocyclus octonarius	Rhizosolenia styliformis	Thalassiothrix spp. (incl. Lioloma)	Thalassionema bacillaris	Bacteriastrum comosum	Nitzschia bicapitata	Cyclotella litoralis	Comment



  IR	                 	                 	                  	NTD 17        	175	1076	A	  1	H	CC	  25.00	      4.7500	Lange    	Diatoms                                      	C              	M                 	                                               	                      	5                 	44                                            	1                   	1                           	                             	                         	+                     	                      	                   	               	                      	34                               	37                             	                      	                      	                       	                       	                         	                               	                   	                         	                                       	                     	1                 	1                 	                           	               	                       	                        	                                   	                        	                     	                    	9                   	area counted = 0.73 mm2 a slide= 484 mm2

  IR	                 	                 	                  	NTD 17        	175	1076	A	  2	H	CC	   0.00	     13.2100	Lange    	Diatoms                                      	A              	M                 	1                                              	                      	15                	22                                            	1                   	2                           	                             	                         	1                     	                      	                   	14             	1                     	55                               	4                              	                      	                      	                       	1                      	                         	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= 0.547 mm2 a slide: 484 mm2

  IR	                 	                 	                  	              	175	1076	A	  3	H	CC	  30.00	     24.2900	Lange    	Diatoms                                      	T              	P                 	                                               	                      	1                 	                                              	                    	                            	                             	                         	                      	                      	                   	               	                      	                                 	                               	                      	                      	                       	                       	1                        	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	brownish flocs, plant remains counted complete slide

  IR	                 	                 	                  	              	175	1076	A	  4	H	CC	  21.00	     33.6200	Lange    	Diatoms                                      	R              	P                 	                                               	                      	                  	F                                             	                    	                            	                             	                         	                      	                      	+                  	R              	                      	R                                	                               	                      	                      	                       	                       	                         	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	counted entire slide

