Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus sigmoides,Toweius pertusus,Prinsius martinii,Prinsius bisulcus,Neocrepidolithus sp.,Neochiastozygus concinnus,Neochiastozygus chiastus,Cruciplacolithus subrotundus,Cruciplacolithus primus (large),Coccolithus pelagicus,Ericsonia subpertusa,Cruciplacolithus tenuis,Cruciplacolithus primus (small),Chiasmolithus danicus,Fasciculithus tympaniformis,Ellipsolithus macellus,Zygodiscus herlynii,Toweius eminens,Sphenolithus orphanknollensis,Sphenolithus anarrhopus,Neococcolithes protenus,Neochiastozygus junctus,Markalius inversus,Ericsonia robusta,Discoaster nobilis,Chiasmolithus consuetus,Chiasmolithus bidens,Zygodiscus adamas,Transversopontis pulcher,Toweius tovae,Semihololithus kerabyi,Semihololithus biskayae,Scapholithus rhombiformis,Prinsius spp.,Neochiastozygus distentus,Lophodolithus nascens,Heliolithus riedelii,Fasciculithus schaubii,Fasciculithus richardii,Fasciculithus involutus,Fasciculithus hayi,Ericsonia formosa,Ellipsolithus distichus,Discoaster salisburgensis,Discoaster multiradiatus,Discoaster mohleri,Cruciplacolithus frequens,Cruciplacolithus cribellum,Coronocyclus prionion,Chiasmolithus californicus,Campylosphaera eodela,Biscutum sp.,Transversopontis pulcheroides,Rhomboaster cuspis,Pontosphaera rimosa,Discoaster limbatus,Transversopontis rectipons,Transversopontis pax,Rhomboaster bitrifida,Pontosphaera plana,Neochiastozygus rosenkrantzii,Fasciculithus clinatus,Discoaster megastypus,Discoaster falcatus,Discoaster delicatus,Scapholithus fossilis,Rhomboaster calcitrapa,Pontosphaera punctosa,Hornibrookina australis,Fasciculithus bobii,Discoaster mahmoudii,Transversopontis exilis,Sphenolithus moriformis,Cruciplacolithus spp.,Chiasmolithus eograndis,Campylosphaera dela,Toweius callosus,Tribrachiatus bramlettei,Toweius occultatus,Discoaster binodosus,Zygrhablithus bijugatus,Sphenolithus sp. 1,Discoaster diastypus,Discoaster barbadiensis,Chiasmolithus solitus,Tribrachiatus contortus,Sphenolithus editus,Sphenolithus radians,Pedinocyclus larvalis,Chiasmolithus grandis,Braarudosphaera bigelowii,Tribrachiatus orthostylus,Sphenolithus conspicuus,Discoaster elegans,Toweius gammation,Pontosphaera pectinata,Discoaster lodoensis,Discoaster kuepperi,Neococcolithes dubius,Ericsonia pacifica,Toweius crassus,Micrantholithus flos,Helicosphaera seminulum,Helicosphaera lophota,Cyclolithella kalianata,Sphenolithus spiniger,Sphenolithus furcatolithoides,Reticulofenestra samodurovii,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Nannotetrina sp. (small),Nannotetrina alata,Markalius sp. 2,Markalius sp. 1,Holococcolith type A,Discoaster saipanensis,Discoaster deflandrei,Cyclicargolithus floridanus,Cruciplacolithus vanheckae,Cruciplacolithus staurion,Coccolithus eopelagicus,Chiasmolithus titus,Chiasmolithus gigas,Calcidiscus protoannulus,Bramletteius serraculoides,Sphenolithus pseudoradians,Rhabdosphaera tenuis,Pontosphaera segmenta,Pontosphaera scissura,Pontosphaera formosa,Lanternithus minutus,Helicosphaera heezenii,Calcidiscus kingii,Toweius? sp. 1,Pontosphaera bicaveata,Micrantholithus altus,Discoaster bifax,Ericsonia obruta,Coccolithus sp.1,Chiasmolithus expansus,Lophodolithus acutus,Discoaster tanii,Reticulofenestra umbilica,Discoaster nodifer,Cribrocentrum reticulatum,Sphenolithus obtusus,Sphenolithus intercalaris,Helicosphaera reticulata,Helicosphaera compacta,Dictyococcites scrippsae,Dictyococcites bisectus,Hayella situliformis,Coronocyclus nitescens,Ericsonia subdisticha,Isthmolithus recurvus,Sphenolithus predistentus,Peritrachelina joidesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16a             ,              ,115, 707,C,  3,R, 1,  50.00,    194.0000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,14.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,1.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,4.0%                   ,                     ,                       ,                   ,                ,                        ,                  ,                    ,F                      ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,2.0%                     ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,1.0%                ,                      ,F                    ,47.0%                      ,                          ,                         ,F                      ,                   ,                   ,                        ,6.0%                      ,F                         ,                    ,                     ,                     ,                    ,1.0%                ,                      ,                  ,              ,                      ,R                    ,                ,R               ,1.0%            ,                      ,                    ,F               ,R                        ,                  ,                         ,                    ,                         ,F                       ,F                     ,4.0%                    ,10.0%                  ,F                   ,F                     ,2.0%                 ,R                    ,1.0%                     ,F                     ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16a             ,              ,115, 707,C,  3,R, 2,  50.00,    195.5000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,15.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,1.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,6.0%                   ,                     ,                       ,                   ,                ,                        ,                  ,                    ,F                      ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,F                    ,                     ,1.0%                     ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,2.0%                ,                      ,F                    ,37.0%                      ,                          ,                         ,F                      ,                   ,                   ,                        ,3.0%                      ,1.0%                      ,                    ,                     ,                     ,                    ,R                   ,                      ,R                 ,              ,                      ,                     ,                ,R               ,F               ,                      ,                    ,1.0%            ,R                        ,                  ,                         ,                    ,                         ,R                       ,F                     ,1.0%                    ,19.0%                  ,F                   ,F                     ,3.0%                 ,                     ,5.0%                     ,R                     ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16a             ,              ,115, 707,C,  3,R, 3,  50.00,    197.0000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,19.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,2.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,3.0%                   ,                     ,                       ,                   ,                ,                        ,                  ,                    ,F                      ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,F                    ,                     ,F                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,1.0%                ,                      ,F                    ,40.0%                      ,                          ,                         ,F                      ,                   ,                   ,                        ,1.0%                      ,F                         ,                    ,R                    ,                     ,                    ,F                   ,                      ,                  ,              ,                      ,                     ,                ,F               ,F               ,                      ,                    ,F               ,R                        ,R                 ,                         ,                    ,                         ,R                       ,F                     ,3.0%                    ,14.0%                  ,1.0%                ,F                     ,4.0%                 ,                     ,3.0%                     ,1.0%                  ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16a             ,              ,115, 707,C,  3,R, 4,  50.00,    198.5000,Okada    ,Nannofossils                                 ,A              ,P                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,12.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,F                ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,16.0%                  ,                     ,                       ,                   ,                ,                        ,                  ,                    ,1.0%                   ,                  ,                    ,                       ,                     ,                       ,                   ,                    ,                     ,                     ,R                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,               ,                    ,                      ,F                    ,27.0%                      ,                          ,                         ,R                      ,                   ,                   ,                        ,9.0%                      ,F                         ,                    ,                     ,                     ,                    ,                    ,                      ,R                 ,              ,                      ,                     ,                ,                ,F               ,                      ,                    ,1.0%            ,R                        ,R                 ,                         ,                    ,                         ,R                       ,F                     ,3.0%                    ,21.0%                  ,F                   ,F                     ,5.0%                 ,R                    ,F                        ,F                     ,from 115 SR. Chapter 14. Table 5. pages 138-140.
