Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1200,A, 15,R,CC,   8.00,    128.5100,cur      ,Nannofossils                                 ,B              ,G                 ,R                               ,"a well preserved, but contaminated specimen"
,,,,,,,,,,,,,,,,,,
