Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 856,G,  1,R, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,R              ,G                 ,R                    ,from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 856,G,  1,R,CC,  10.00,      5.2200,Brunner  ,Planktonic Foraminifers                      ,R              ,G                 ,R                    ,from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,
