Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Orbulina universa,Neogloboquadrina dutertrei,Globorotalia tumida,Globorotalia menardii,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinoides conglobatus,Globigerinella aequilateralis,Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,Holocene         ,                  ,              ,195,1200,E,  1,H,CC,  34.00,      6.0400,cur      ,Planktonic Foraminifers                      ,F              ,G                 ,R                        ,F                ,F                         ,F                  ,F                    ,A                         ,A                    ,A                            ,A                        ,A                          ,F                            ,+              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
