Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Incertae sedis forma A,Bachmayerella tenuis,Comment
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T.excel-G.car Subz C,              ,160, 965,A,  1,H, 1,  32.00,      0.3200,Spezzaferri,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                   ,from Leg 160SR Ch 10 Table 2
,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T.excel-G.car Subz C,              ,160, 965,A,  1,H, 1,  43.00,      0.4300,Spezzaferri,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                   ,from Leg 160SR Ch 10 Table 2
,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T.excel-G.car Subz C,              ,160, 965,A,  1,H,CC,  17.00,      0.7300,Spezzaferri,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                   ,from Leg 160SR Ch 10 Table 2
,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T.excel-G.car Subz C,              ,160, 965,A,  2,H, 1,  20.00,      1.0000,Spezzaferri,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                   ,from Leg 160SR Ch 10 Table 2
,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T.excel-G.car Subz C,              ,160, 965,A,  2,H, 2,  31.00,      2.6100,Spezzaferri,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                   ,from Leg 160SR Ch 10 Table 2
,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T.excel-G.car Subz C,              ,160, 965,A,  2,H, 2,  69.00,      2.9900,Spezzaferri,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                   ,from Leg 160SR Ch 10 Table 2
,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T.excel-G.car Subz C,              ,160, 965,A,  2,H, 2, 105.00,      3.3500,Spezzaferri,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                   ,from Leg 160SR Ch 10 Table 2
,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T.excel-G.car Subz C,              ,160, 965,A,  2,H, 3,   9.00,      3.8900,Spezzaferri,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                   ,from Leg 160SR Ch 10 Table 2
,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T.excel-G.car Subz C,              ,160, 965,A,  2,H, 3,  21.00,      4.0100,Spezzaferri,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                   ,from Leg 160SR Ch 10 Table 2
,,,,,,,,,,,,,,,,,,,
