leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
80,548,A,UPPER MIOCENE,,205.5,305.0,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
80,548,A,MIDDLE MIOCENE,,305.0,316.7,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
80,548,A,LOWER MIOCENE,,316.7,343.3,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
80,548,A,UPPER OLIGOCENE,,343.3,349.4,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
80,548,A,MIDDLE OLIGOCENE,,349.4,352.1,,NO AGE GIVEN,,NO AGE GIVEN,   29,   32, 30.5,DSDP INITIAL REPORTS
80,548,A,LOWER OLIGOCENE,,352.1,358.0,,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
80,548,A,UPPER EOCENE,,358.0,367.5,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
80,548,A,MIDDLE EOCENE,,367.5,412.8,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
80,548,A,LOWER EOCENE,,412.8,467.0,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
80,548,A,UPPER PALEOCENE,,467.0,470.0,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
80,548,A,LOWER PALEOCENE,,470.0,471.5,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
80,548,A,UPPER MAESTRICHTIAN ,,471.5,490.5,,NO AGE GIVEN,,NO AGE GIVEN,   65, 67.5,66.25,DSDP INITIAL REPORTS
80,548,A,MIDDLE MAESTRICHTIAN,,490.5,500.0,,NO AGE GIVEN,,NO AGE GIVEN,   66,   67, 66.5,DSDP INITIAL REPORTS
80,548,A,MIDDLE MAESTRICHTIAN,LOWER MAESTRICHTIAN ,500.0,509.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   66,   70,   68,DSDP INITIAL REPORTS
80,548,A,LOWER MAESTRICHTIAN ,,509.5,528.5,,NO AGE GIVEN,,NO AGE GIVEN, 67.5,   70,68.75,DSDP INITIAL REPORTS
80,548,A,UPPER CAMPANIAN,,528.5,535.5,,NO AGE GIVEN,,NO AGE GIVEN,   70,   74,   72,DSDP INITIAL REPORTS
