Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tristylospyris triceros,Thyrsocyrtis  tetracantha,Thyrsocyrtis rhizodon,Thyrsocyrtis bromia,Dictyoprora pirum,Dictyoprora mongolfieri,Calocyclas turris,Calocyclas bandyca,Thyrsocyrtis lochites,Lychnocanoma amphitrite,Lithocyclia aristotelis group,Cryptocarpium azyx,Lophocyrtis pegetrum,Lithocyclia angusta,Carpocanistrum spp.,Artophormis gracilis,Theocorys spongoconus,Theocyrtis annosa,Dorcadospyris pseudopapilio,Dorcadospyris ateuchus,Calocycletta robusta,Lychnocanoma elongata,Eucyrtidium diaphanes,Dorcadospyris papilio,Didymocyrtis prismatica,Cyrtocapsella tetrapera,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,L. elongata (RP22),              ,165, 998,A, 36,X, 1,  36.00,    330.1600,Nigrini  ,Radiolarians                                 ,C              ,MG                ,                       ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,R                   ,                   ,R                  ,                    ,R                    ,                 ,                           ,MR                    ,A                   ,R                    ,R                    ,R                    ,R                      ,-                      ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 998,A, 37,X, 1,  33.00,    339.7300,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                       ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,T                   ,                   ,T                  ,                    ,T                    ,                 ,                           ,R                     ,F                   ,-                    ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 998,A, 38,X, 1,  36.00,    349.3600,Nigrini  ,Radiolarians                                 ,F              ,P                 ,                       ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,T                   ,                   ,R                  ,                    ,T                    ,                 ,T                          ,R                     ,F                   ,-                    ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 998,A, 40,X, 1,  35.00,    368.5500,Nigrini  ,Radiolarians                                 ,VR             ,P                 ,                       ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,                    ,                   ,T                  ,                    ,                     ,                 ,                           ,T                     ,T                   ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
