Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,Pullenia coryelli,Nuttallides truempyi,Gyroidinoides spp.,Globocassidulina globosa,Gavelinella beccariiformis,Cibicidoides spp.,Buliminella beaumonti,Bulimina semicostata,Aragonia velascoensis,Anomalinoides spissiformis,Abyssamina quadrata,Abyssamina poagi,Unilocular species,Tappanina selmensis,Oridorsalis umbonatus,Bulimina macilenta,Thalmannammina subturbinata,Rhizammina sp.,Bathysiphon spp.,Ammodiscus sp.,Turrilina robertsi,Subreophax sp.,Pullenia jarvisi,Placentammina complanata,Globocassidulina sp.,Cibicidoides dohmi,Nodosarella tuberosa,Nodogenerina bradyi,Cibicidoides havanensis,Pyrulina spp.,Eggerella bradyi,Textularia spp.,Pullenia eocaenica,Nuttallides umbonifera,Lagenoglandulina sp.,Heronallenia lingulata,Ellipsoglandulina sp.,Anomalinoides semicribratus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1217,A,  4,H, 2, 114.00,     27.1400,nannos   ,Benthic Foraminifers                         ,A              ,VG                ,R                          ,                 ,                    ,F                 ,                        ,                          ,                 ,R                    ,                    ,                     ,                          ,                   ,                ,                  ,                   ,F                    ,                  ,                           ,              ,                ,              ,                  ,              ,                ,                        ,A                   ,F                 ,                    ,R                  ,R                      ,T            ,R               ,R              ,R                 ,C                     ,R                   ,T                     ,R                    ,R                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1217,A,  4,H, 3,  27.00,     27.7700,nannos   ,Benthic Foraminifers                         ,A              ,VG                ,R                          ,                 ,                    ,                  ,                        ,                          ,                 ,                     ,                    ,                     ,                          ,                   ,                ,                  ,                   ,F                    ,                  ,                           ,              ,                ,              ,                  ,              ,                ,                        ,A                   ,                  ,R                   ,R                  ,F                      ,T            ,R               ,               ,                  ,                      ,                    ,                      ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1217,A,  4,H, 4,  10.00,     28.1000,nannos   ,Benthic Foraminifers                         ,A              ,VG                ,R                          ,                 ,                    ,R                 ,                        ,                          ,                 ,                     ,                    ,                     ,                          ,                   ,                ,                  ,                   ,                     ,                  ,                           ,C             ,                ,              ,                  ,              ,F               ,                        ,                    ,                  ,R                   ,R                  ,F                      ,             ,                ,               ,                  ,                      ,                    ,                      ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1217,A,  4,H, 6,  51.00,     31.5100,nannos   ,Benthic Foraminifers                         ,C              ,VG                ,R                          ,                 ,                    ,                  ,                        ,                          ,F                ,R                    ,                    ,                     ,                          ,                   ,                ,                  ,                   ,                     ,                  ,                           ,              ,F               ,              ,                  ,              ,R               ,R                       ,C                   ,F                 ,                    ,                   ,                       ,             ,                ,               ,                  ,                      ,                    ,                      ,                     ,                           ,       
