Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina mayeri	Globoquadrina venezuelana	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides sicanus	Globigerinoides quadrilobatus	Globorotalia peripheroronda	Globigerinoides diminutus	Globorotalia siakensis	Globigerinoides subquadratus	Globigerinoides altiapertura	Sphaeroidinellopsis seminulina	Globorotalia birnageae	Globigerinoides sacculifer	Globigerinoides immaturus	Globigerinatella insueta	Zeaglobigerina druryi	Globigerinoides obliquus	Dentoglobigerina altispira	Zeaglobigerina decoraperta	Globorotalia praescitula	Orbulina suturalis	Dentoglobigerina globosa	Globorotalia peripheroacuta	Globigerinoides trilobus	Fohsella praefohsi	Fohsella peripheroacuta	Fohsella fohsi fohsi	Globorotalia praemenardii	Sphaeroidinellopsis kochi	Orbulina universa	Globorotalia fohsi lobata	Fohsella fohsi lobata	Globoconella conomiozea	Globorotalia menardii	Globigerina nepenthes	Globorotalia plesiotumida	Pulleniatina primalis	Neogloboquadrina humerosa	Globorotaloides hexagona	Globorotalia margaritae	Globigerinoides extremus	Globigerinoides ruber	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Globorotalia scitula	Globorotalia inflata	Globorotalia bermudezi	Globigerinita glutinata	Globorotalia tumida	Globorotalia theyeri	Neogloboquadrina acostaensis	Globoconella conoidea	Globorotalia crassaformis	Globoconella inflata	Globigerinoides tenellus	Globigerinoides conglobatus	Globigerinoides bulloideus	Globigerinoides kennetti	Comment



  IR	                 	Pleistocene      	                  	N22           	170	1040	C	  1	R	CC	  14.00	    166.9400	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                       	                         	                       	                            	                       	                             	                           	                         	                      	                            	                            	                              	                      	                          	                         	                        	                     	                        	                          	                          	                        	                  	                        	                           	R                       	                  	                       	                    	                         	                         	                 	                         	                     	                       	                     	                     	                         	                     	R                        	                        	                       	R                       	                     	                            	                          	                    	                    	                      	                       	R                  	                    	R                           	                     	R                        	                    	                        	                           	                          	                        	       

  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	C	  2	R	CC	  17.00	    175.2400	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	                       	                         	                       	                            	                       	                             	                           	                         	                      	                            	                            	                              	                      	R                         	                         	                        	                     	                        	                          	                          	                        	                  	                        	                           	R                       	                  	                       	                    	                         	                         	                 	                         	                     	                       	R                    	                     	                         	R                    	                         	                        	                       	                        	                     	                            	                          	R                   	                    	                      	                       	                   	                    	R                           	                     	                         	                    	                        	                           	                          	                        	       

  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	C	  3	R	CC	  14.00	    184.9900	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	                       	                         	                       	                            	                       	                             	                           	                         	                      	                            	                            	P                             	                      	                          	                         	                        	                     	                        	R                         	                          	                        	                  	                        	                           	                        	                  	                       	                    	                         	                         	                 	                         	                     	                       	                     	+                    	                         	R                    	                         	                        	                       	R                       	                     	                            	                          	                    	                    	                      	                       	                   	                    	                            	                     	                         	                    	                        	                           	                          	                        	       

  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	C	  5	R	CC	  19.00	    206.1400	Ibaraki  	Planktonic Foraminifers                      	T              	P                 	                       	                         	                       	                            	                       	                             	                           	                         	                      	                            	                            	                              	                      	                          	                         	                        	                     	                        	                          	                          	                        	                  	                        	                           	P                       	                  	                       	                    	                         	                         	                 	                         	                     	                       	                     	                     	                         	                     	                         	                        	                       	                        	                     	                            	                          	                    	                    	                      	                       	                   	                    	                            	                     	                         	                    	                        	                           	                          	                        	       
