Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina spp.,Globigerina woodi,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globigerina cf. G. bulloides,Globigerina umbilicata,Globigerina quinqueloba,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  1,R, 3, 102.00,      4.0200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                ,                 ,                                       ,                                     ,                            ,                      ,                       ,1                    ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  2,W,CC,   9.00,      8.5800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                ,                 ,1                                      ,                                     ,                            ,                      ,                       ,1                    ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  3,R, 4,   8.00,     34.7800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,1               ,                 ,6                                      ,12                                   ,1                           ,4                     ,1                      ,2                    ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  4,R,CC,  15.00,     47.7500,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                ,                 ,15                                     ,7                                    ,1                           ,                      ,                       ,                     ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  5,R, 5,  42.00,     56.2200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                ,1                ,                                       ,                                     ,                            ,                      ,                       ,                     ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  7,R,CC,   7.00,     70.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                ,1                ,                                       ,                                     ,                            ,                      ,                       ,                     ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  9,R,CC,   9.00,     88.7900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                ,1                ,                                       ,                                     ,                            ,                      ,                       ,                     ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 19,R,CC,  18.00,    332.1600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                ,1                ,                                       ,                                     ,                            ,                      ,                       ,                     ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 32,R, 3,  31.00,    448.8100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                ,1                ,                                       ,                                     ,                            ,                      ,                       ,                     ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 32,R, 4, 143.00,    451.4300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,5               ,2                ,                                       ,                                     ,                            ,                      ,                       ,                     ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 32,R, 5,  24.00,    451.7400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                ,1                ,                                       ,                                     ,                            ,                      ,                       ,                     ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 33,R, 2,  34.00,    457.0400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,6               ,                 ,                                       ,                                     ,                            ,                      ,                       ,                     ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,
