Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sulcoperculina sp.,Sulcoperculina globosa,Sulcoperculina dickersoni,Rotaliid taxa,Miliolids species,Foraminifers (small),Foraminifers (agglutinated taxa),Asterorbis rooki,Pseudorbitoides sp.,Omphalocyclus macroporus,Lagenid taxa,Sulcoperculina vermunti,Pseudocyclammina sp.,Nubecularia sp.,Marssonella oxycona,Nummoloculina sp.,Planorbulina sp.,Foraminifers (encrusting),Dicyclina sp.,Acervulinid taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  1,R, 1,   4.00,      0.0400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,             ,                 ,                    ,                                ,F               ,                   ,                        ,            ,                       ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  1,R, 1,   8.00,      0.0800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,             ,                 ,                    ,                                ,C               ,                   ,                        ,            ,                       ,                    ,               ,                   ,                 ,                ,                         ,             ,1               ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  1,R, 1,  17.00,      0.1700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,R            ,                 ,                    ,R                               ,C               ,                   ,                        ,            ,                       ,                    ,R              ,                   ,                 ,R               ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  1,R, 1,  17.00,      0.1700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,             ,                 ,F                   ,                                ,C               ,                   ,                        ,            ,                       ,                    ,               ,                   ,                 ,                ,F                        ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  1,R, 1,  34.00,      0.3400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,             ,                 ,                    ,                                ,C               ,                   ,                        ,            ,                       ,                    ,R              ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
