Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum hemisphaericus	Dictyocha varia	Dictyocha fibula mutabilis	Dictyocha fibula ausonia	Dictyocha extensa extensa	Corbisema triacantha	Bachmannocena elliptica	Distephanus speculum giganteus	Distephanus crux crux	Dictyocha fibula fibula	Bachmannocena circulus	Distephanus speculum speculum	Dictyocha varia (deflandroid)	Dictyocha extnesa extensa (medusid)	Dictyocha extensa extensa (deflandroid)	Distephanus crux longispinus	Dictyocha varia (canted bridge)	Dictyocha subclinata	Distephanus quinquangellus	Distephanus boliviensis boliviensis	Bachmannocena apiculata curvata	Distephanus polyactis	Dictyocha calida calida	Distephanus speculum speculum f. pseudofibula	Distephanus speculum minutus	Dictyocha extensa extensa (canted bridge)	Distephanus stauracanthus f. stauracanthus	Distephanus speculum patulus	Distephanus stauracanthus f. octagonus	Dictyocha extensa longa	Distephanus speculum pentagonus	Bachmannocena diodon diodon	Bachmannocena quadrangula	Bachmannocena diodon triodon	Distephanus boliviensis boliviensis (multiwindowed)	Bachmannocena diodon nodosa	Distephanus speculum tenuis	Dictyocha perlaevis perlaevis	Dictyocha messanensis	Distephanus pulchra	Dictyocha aculeata aculeata	Comment



  SR	Pleistocene      	                 	D. aculeata       	              	138	 844	B	  1	H	 2	 119.00	      2.6900	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	               	                          	                        	11                       	                    	                       	                              	                     	                       	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	40                   	                   	1                          	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  52; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Pleistocene      	                 	D. aculeata       	              	138	 844	B	  1	H	 3	 119.00	      4.1900	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	               	                          	                        	                         	                    	                       	                              	                     	                       	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	23                   	                   	5                          	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  28; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Pleistocene      	                 	D. aculeata       	              	138	 844	B	  2	H	 2	 120.00	      7.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	               	                          	                        	20                       	                    	                       	                              	                     	1                      	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	4                            	73                   	1                  	5                          	Aberrant silicoflagellates =1 ; Total silicoflagellates =  104; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Pleistocene      	                 	B. quadrangula    	              	138	 844	B	  2	H	 4	 120.00	     10.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	               	                          	                        	26                       	                    	                       	                              	                     	                       	                      	1                            	                             	1                                  	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	22                       	                            	                                                   	                           	                           	25                           	43                   	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  118; from Leg 138 SR; Chapter 8 Table 3 p 132-133
